"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.713916668E-3,1.368304596E0,5.828280029E0,7.364086304E0
1.872791667E-2,1.393452301E0,6.029012604E0,7.096592560E0
2.874191667E-2,1.467099152E0,6.249653778E0,6.836732941E0
3.875591667E-2,1.472338257E0,6.363117828E0,6.564449158E0
4.876891667E-2,1.404978333E0,6.424939270E0,6.442901917E0
5.878295833E-2,1.397194519E0,6.404880981E0,6.595883789E0
6.879695833E-2,1.497935028E0,6.398294678E0,6.875502319E0
7.881095833E-2,1.630559235E0,6.405479736E0,7.020850067E0
8.882495833E-2,1.827100525E0,6.430627441E0,7.009922791E0
9.883795833E-2,1.919907532E0,6.534361725E0,7.043303375E0
1.088519583E-1,1.794767761E0,6.546785889E0,7.105723572E0
1.188659583E-1,1.575174408E0,6.482569427E0,7.103777618E0
1.288799583E-1,1.440903625E0,6.470444641E0,7.024741974E0
1.388929583E-1,1.379082184E0,6.421047363E0,6.929689636E0
1.489069583E-1,1.355131989E0,6.394552460E0,6.918163605E0
1.589209583E-1,1.376387787E0,6.350693665E0,6.824608154E0
1.689349583E-1,1.343007202E0,6.274053040E0,6.674620056E0
1.789479583E-1,1.292412415E0,6.159690857E0,6.553671570E0
1.889619583E-1,1.402733002E0,6.092181244E0,6.478527832E0
1.989759583E-1,1.595382385E0,6.168821869E0,6.579717407E0
2.089899583E-1,1.569186859E0,6.176455994E0,6.946454773E0
2.190039583E-1,1.405277710E0,6.045029297E0,7.165449371E0
2.290169583E-1,1.259031830E0,5.968388672E0,7.029981079E0
2.390309583E-1,1.194066925E0,5.953120422E0,7.115153961E0
2.490449583E-1,1.172511749E0,5.881868591E0,7.014413452E0
2.590589583E-1,1.108744354E0,5.901627502E0,6.712191925E0
2.690719583E-1,9.824070740E-1,5.839656372E0,6.333030396E0
2.790859583E-1,7.442523193E-1,5.692811737E0,6.075116730E0
2.890999583E-1,5.078938293E-1,5.532644806E0,5.699847107E0
2.991139583E-1,3.243754578E-1,5.350473633E0,5.053042145E0
3.091279583E-1,4.445755005E-2,5.201233978E0,4.079017639E0
3.191409583E-1,-3.116519165E-1,4.830155640E0,2.829565887E0
3.291549583E-1,-9.807604980E-1,4.354145508E0,1.564995575E0
3.391689583E-1,-1.934726715E0,3.709585876E0,7.583230591E-1
3.491829583E-1,-2.725831604E0,2.859353943E0,1.685494995E-1
3.591959583E-1,-2.983595581E0,2.192939758E0,-1.434017944E-1
3.692099583E-1,-2.861000519E0,1.600920868E0,3.742218018E-1
3.792239583E-1,-2.311942291E0,8.931925964E-1,1.284778290E0
3.892379583E-1,-1.646575928E0,2.877017212E-1,2.301464081E0
3.992519583E-1,-1.003662872E0,-3.053649902E-1,3.419040070E0
4.092649583E-1,1.362167358E-2,-8.583151245E-1,4.650080109E0
4.192789583E-1,2.126627655E0,-1.149160309E0,5.445975037E0
4.292929583E-1,4.958289185E0,-9.421408081E-1,5.182223511E0
4.393069583E-1,7.607480164E0,-2.734812927E-1,4.143982544E0
4.493199583E-1,1.009845016E1,3.083587646E-1,3.702101440E0
4.593339583E-1,1.229692841E1,7.155120850E-1,4.196523285E0
4.693479583E-1,1.424976746E1,8.295748901E-1,5.207969971E0
4.793619583E-1,1.617506378E1,6.456074524E-1,6.096522217E0
4.893759583E-1,1.841066483E1,6.536906433E-1,6.981931000E0
4.993889583E-1,2.086780518E1,7.611671448E-1,7.962841187E0
5.094029583E-1,2.370710083E1,6.715036011E-1,8.693621521E0
5.194169583E-1,2.753883270E1,2.117346954E0,8.616082764E0
5.294309583E-1,3.002740768E1,3.696413269E0,7.590565338E0
5.394449583E-1,3.057092743E1,4.052971802E0,6.961573334E0
5.494579583E-1,2.967623795E1,3.617677002E0,6.733747101E0
5.594719583E-1,2.803624832E1,2.742297363E0,6.673871613E0
5.694859583E-1,2.664354446E1,1.367256775E0,7.051685944E0
5.794999583E-1,2.597533401E1,4.011657715E-1,7.566315765E0
5.895129583E-1,2.627456177E1,2.234852600E-1,7.502997437E0
5.995269583E-1,2.717493942E1,5.381309509E-1,6.997348938E0
6.095409583E-1,2.794838104E1,1.182989960E0,5.938600616E0
6.195549583E-1,2.888453430E1,2.528841248E0,4.250111847E0
6.295689583E-1,2.929138824E1,3.502266998E0,2.506387939E0
6.395819583E-1,2.798505478E1,2.861898651E0,1.304387512E0
6.495959583E-1,2.582055588E1,1.496737518E0,1.021924896E0
6.596099583E-1,2.381367920E1,5.538482666E-3,1.651815033E0
6.696239583E-1,2.242322067E1,-1.104553070E0,3.607498169E0
6.796379583E-1,2.163016983E1,-1.473685455E0,5.384153595E0
6.896509583E-1,2.066362976E1,-1.960473175E0,6.183191986E0
6.996649583E-1,1.922107956E1,-2.381397858E0,6.172115021E0
7.096789583E-1,1.753124359E1,-2.883453827E0,5.537584534E0
7.196929583E-1,1.569171890E1,-3.533102875E0,4.748275909E0
7.297069583E-1,1.379067215E1,-4.076173553E0,4.016747131E0
7.397199583E-1,1.219828354E1,-4.701123962E0,3.586092682E0
7.497339583E-1,1.080378342E1,-5.230722656E0,3.340303802E0
7.597479583E-1,9.316176910E0,-5.719905396E0,3.259022827E0
7.697619583E-1,7.950117645E0,-6.014941864E0,3.423081665E0
7.797759583E-1,6.778054962E0,-6.224506073E0,3.460653534E0
7.897889583E-1,5.560337219E0,-6.441255341E0,3.298989716E0
7.998029583E-1,4.303251343E0,-6.487060089E0,3.165467377E0
8.098169583E-1,3.090024261E0,-6.554569702E0,2.948867798E0
8.198309583E-1,2.054028625E0,-6.977739716E0,2.552791443E0
8.298439583E-1,1.209634552E0,-7.046446838E0,2.435136108E0
8.398579583E-1,5.242098999E-1,-6.814728699E0,3.209625549E0
8.498719583E-1,-3.516188049E-1,-6.717580719E0,4.084705811E0
8.598859583E-1,-1.361867981E0,-6.494993591E0,4.397555237E0
8.698999583E-1,-2.270927582E0,-6.071973267E0,4.474794617E0
8.799129583E-1,-3.329226837E0,-5.625451813E0,4.724325714E0
8.899269583E-1,-4.602628784E0,-5.070256348E0,5.238656158E0
8.999409583E-1,-6.021528168E0,-4.883744202E0,5.263354797E0
9.099549583E-1,-7.243287506E0,-4.888085175E0,4.265380096E0
9.199689583E-1,-7.915240173E0,-4.301455078E0,3.699706421E0
9.299819583E-1,-8.039032745E0,-3.382965088E0,3.818110199E0
9.399959583E-1,-7.911048889E0,-2.514620819E0,4.126319275E0
9.500099583E-1,-7.949518890E0,-1.802102509E0,3.785178680E0
