"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773478534412644E9,"2026-03-14 09:55:34.413 UTC+01:00"
"PAUSE",1.828145679166664E1,1.773478552694092E9,"2026-03-14 09:55:52.694 UTC+01:00"
