"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
-5.272083336E-4,2.690081894E-1,-9.221152961E-2,-2.918035723E-2
9.486791667E-3,1.526365876E-1,-8.364680409E-2,1.265964704E-3
1.950079167E-2,2.622138150E-2,-3.041651472E-2,4.915504158E-2
2.951479167E-2,-6.635782123E-2,2.794399858E-2,8.455031365E-2
3.952879167E-2,-1.151388809E-1,5.920509622E-2,8.789341897E-2
4.954279167E-2,-1.254423857E-1,6.238650903E-2,5.857680738E-2
5.955679167E-2,-1.171122715E-1,2.068632655E-2,2.988628112E-4
6.957079167E-2,-1.065509692E-1,-1.219305955E-2,-6.101642549E-2
7.958479167E-2,-1.094411537E-1,-3.681074828E-2,-1.006515250E-1
8.959979167E-2,-1.103767231E-1,-6.662110984E-2,-1.159034446E-1
9.961379167E-2,-9.322363883E-2,-1.171937138E-1,-1.122075543E-1
1.096277917E-1,-7.493518293E-2,-1.687370539E-1,-9.849893302E-2
1.196417917E-1,-7.814769447E-2,-1.821952909E-1,-8.683227748E-2
1.296557917E-1,-1.279573292E-1,-1.649265587E-1,-9.473893791E-2
1.396697917E-1,-2.149997652E-1,-1.119542494E-1,-1.190928221E-1
1.496837917E-1,-3.006345034E-1,-4.229021445E-2,-1.509735137E-1
1.596977917E-1,-3.436251283E-1,-2.244912088E-2,-1.764070094E-1
1.697117917E-1,-3.368194401E-1,-4.788523912E-2,-1.884271801E-1
1.797257917E-1,-2.929017842E-1,-1.062348336E-1,-1.836920828E-1
1.897407917E-1,-2.247600257E-1,-1.825037748E-1,-1.729717851E-1
1.997547917E-1,-1.608532071E-1,-2.376541495E-1,-1.662663668E-1
2.097687917E-1,-1.398531199E-1,-2.581091225E-1,-1.560294479E-1
2.197827917E-1,-1.712833494E-1,-2.311866879E-1,-1.475432515E-1
2.297967917E-1,-2.562637627E-1,-2.443070263E-1,-1.594534367E-1
2.398107917E-1,-3.715519309E-1,-3.017867208E-1,-1.665230244E-1
2.498247917E-1,-5.082248449E-1,-4.273408949E-1,-1.720149964E-1
2.598387917E-1,-7.348899841E-1,-7.892701030E-1,-2.223577797E-1
2.698527917E-1,-7.355477810E-1,-6.404808760E-1,-7.427963614E-2
2.798677917E-1,-7.651928663E-1,-6.902494431E-1,2.962722629E-2
