"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.479791667E-3,1.767823792E-1,6.505022736E0,6.357579346E0
1.449379167E-2,2.800675964E-1,6.470145264E0,5.874234467E0
2.450779167E-2,2.959346008E-1,6.532864838E0,5.941295013E0
3.452179167E-2,3.601510620E-1,6.679859161E0,6.130950623E0
4.453579167E-2,5.192701721E-1,6.960675201E0,6.311774597E0
5.454979167E-2,7.108717346E-1,7.226821747E0,6.387367401E0
6.456379167E-2,8.358618164E-1,7.347021790E0,6.393804016E0
7.457779167E-2,8.141569519E-1,7.293882294E0,6.397995300E0
8.459179167E-2,6.219566345E-1,7.162904663E0,6.370153198E0
9.460679167E-2,3.218307495E-1,7.033872986E0,6.371650085E0
1.046207917E-1,4.969665527E-2,6.889722748E0,6.411317596E0
1.146347917E-1,-4.879852295E-2,6.819967804E0,6.354735260E0
1.246487917E-1,5.029541016E-2,6.926097107E0,6.277346191E0
1.346627917E-1,2.570155334E-1,7.058272247E0,6.182593231E0
1.446767917E-1,4.631369019E-1,7.144343262E0,6.183042297E0
1.546907917E-1,4.668791199E-1,7.118147736E0,6.300847321E0
1.647047917E-1,2.868035889E-1,6.916217651E0,6.453829193E0
1.747187917E-1,9.026229858E-2,6.672075348E0,6.616840210E0
1.847337917E-1,-1.428030396E-1,6.510261841E0,6.735842743E0
1.947477917E-1,-2.736309814E-1,6.527625732E0,6.758894806E0
2.047617917E-1,-3.053649902E-1,6.531667328E0,6.685397644E0
2.147757917E-1,-3.465293884E-1,6.510261841E0,6.483766937E0
2.247897917E-1,-3.703298950E-1,6.601571960E0,6.223158875E0
2.348037917E-1,-4.225712585E-1,6.836433563E0,5.762267303E0
2.448177917E-1,-4.819976807E-1,6.848558350E0,5.422324219E0
2.548317917E-1,-1.880090332E-1,6.195017395E0,4.955295410E0
2.648457917E-1,-2.016307068E-1,5.973777466E0,5.080584869E0
2.748597917E-1,-1.249302063E0,7.048243103E0,6.778354340E0
2.848747917E-1,-6.709048462E-1,6.551126862E0,6.360872498E0
2.948887917E-1,-1.178050232E-1,6.234984283E0,6.330485687E0
3.049027917E-1,-4.156855774E-1,6.458619232E0,6.497238922E0
3.149167917E-1,-2.272274780E-1,6.890770569E0,7.386240234E0
3.249307917E-1,1.567240906E-1,6.714586945E0,7.194039917E0
3.349447917E-1,8.105644226E-1,6.258934479E0,6.168223114E0
3.449587917E-1,8.758287048E-1,5.972729645E0,5.439688110E0
3.549727917E-1,4.740641785E-1,5.911506958E0,5.011278992E0
3.649867917E-1,-9.610015869E-2,5.724246368E0,4.881648560E0
3.750017917E-1,-7.605683899E-1,5.304519196E0,5.073699188E0
3.850157917E-1,-1.410217438E0,5.350922699E0,5.371430054E0
3.950297917E-1,-6.725514221E-1,4.858746185E0,6.668183441E0
4.050437917E-1,5.502557373E-1,3.938759308E0,5.351222076E0
4.150577917E-1,1.112187195E0,5.248535614E0,5.229076080E0
4.250717917E-1,2.381697235E0,5.945785675E0,6.893764343E0
4.350857917E-1,3.348686371E0,5.598358154E0,8.512647858E0
4.450997917E-1,4.358486481E0,5.411247253E0,9.169931030E0
4.551137917E-1,5.266797638E0,4.742438049E0,8.056396637E0
4.651287917E-1,5.782175903E0,4.828059998E0,7.738008728E0
4.751427917E-1,6.669680328E0,5.840105438E0,8.634045410E0
4.851567917E-1,8.391250305E0,8.117170258E0,9.810000000E0
4.951707917E-1,1.079285614E1,1.025143204E1,1.141825562E1
5.051847917E-1,1.373723328E1,1.058553726E1,1.215367630E1
5.151987917E-1,1.671783508E1,1.001776794E1,1.421219559E1
5.252127917E-1,1.722243576E1,9.611662445E0,1.500764145E1
5.352267917E-1,1.669642960E1,8.597970428E0,1.439631271E1
5.452417917E-1,1.734428238E1,8.794362030E0,1.354623047E1
5.552557917E-1,1.791699142E1,8.725654907E0,1.186447769E1
5.652697917E-1,1.776221329E1,7.992030487E0,1.045306274E1
5.752837917E-1,1.847338440E1,7.262747040E0,1.077055252E1
5.852977917E-1,1.914114578E1,6.574478302E0,1.244871277E1
6.253547917E-1,1.838012833E1,4.859943695E0,1.177690979E1
6.353687917E-1,1.698892136E1,4.859644318E0,9.496701508E0
6.453827917E-1,1.567660034E1,4.495601349E0,7.945477295E0
6.553967917E-1,1.403825729E1,3.773802338E0,7.248526611E0
6.654107917E-1,1.253358627E1,2.989583130E0,6.762936401E0
