"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.269500000E-3,1.024918671E0,7.167245636E0,6.871610413E0
1.828350000E-2,9.009764099E-1,7.100334778E0,6.953190765E0
2.829850000E-2,7.138655090E-1,7.064110107E0,6.902895355E0
3.831250000E-2,5.743556213E-1,7.038812714E0,6.781797180E0
4.832750000E-2,4.650828552E-1,7.016808472E0,6.677913208E0
5.834150000E-2,4.053570557E-1,6.979985046E0,6.626719666E0
6.835650000E-2,3.257226562E-1,6.979685669E0,6.634503479E0
7.837050000E-2,3.013233948E-1,6.972201233E0,6.697821808E0
8.838550000E-2,2.838098145E-1,7.016060028E0,6.639892273E0
9.839950000E-2,3.159928894E-1,7.124734039E0,6.463259583E0
1.084145000E-1,3.546125793E-1,7.217541046E0,6.360722809E0
1.184285000E-1,4.046086121E-1,7.261549530E0,6.322552185E0
1.284435000E-1,4.159849548E-1,7.217241669E0,6.401288452E0
1.384575000E-1,4.168830872E-1,7.133715363E0,6.451583862E0
1.484715000E-1,3.977229309E-1,7.090455322E0,6.465504913E0
1.584865000E-1,4.052073669E-1,7.069798279E0,6.632108459E0
1.685005000E-1,3.745211792E-1,7.004533997E0,6.625073090E0
1.785155000E-1,2.564167786E-1,7.050189056E0,6.518943787E0
1.885295000E-1,2.692900085E-1,7.081923065E0,6.457870789E0
1.985445000E-1,3.146456909E-1,7.093299408E0,6.349945221E0
2.085585000E-1,2.758763123E-1,7.075636139E0,6.183042297E0
2.185735000E-1,1.612147522E-1,6.993157654E0,6.077960815E0
2.285875000E-1,-3.682342529E-2,6.863227844E0,6.001619568E0
2.386025000E-1,-2.028282166E-1,6.759493561E0,5.904321899E0
2.486165000E-1,-2.897973633E-1,6.705455933E0,5.833668823E0
2.586315000E-1,-2.444416809E-1,6.688840485E0,5.798941040E0
2.686455000E-1,-2.118095398E-1,6.719526672E0,5.653892670E0
2.786605000E-1,-1.766326904E-1,6.738088074E0,5.488786011E0
2.886745000E-1,-1.754351807E-1,6.793323212E0,5.490133209E0
2.986895000E-1,-2.600093079E-1,6.728208618E0,5.513933716E0
3.087035000E-1,-3.701802063E-1,6.600075073E0,5.558990021E0
3.187185417E-1,-5.358856201E-1,6.428382111E0,5.688470764E0
3.287325417E-1,-6.875202942E-1,6.298452301E0,5.639223175E0
3.387465417E-1,-9.102571106E-1,6.237528992E0,5.510640564E0
3.487615417E-1,-1.142873383E0,6.197711792E0,5.270240479E0
3.587755417E-1,-1.316811676E0,6.053262177E0,4.939877472E0
3.687905417E-1,-1.152902527E0,5.890400848E0,4.871469727E0
3.788045417E-1,-6.849755859E-1,5.951174469E0,5.233716431E0
3.888195417E-1,-3.179388428E-1,6.058201904E0,5.582790527E0
3.988335417E-1,-3.742218018E-3,6.068979492E0,5.537734222E0
4.088485417E-1,2.011816406E-1,6.094426575E0,5.384752350E0
4.188625417E-1,5.002597046E-1,6.174060974E0,5.369184723E0
4.288775417E-1,7.077282715E-1,6.331982574E0,5.403463440E0
4.388915417E-1,6.926097107E-1,6.419999542E0,5.427413635E0
4.489065417E-1,5.263055420E-1,6.389912109E0,5.273833008E0
4.589205417E-1,2.954855347E-1,6.277346191E0,4.934338989E0
4.689355417E-1,3.116519165E-1,6.130351868E0,4.592300262E0
4.789495417E-1,4.679269409E-1,6.053411865E0,4.636757812E0
4.889645417E-1,1.022673340E0,6.089337158E0,5.072202301E0
4.989785417E-1,2.047442322E0,6.425538025E0,6.038143616E0
5.089935417E-1,2.630479889E0,6.714586945E0,6.777605896E0
5.190075417E-1,2.809058533E0,6.651418304E0,7.023245087E0
5.290225417E-1,2.609523468E0,6.401737518E0,6.969656525E0
5.390365417E-1,2.132764893E0,6.145470428E0,6.627168732E0
5.490515417E-1,1.574276276E0,5.857319641E0,5.864804077E0
5.590655417E-1,1.254541168E0,5.543272705E0,5.098547516E0
5.690805417E-1,1.472937012E0,5.461093597E0,4.826862488E0
5.790945417E-1,1.695374451E0,5.463189240E0,5.108876038E0
5.891095417E-1,1.691781921E0,5.301226044E0,5.391488342E0
5.991235417E-1,2.298919373E0,5.213358765E0,5.833668823E0
6.091385417E-1,3.578907623E0,5.688770142E0,6.903045044E0
6.191525417E-1,4.255949707E0,6.241271210E0,7.221582642E0
6.291665417E-1,4.103865967E0,6.188131714E0,6.675817566E0
6.391815417E-1,3.456013184E0,5.699697418E0,5.866151276E0
6.491955417E-1,2.903661804E0,5.389991455E0,5.208568726E0
6.592105417E-1,3.048261108E0,5.181624756E0,5.273833008E0
6.692245417E-1,3.819906464E0,5.152136078E0,5.811365204E0
6.792395417E-1,4.610113220E0,5.130730591E0,6.452182617E0
6.892535417E-1,5.237009583E0,4.996609497E0,6.743177490E0
6.992685417E-1,5.722300415E0,4.880451050E0,6.839277649E0
7.092825417E-1,6.299051056E0,4.773872681E0,7.258256378E0
7.192975417E-1,6.502178650E0,4.554578705E0,7.495513000E0
7.293115417E-1,6.239175568E0,4.373754730E0,7.667804718E0
7.393265417E-1,5.930667114E0,4.068838806E0,7.806117096E0
7.493405417E-1,5.995482330E0,3.910917206E0,7.474556580E0
7.593555417E-1,6.381679230E0,3.991300049E0,7.122937775E0
7.693695417E-1,6.991211700E0,4.080215149E0,7.208709412E0
7.793845417E-1,7.628436584E0,4.128265228E0,7.494465179E0
7.893985417E-1,8.015232239E0,4.043242035E0,7.847281494E0
7.994135417E-1,8.370892639E0,3.924239502E0,8.273894348E0
8.094275417E-1,8.754694519E0,3.809727631E0,8.610544281E0
8.194425417E-1,9.103469238E0,3.608695679E0,9.235943756E0
8.294565417E-1,9.388626251E0,3.356170807E0,1.026879593E1
8.394715417E-1,9.772727509E0,3.134781189E0,1.128637985E1
8.494855417E-1,1.025322830E1,2.985990601E0,1.171404053E1
8.595005417E-1,1.068777466E1,2.931354218E0,1.177271851E1
8.695145417E-1,1.099328934E1,2.882406006E0,1.172242310E1
8.795295417E-1,1.133892059E1,2.656076660E0,1.133622620E1
8.895435417E-1,1.186881866E1,2.613415375E0,1.075962524E1
8.995585417E-1,1.294597870E1,2.782264252E0,1.068478088E1
9.095725417E-1,1.416414551E1,3.071612549E0,1.067490143E1
9.195875417E-1,1.542452454E1,3.288212128E0,1.041698776E1
9.296015417E-1,1.660437103E1,3.494333496E0,1.037312897E1
9.396165417E-1,1.714609451E1,3.628753967E0,1.080782501E1
9.496305417E-1,1.737496857E1,3.568728790E0,1.143696671E1
9.596455417E-1,1.761881149E1,3.506607971E0,1.181463135E1
9.696595417E-1,1.765039581E1,3.376528473E0,1.199979630E1
9.796745417E-1,1.737661514E1,3.135829010E0,1.196626602E1
9.896885417E-1,1.743993347E1,3.008593597E0,1.188079376E1
9.997035417E-1,1.794303726E1,3.138673096E0,1.156420212E1
1.009717542E0,1.811952026E1,3.188519440E0,1.100646194E1
1.019732542E0,1.799213516E1,2.968477020E0,1.048404831E1
1.029746542E0,1.764904861E1,2.782713318E0,9.732161865E0
1.039761542E0,1.695224762E1,2.498753815E0,8.606053619E0
1.049775542E0,1.618404510E1,1.858385468E0,7.668403473E0
1.059790542E0,1.561926956E1,1.143172760E0,7.435487823E0
1.069804542E0,1.515718048E1,6.155200195E-1,7.733967133E0
1.079819542E0,1.469090012E1,1.610650635E-1,7.983049164E0
1.089833542E0,1.424707306E1,-1.478924561E-1,7.784262543E0
1.099848542E0,1.356883347E1,-4.677772522E-1,7.567363586E0
1.109862542E0,1.286829025E1,-8.535250854E-1,7.805668030E0
1.119877542E0,1.235321136E1,-1.096020813E0,8.360264740E0
1.129891542E0,1.190893524E1,-1.240320740E0,8.771609344E0
1.139906542E0,1.131676666E1,-1.440454559E0,8.507558441E0
1.149920542E0,1.038615189E1,-1.905387726E0,7.448361053E0
1.159935542E0,8.772357788E0,-2.796784058E0,5.700296173E0
1.169949542E0,6.705006866E0,-3.313359833E0,3.729344788E0
1.179964542E0,5.519172821E0,-3.598516846E0,2.074086914E0
1.189978542E0,5.069208527E0,-3.977378998E0,1.736838226E0
1.199993542E0,4.295766907E0,-4.792733459E0,2.374212799E0
1.210007542E0,3.077450409E0,-5.782774658E0,2.986289978E0
1.220022542E0,1.632954254E0,-6.561305695E0,3.602708130E0
1.230036542E0,-1.023870850E-1,-7.172933807E0,4.277953949E0
1.240051542E0,-1.879192200E0,-7.871381378E0,4.417314148E0
1.250065542E0,-3.568279724E0,-8.700656891E0,3.657494202E0
1.260080542E0,-5.138514404E0,-8.973689117E0,2.861000519E0
1.270094542E0,-6.773863678E0,-8.782386932E0,2.755320282E0
1.280109542E0,-8.007149048E0,-7.662116547E0,3.001408539E0
1.290123542E0,-8.377029877E0,-6.425388336E0,3.255579987E0
1.300138542E0,-8.360713806E0,-5.449118500E0,3.123554535E0
1.310152542E0,-8.386310577E0,-4.592300262E0,2.334694977E0
1.320167917E0,-7.945626984E0,-3.972439270E0,1.183439026E0
1.330182917E0,-6.953639832E0,-3.165467377E0,-2.254312134E-1
1.340196917E0,-5.209466858E0,-1.611997833E0,-1.725761261E0
1.350211917E0,-3.181933136E0,1.411564636E-1,-2.330354004E0
1.360225917E0,-1.923949127E0,1.296753387E0,-1.957030334E0
1.370240917E0,-1.411864014E0,1.743574219E0,-1.244661713E0
1.380254917E0,-8.065228271E-1,2.163301392E0,-8.643026733E-1
1.390269917E0,4.059558105E-1,2.706671448E0,-4.519102478E-1
1.400283917E0,2.224823456E0,3.383264465E0,3.658392334E-1
1.410298917E0,4.240382080E0,3.931574249E0,8.006849670E-1
1.420312917E0,6.596931610E0,4.307143250E0,5.219645691E-1
1.430327917E0,9.910291443E0,4.942721558E0,7.985893250E-1
1.440341917E0,1.357407257E1,6.114035797E0,1.413360901E0
1.450356917E0,1.703173233E1,7.232659607E0,8.629554749E-1
1.460370917E0,1.995605118E1,8.039930878E0,-4.068539429E-1
1.470385917E0,2.189751389E1,8.461903381E0,-1.498234406E0
1.480399917E0,2.232652176E1,8.088579712E0,-1.916614380E0
1.490414917E0,2.124217667E1,7.580386505E0,-1.162183228E0
1.500428917E0,1.993913635E1,7.200476532E0,2.836601257E-1
1.510443917E0,1.917273010E1,6.809339905E0,1.530118103E0
1.520457917E0,1.841919708E1,6.772516479E0,2.142644348E0
1.530472917E0,1.764291138E1,6.427783356E0,2.321971436E0
1.540486917E0,1.665825897E1,5.724246368E0,2.608026581E0
1.550501917E0,1.576581482E1,5.312153320E0,2.278262329E0
1.560515917E0,1.495510071E1,5.085075531E0,1.410965881E0
1.570530917E0,1.381237701E1,4.829107819E0,9.021739197E-1
1.580544917E0,1.224588455E1,4.768783264E0,7.753875732E-1
1.590559917E0,1.050275940E1,4.809348907E0,8.032296753E-1
1.600573917E0,8.860075378E0,4.707710266E0,1.043629761E0
1.610588917E0,7.340734863E0,4.441713409E0,1.713486786E0
1.620603917E0,5.848038940E0,3.983965302E0,2.834355927E0
1.630617917E0,4.611759796E0,3.508404236E0,3.992048492E0
1.640632917E0,3.661685486E0,3.113675079E0,4.781806183E0
1.650646917E0,2.600841522E0,2.920726318E0,5.390290833E0
1.660661917E0,1.677561493E0,3.279829559E0,5.872288513E0
1.670675917E0,1.297052765E0,3.835474091E0,6.270011444E0
1.680690917E0,1.335073700E0,4.330943756E0,7.099736023E0
1.690704917E0,1.688039703E0,4.852608948E0,7.998616791E0
1.700719917E0,1.951940918E0,5.142106934E0,8.757239227E0
1.710733917E0,2.102976837E0,4.948409729E0,9.587263184E0
1.720748917E0,2.365680542E0,4.476291504E0,1.040725800E1
1.730762917E0,2.697540436E0,3.981121216E0,1.122530685E1
1.740777917E0,3.173251190E0,3.745660858E0,1.211475723E1
1.750791917E0,3.841761017E0,3.640729065E0,1.305704773E1
1.760806917E0,4.702620850E0,3.584446106E0,1.380279694E1
1.770820917E0,5.563929749E0,3.593277740E0,1.401266052E1
1.780835917E0,6.188281403E0,3.431613922E0,1.365131195E1
1.790849917E0,6.513704681E0,3.152145081E0,1.286320084E1
1.800864917E0,6.730154572E0,2.838397522E0,1.170011948E1
1.810878917E0,7.224875793E0,2.727328491E0,1.044363235E1
1.820893917E0,8.289312286E0,3.172652435E0,9.151519318E0
1.830908917E0,9.343270569E0,3.823049927E0,7.930658112E0
1.840922917E0,9.711205444E0,3.964954834E0,6.842121735E0
1.850937917E0,9.527537384E0,3.607797546E0,5.880671082E0
1.860951917E0,9.156758423E0,3.169658661E0,5.200635223E0
1.870966917E0,9.225914612E0,2.869083710E0,4.389172668E0
1.880980917E0,9.883197784E0,3.038082275E0,3.212319946E0
1.890995917E0,1.103445374E1,3.515589294E0,1.890718231E0
1.901009917E0,1.183858154E1,3.935166779E0,6.782395935E-1
1.911024917E0,1.235261261E1,4.242926788E0,-1.984872437E-1
1.921038917E0,1.304612045E1,4.450095978E0,-8.593629456E-1
1.931053917E0,1.355176895E1,4.528532867E0,-1.378184052E0
1.941067917E0,1.360191467E1,4.370760956E0,-1.687440948E0
1.951082917E0,1.338890762E1,4.119732971E0,-2.016307068E0
1.961096917E0,1.326212128E1,4.040248260E0,-2.366878052E0
1.971111917E0,1.315703979E1,4.220024414E0,-2.175426178E0
1.981126917E0,1.252206024E1,4.412524109E0,-1.552421722E0
1.991140917E0,1.152049301E1,4.430935822E0,-1.335672455E0
2.001155917E0,1.040980270E1,4.170178070E0,-1.453477478E0
2.011169917E0,9.323511658E0,3.943699036E0,-1.221909027E0
2.021184917E0,8.358468475E0,3.880081329E0,-7.315287781E-1
2.031198917E0,7.455845490E0,3.628604279E0,-7.768844604E-2
2.041213917E0,6.465205536E0,3.212319946E0,5.920188904E-1
2.051227917E0,5.516328735E0,2.829266510E0,1.039737854E0
2.061242917E0,4.588108978E0,2.652933197E0,1.824855194E0
2.071256917E0,3.538940735E0,2.195783844E0,2.607577515E0
2.081271917E0,2.437231750E0,1.355581055E0,2.677332458E0
2.091285917E0,1.731449432E0,8.689430237E-1,2.559228058E0
2.101300917E0,1.538800049E0,8.455915833E-1,2.635569305E0
2.111314917E0,2.000589752E0,1.007405090E0,2.817141724E0
2.121329917E0,2.588716736E0,1.061742096E0,3.019969940E0
