"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
1.976458333E-3,-6.490746140E-2,4.845168907E-3,1.503435969E-1
1.198945833E-2,-1.466859579E-1,1.722327620E-2,1.483603418E-1
2.200345833E-2,-1.840089262E-1,4.914739169E-3,1.413055211E-1
3.201745833E-2,-1.763190478E-1,1.062162779E-2,1.353605539E-1
4.203045833E-2,-1.552677155E-1,-2.411361551E-3,1.295568347E-1
5.204445833E-2,-1.132070795E-1,-3.141504899E-2,1.254859269E-1
6.205845833E-2,-5.465162918E-2,-7.239928842E-2,1.259804666E-1
7.207145833E-2,-3.845438827E-3,-9.966713190E-2,1.374941170E-1
8.208545833E-2,3.403579071E-2,-1.027597860E-1,1.460880339E-1
9.209945833E-2,3.328344971E-2,-1.109343618E-1,1.610544622E-1
1.021134583E-1,-3.981400747E-3,-1.217323542E-1,1.876253039E-1
1.121264583E-1,-4.277673364E-2,-1.296355426E-1,2.131879181E-1
1.221404583E-1,-6.625395268E-2,-1.219729185E-1,2.402306199E-1
1.321544583E-1,-7.252036780E-2,-1.349134892E-1,2.621590793E-1
1.421674583E-1,-5.340630934E-2,-1.857855618E-1,2.711606026E-1
1.521814583E-1,-2.467400022E-2,-2.597891986E-1,2.796643376E-1
1.621954583E-1,-1.005769800E-2,-3.261581659E-1,2.944388092E-1
1.722084583E-1,-4.510599189E-3,-3.336030245E-1,3.048347235E-1
1.822224583E-1,2.216653712E-2,-2.842214704E-1,3.166801929E-1
1.922367500E-1,4.821544886E-2,-2.347194254E-1,3.334674239E-1
2.022507500E-1,3.544786572E-2,-2.353274524E-1,3.560194969E-1
2.122637500E-1,1.524352748E-2,-2.694430947E-1,3.906206191E-1
2.222777500E-1,2.114411816E-2,-3.294622302E-1,4.587688744E-1
2.322917500E-1,3.249957040E-2,-4.156703353E-1,5.554152727E-1
2.423047500E-1,2.603344619E-2,-5.155864954E-1,6.558803916E-1
2.523187500E-1,2.464301139E-2,-6.074008346E-1,7.365978360E-1
2.623327500E-1,7.781614549E-3,-6.895602942E-1,8.053951859E-1
2.723457500E-1,-2.183939517E-2,-7.142381668E-1,8.614810705E-1
2.823597500E-1,-2.490016632E-2,-7.601217628E-1,9.044205546E-1
2.923737500E-1,2.979956567E-2,-8.434078693E-1,9.280207157E-1
3.023877500E-1,7.750268281E-2,-8.858059049E-1,9.728441238E-1
3.124007500E-1,1.342969835E-1,-9.571530223E-1,1.044128418E0
3.224147500E-1,1.931900382E-1,-1.018604875E0,1.103042364E0
3.324287500E-1,2.275813073E-1,-1.022528291E0,1.125944972E0
3.424417500E-1,2.130314708E-1,-1.035942078E0,1.109972358E0
3.524557500E-1,1.741541177E-1,-1.095009923E0,1.126222253E0
3.624697500E-1,2.196697146E-1,-1.135157347E0,1.224842548E0
3.724827500E-1,2.802752554E-1,-1.201337695E0,1.294544101E0
3.824967500E-1,2.921319902E-1,-1.324140549E0,1.404263973E0
3.925107500E-1,2.664678991E-1,-1.478467584E0,1.536585808E0
4.025247500E-1,2.964599431E-1,-1.554566741E0,1.668738127E0
4.125377500E-1,3.732092977E-1,-1.612899303E0,1.797766685E0
4.225517500E-1,3.897078931E-1,-1.694235563E0,1.952648640E0
4.325657500E-1,3.968712687E-1,-1.791817784E0,2.137043476E0
4.425787500E-1,4.385712147E-1,-1.972023368E0,2.333279848E0
4.525927500E-1,4.933367372E-1,-2.070752144E0,2.451051235E0
4.626067500E-1,6.260739565E-1,-1.974245548E0,2.471682072E0
4.726207500E-1,8.122196198E-1,-1.931205988E0,2.462364912E0
4.826337500E-1,1.054038525E0,-2.037342072E0,2.565780401E0
4.926477500E-1,1.352306128E0,-2.283167601E0,2.747410059E0
5.026617500E-1,1.663074970E0,-2.676751852E0,2.949487448E0
5.126747500E-1,1.949123979E0,-3.143694162E0,3.192459822E0
5.226887500E-1,2.145873785E0,-3.571612358E0,3.518331051E0
5.327027500E-1,2.223747253E0,-4.012769222E0,3.920227528E0
5.427157500E-1,2.228703260E0,-4.398931503E0,4.313131332E0
5.527297500E-1,2.196653605E0,-4.521097183E0,4.581959724E0
5.627437500E-1,2.189470768E0,-4.382241249E0,4.663921833E0
5.727577500E-1,2.203694582E0,-4.088570595E0,4.532174110E0
5.827707500E-1,2.173068047E0,-3.766598940E0,4.142430782E0
5.927847500E-1,2.071418285E0,-3.526735783E0,3.724614143E0
6.027987500E-1,1.898654461E0,-3.332223654E0,3.545967817E0
6.128117500E-1,1.656835198E0,-3.166893005E0,3.590947390E0
6.228257500E-1,1.393355727E0,-3.107089758E0,3.740565062E0
6.328397500E-1,1.233002782E0,-3.151968479E0,3.941169500E0
6.428537500E-1,1.214559913E0,-3.358788729E0,4.076482773E0
6.528667500E-1,1.392860055E0,-3.653120756E0,4.090855122E0
6.628807500E-1,1.787218690E0,-3.906249046E0,4.038717270E0
6.728947500E-1,2.263033867E0,-4.141663551E0,3.942579269E0
6.829077500E-1,2.620056391E0,-4.258126259E0,3.790547609E0
6.929217500E-1,2.753009319E0,-4.315162182E0,3.712233782E0
7.029357500E-1,2.593506813E0,-4.020270824E0,3.544461966E0
7.129497500E-1,2.064550400E0,-3.652998447E0,3.335325003E0
7.229627500E-1,1.392807484E0,-3.312963724E0,3.194255829E0
7.329767500E-1,7.806712389E-1,-3.031683922E0,2.992375374E0
7.429907500E-1,4.164604247E-1,-2.955122948E0,2.784747362E0
7.530037500E-1,3.684862256E-1,-2.910475016E0,2.611564636E0
7.630177500E-1,4.455108643E-1,-2.812648773E0,2.482156992E0
7.730317500E-1,5.433215499E-1,-2.682243824E0,2.387701511E0
7.830457500E-1,5.998069048E-1,-2.511306286E0,2.341967821E0
7.930587500E-1,5.577592850E-1,-2.356627703E0,2.291670561E0
