"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.470708333E-3,1.678908691E0,7.060068512E0,7.332352295E0
1.748370833E-2,1.392853546E0,6.904541931E0,7.036866760E0
2.749770833E-2,1.235530701E0,6.874005432E0,7.066804504E0
3.751070833E-2,1.147513733E0,6.818321228E0,7.231162720E0
4.752470833E-2,1.012793884E0,6.716981964E0,7.316335602E0
5.753770833E-2,8.562194824E-1,6.733447723E0,7.166946259E0
6.755170833E-2,7.530839539E-1,6.741530914E0,6.865772552E0
7.756470833E-2,6.491999817E-1,6.764732666E0,6.723568268E0
8.757870833E-2,5.827381897E-1,6.754254456E0,6.721622314E0
9.759170833E-2,5.037025452E-1,6.707850952E0,6.865473175E0
1.076057083E-1,6.330335999E-1,6.704108734E0,7.238946533E0
1.176187083E-1,9.303153992E-1,6.770420837E0,7.439529419E0
1.276327083E-1,1.177900543E0,6.833739166E0,7.485633545E0
1.376457083E-1,1.380728760E0,6.867568817E0,7.596852264E0
1.476597083E-1,1.531315613E0,6.814579010E0,7.720944214E0
1.576727083E-1,1.473685455E0,6.729406128E0,7.657925262E0
1.676857083E-1,1.353485413E0,6.634952545E0,7.431895294E0
1.776997083E-1,1.378932495E0,6.630761261E0,7.315587158E0
1.877127083E-1,1.432521057E0,6.587052155E0,7.261848907E0
1.977267083E-1,1.431622925E0,6.545738068E0,7.256011047E0
2.077397083E-1,1.431024170E0,6.556066589E0,7.445067902E0
2.177537083E-1,1.345252533E0,6.558461609E0,7.569010162E0
2.277667083E-1,1.273401947E0,6.536607056E0,7.512128448E0
2.377807083E-1,1.168919220E0,6.521189117E0,7.302264862E0
2.477937083E-1,1.111588440E0,6.449637909E0,7.099286957E0
2.578077083E-1,1.118025055E0,6.412664795E0,6.905589752E0
2.678207083E-1,1.077908478E0,6.409371643E0,6.755451965E0
2.778347083E-1,9.824070740E-1,6.365063782E0,6.587800598E0
2.878477083E-1,9.123527527E-1,6.325995026E0,6.429878998E0
2.978617083E-1,8.012837219E-1,6.328390045E0,6.356082458E0
3.078747083E-1,5.063969421E-1,6.408323822E0,6.230942688E0
3.178877083E-1,1.627116394E-1,6.482569427E0,5.946234741E0
3.279017083E-1,-2.258802795E-1,6.480773163E0,5.589975586E0
3.379147083E-1,-6.577322388E-1,6.446494446E0,5.270390167E0
3.479287083E-1,-9.505233765E-1,6.438860321E0,5.233566742E0
3.579417083E-1,-1.119971008E0,6.212081909E0,5.525160370E0
3.679557083E-1,-7.063810730E-1,6.447242889E0,5.858666840E0
3.779687083E-1,-1.930984497E-1,6.782845001E0,5.754633179E0
3.879827083E-1,-8.681945801E-2,6.897207184E0,6.178701324E0
3.979957083E-1,-1.508862305E-1,6.942562866E0,6.737489319E0
4.080097083E-1,-1.968406677E-1,7.068151703E0,6.923702087E0
4.180227083E-1,-9.235794067E-2,7.235204315E0,7.200925598E0
4.280367083E-1,-6.721023560E-2,7.316485291E0,7.172634430E0
4.380497083E-1,-3.263214111E-1,7.290738831E0,6.569837952E0
4.480637083E-1,-6.170169067E-1,7.268884277E0,5.951473846E0
4.580767083E-1,-3.656895447E-1,7.440277863E0,6.133046265E0
4.680907083E-1,-1.948947144E-1,7.685767365E0,6.659950562E0
4.781037083E-1,-1.686991882E-1,7.740703125E0,6.510261841E0
4.881177083E-1,7.574249268E-2,7.930807800E0,6.035598907E0
4.981307083E-1,5.367837524E-1,7.676636353E0,5.910459137E0
5.081437083E-1,1.383722534E0,7.180567932E0,6.420298920E0
5.181578333E-1,1.407223663E0,6.806645508E0,6.924600220E0
5.281708333E-1,9.404942322E-1,6.305487671E0,6.846911774E0
5.381848333E-1,6.512956238E-1,5.044509888E0,5.611680450E0
5.481978333E-1,-1.986369324E-1,3.724105682E0,4.467759247E0
5.582118333E-1,3.820056152E-1,2.529889069E0,3.875440979E0
5.682248333E-1,2.146087189E0,1.826501770E0,3.821403351E0
5.782388333E-1,3.137026520E0,1.241518250E0,3.716471558E0
5.882518333E-1,4.500840454E0,7.171586609E-1,3.016078033E0
5.982658333E-1,6.251300354E0,2.013313293E-1,2.388433228E0
6.082788333E-1,6.742129669E0,-1.102008362E0,1.959575043E0
6.182928333E-1,7.073989563E0,-1.870360565E0,1.116977234E0
6.283058333E-1,8.678952026E0,-1.463806000E0,-3.065625000E-1
6.383198333E-1,9.655072174E0,-1.553918610E0,-1.829495544E0
6.483328333E-1,1.021850052E1,-1.842518463E0,-2.838996277E0
6.583468333E-1,1.089195007E1,-1.837129669E0,-3.525169373E0
6.683598333E-1,1.220157669E1,-2.130669250E0,-4.924309845E0
6.783738333E-1,1.356344467E1,-1.555714874E0,-6.750512238E0
6.883868333E-1,1.392389511E1,-1.494192810E0,-7.408244476E0
6.984008333E-1,1.322619598E1,-2.523452454E0,-6.782246246E0
7.084138333E-1,1.226205093E1,-3.112327881E0,-5.557792511E0
7.184278333E-1,1.207808350E1,-3.649710388E0,-5.425767059E0
7.284408333E-1,1.272324188E1,-3.802991638E0,-6.171815643E0
7.384548333E-1,1.371118744E1,-3.651057587E0,-6.479425964E0
7.484678333E-1,1.378722931E1,-3.998036041E0,-6.291716309E0
7.584808333E-1,1.292532166E1,-4.791386261E0,-5.613177338E0
7.684948333E-1,1.179876434E1,-5.632936249E0,-5.156027985E0
7.785078333E-1,1.078641953E1,-6.482120361E0,-5.331014099E0
7.885218333E-1,1.029020142E1,-7.349117432E0,-5.422473907E0
7.985348333E-1,1.008931915E1,-7.410938873E0,-5.845494232E0
8.085488333E-1,9.830058289E0,-7.572902069E0,-6.823111267E0
8.185618333E-1,9.956096191E0,-7.918832703E0,-8.163424072E0
8.285758333E-1,1.012928604E1,-8.473878479E0,-9.362131348E0
8.385888333E-1,1.019005966E1,-8.992849274E0,-9.631271667E0
8.486028333E-1,1.050141220E1,-8.968300323E0,-9.026229858E0
8.586158333E-1,1.071397018E1,-8.981023865E0,-8.156089325E0
8.686298333E-1,1.090781708E1,-9.192234650E0,-7.926317139E0
8.786428333E-1,1.096095657E1,-9.025481415E0,-8.082442474E0
8.886568333E-1,1.108130630E1,-9.095984802E0,-8.436306610E0
8.986698333E-1,1.101993393E1,-9.542356567E0,-8.387957153E0
9.086838333E-1,1.113848740E1,-1.016042130E1,-8.103997650E0
9.186968333E-1,1.117276611E1,-1.037148239E1,-8.068671112E0
9.287108333E-1,1.106409210E1,-1.014365616E1,-8.460705872E0
9.387238333E-1,1.157333313E1,-9.866432648E0,-9.356742554E0
9.487378333E-1,1.208062820E1,-9.345964966E0,-1.032582733E1
9.587508333E-1,1.229797623E1,-8.553363190E0,-1.083476898E1
9.687648333E-1,1.224064545E1,-8.171207886E0,-1.133338211E1
9.787778333E-1,1.151151169E1,-8.047415314E0,-1.171523804E1
9.887918333E-1,1.075423645E1,-7.803572388E0,-1.188618256E1
9.988048333E-1,1.038510406E1,-7.745792542E0,-1.154070099E1
1.008818833E0,1.003722748E1,-7.641160126E0,-1.068268524E1
1.018831833E0,9.321865082E0,-7.531438293E0,-1.028301636E1
1.028845833E0,8.487799530E0,-7.665260010E0,-1.046563660E1
1.038858833E0,7.727680206E0,-7.598947906E0,-1.033031799E1
1.048872833E0,7.214696960E0,-7.496111755E0,-9.639654236E0
1.058885833E0,6.649023285E0,-7.384593658E0,-9.071136475E0
1.068899833E0,6.496640167E0,-7.238347778E0,-8.825347595E0
1.078912833E0,5.709427185E0,-7.305408325E0,-8.264613647E0
1.088926833E0,5.343288574E0,-7.301217041E0,-7.713310089E0
1.098939833E0,5.405559082E0,-7.078779602E0,-7.266788635E0
1.108953833E0,4.920417938E0,-7.072941742E0,-6.751110992E0
1.118966833E0,4.326453094E0,-7.175029449E0,-6.359225922E0
1.128980833E0,3.837270355E0,-6.985373840E0,-5.981112213E0
1.138993833E0,3.527414703E0,-6.693480835E0,-5.486241302E0
1.149007833E0,3.243904266E0,-6.593339081E0,-5.010530548E0
1.159020833E0,3.210224304E0,-6.305787048E0,-4.601880341E0
1.169033833E0,3.495231628E0,-5.642965393E0,-4.045187988E0
1.179047833E0,3.444487152E0,-4.934788055E0,-4.154011688E0
1.189061833E0,3.160677338E0,-4.438270569E0,-4.993016968E0
1.199074833E0,2.784509583E0,-4.017645264E0,-5.828429718E0
1.209087833E0,2.858306122E0,-3.579207001E0,-6.592440948E0
1.219101833E0,2.448458405E0,-3.397634583E0,-6.805447998E0
1.229114833E0,2.423310699E0,-3.419489136E0,-6.346951447E0
1.239128833E0,2.842439117E0,-3.061583405E0,-6.046376495E0
1.249141833E0,2.997816010E0,-2.555785217E0,-5.719456329E0
1.259155833E0,3.356769562E0,-1.894310760E0,-5.557343445E0
1.269168833E0,3.871848450E0,-1.255888367E0,-5.229375458E0
1.279182833E0,3.983216858E0,-8.494834900E-1,-5.371879120E0
1.289195833E0,3.740272064E0,-6.991960144E-1,-5.759273529E0
1.299209833E0,3.512894897E0,-8.418493652E-1,-5.906118164E0
1.309222833E0,3.311264191E0,-8.934919739E-1,-6.029012604E0
1.319236833E0,3.491339722E0,-6.662644958E-1,-6.377787323E0
1.329249833E0,3.344644775E0,-2.020797729E-1,-6.514752502E0
1.339263833E0,3.257376251E0,1.243913269E-1,-6.275549927E0
1.349276833E0,3.613485718E0,8.247848511E-1,-6.050567780E0
1.359290833E0,3.972439270E0,1.524130554E0,-5.567821655E0
1.369303833E0,3.992647247E0,1.799108734E0,-5.171296234E0
1.379317833E0,3.225941620E0,1.413211212E0,-4.709506531E0
1.389330833E0,2.195933533E0,6.614744568E-1,-4.103117523E0
