"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.463708333E-3,9.344774298E-3,3.187211752E-1,1.940895468E-1
1.247770833E-2,-2.302594855E-2,3.516623378E-1,2.186627984E-1
2.249070833E-2,-4.986988008E-2,3.637229502E-1,2.462823689E-1
3.250470833E-2,-5.497489125E-2,3.717776835E-1,2.625111341E-1
4.251770833E-2,-3.258275241E-2,3.691866696E-1,2.798983753E-1
5.253170833E-2,-6.321055815E-3,3.635498285E-1,2.949867845E-1
6.254470833E-2,5.191590171E-3,3.042644560E-1,3.019835055E-1
7.255870833E-2,-2.917469479E-3,2.425289154E-1,3.095666170E-1
8.257170833E-2,-3.009080887E-2,2.085883766E-1,3.219806254E-1
9.258470833E-2,-5.985828862E-2,1.754759550E-1,3.484143615E-1
1.025987083E-1,-6.984100491E-2,1.789118648E-1,3.812296689E-1
1.126117083E-1,-6.928307563E-2,2.210207134E-1,4.046588242E-1
1.226257083E-1,-6.423278898E-2,2.325389683E-1,4.072382450E-1
1.326387083E-1,-3.729571030E-2,2.242536098E-1,3.852210939E-1
1.426527083E-1,4.528820515E-3,2.119100392E-1,3.484852910E-1
1.526657083E-1,4.845233634E-2,2.013071924E-1,3.162759542E-1
1.626797083E-1,6.547179073E-2,1.791928560E-1,3.011116683E-1
1.726927083E-1,5.397145823E-2,1.815146059E-1,2.904499471E-1
1.827067083E-1,2.443371154E-2,2.150331140E-1,2.806430757E-1
1.927197083E-1,-1.263056602E-2,2.468743920E-1,2.739723921E-1
2.027337083E-1,-1.784661785E-2,2.547083497E-1,2.597039640E-1
2.127467083E-1,1.380238868E-2,2.294392139E-1,2.424498796E-1
2.227607083E-1,6.974016875E-2,1.783442944E-1,2.166887671E-1
2.327737083E-1,1.239842325E-1,1.042301059E-1,1.895519644E-1
2.427867083E-1,1.457100213E-1,7.061756402E-2,1.682061851E-1
2.528007083E-1,1.172911674E-1,1.073910221E-1,1.627283394E-1
2.628137083E-1,6.084998325E-2,1.940250695E-1,1.679403484E-1
2.728277083E-1,1.712141000E-2,2.354263067E-1,1.774949729E-1
2.828407083E-1,-7.297096308E-4,2.183571011E-1,1.821550727E-1
2.928547083E-1,1.200872287E-2,1.504992247E-1,1.829191297E-1
3.028677083E-1,6.408083439E-2,4.342090338E-2,1.851973087E-1
3.128817083E-1,1.191544682E-1,-7.215416431E-2,1.900184304E-1
3.228947083E-1,1.484966129E-1,-1.646563709E-1,2.149155289E-1
3.329087083E-1,1.499538869E-1,-2.464290112E-1,2.853516340E-1
3.429217083E-1,1.321575642E-1,-3.137804270E-1,3.576726019E-1
3.529357083E-1,1.199517548E-1,-3.559846282E-1,4.698547721E-1
3.629487083E-1,1.018428355E-1,-2.802622914E-1,5.750616789E-1
3.729627083E-1,1.308260858E-2,-2.117476463E-1,6.066134572E-1
3.829757083E-1,-5.193429813E-2,-2.168665379E-1,6.115762591E-1
3.929897083E-1,-3.398672119E-2,-2.431055903E-1,6.204591990E-1
4.030027083E-1,2.234434336E-2,-3.302076459E-1,6.400269270E-1
4.130157083E-1,1.189899221E-1,-4.504187405E-1,6.642134786E-1
4.230297083E-1,2.433779985E-1,-5.721455812E-1,6.975684762E-1
4.330427083E-1,3.093354404E-1,-7.115657926E-1,7.691457272E-1
4.430567083E-1,2.776225507E-1,-8.703709841E-1,9.035350084E-1
4.530697083E-1,2.267015576E-1,-1.013760924E0,1.063468814E0
4.630837083E-1,2.345639467E-1,-1.080435634E0,1.227991581E0
4.730967083E-1,2.507519722E-1,-1.106579542E0,1.417054772E0
4.831107083E-1,2.394022942E-1,-1.139556289E0,1.610356450E0
4.931237083E-1,2.499470860E-1,-1.257976651E0,1.815361023E0
5.031377083E-1,3.202770948E-1,-1.378090501E0,2.032364130E0
5.131507083E-1,4.676811993E-1,-1.495596051E0,2.293371677E0
5.231648333E-1,6.768477559E-1,-1.614605904E0,2.596530437E0
5.331778333E-1,8.385652304E-1,-1.815630078E0,2.950714111E0
5.431918333E-1,9.696673155E-1,-2.317211151E0,3.419075012E0
5.532048333E-1,1.163910747E0,-3.069458485E0,3.937990189E0
5.632188333E-1,1.464336872E0,-3.856399536E0,4.364757538E0
5.732318333E-1,1.873568296E0,-4.659391880E0,4.700082302E0
5.832458333E-1,2.292093992E0,-5.375189781E0,4.966197014E0
5.932588333E-1,2.620435238E0,-5.780646324E0,5.160770893E0
