"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
-1.925833333E-3,6.817098856E-1,-4.272901714E-1,-3.812349141E-1
8.087166667E-3,5.067592859E-1,-3.771949708E-1,-3.231650591E-1
1.810116667E-2,2.402082682E-1,-2.509076297E-1,-2.452156395E-1
2.811416667E-2,-1.199643966E-2,-1.114405096E-1,-1.790027469E-1
3.812816667E-2,-1.968680173E-1,8.359922096E-3,-1.514113247E-1
4.814116667E-2,-2.867372632E-1,7.904551923E-2,-1.585561186E-1
5.815516667E-2,-2.869817615E-1,6.460852176E-2,-1.871808320E-1
6.816816667E-2,-2.197634727E-1,-8.834786713E-3,-2.181376219E-1
7.818116667E-2,-1.293989569E-1,-1.081312820E-1,-2.512066364E-1
8.819516667E-2,-6.165655702E-2,-2.186728716E-1,-2.742167115E-1
9.820816667E-2,-3.135324642E-2,-3.045334518E-1,-2.759113014E-1
1.082221667E-1,-2.579490095E-2,-3.223134577E-1,-2.720488310E-1
1.182351667E-1,-5.414078757E-2,-2.738836110E-1,-2.846910954E-1
1.282491667E-1,-1.122149304E-1,-1.918567866E-1,-2.848476768E-1
1.382621667E-1,-1.878561676E-1,-1.226279065E-1,-2.596096992E-1
1.482761667E-1,-2.596349418E-1,-8.682140708E-2,-2.310370952E-1
1.582891667E-1,-3.001940846E-1,-7.833550870E-2,-2.105211616E-1
1.683031667E-1,-2.926167846E-1,-9.330216795E-2,-1.942068338E-1
1.783161667E-1,-2.476373166E-1,-1.165931076E-1,-1.841786951E-1
1.883301667E-1,-1.902097464E-1,-1.425415128E-1,-1.909415722E-1
1.983431667E-1,-1.269658059E-1,-1.652702540E-1,-2.161646336E-1
2.083561667E-1,-7.933595777E-2,-1.784805954E-1,-2.451371700E-1
2.183701667E-1,-5.733558536E-2,-1.726464182E-1,-2.630399764E-1
2.283831667E-1,-7.438062876E-2,-1.671584249E-1,-2.814501524E-1
2.383971667E-1,-1.308761239E-1,-1.772824377E-1,-2.874105871E-1
2.484101667E-1,-1.961425692E-1,-1.783630997E-1,-2.638630569E-1
2.584241667E-1,-2.548314631E-1,-1.501309276E-1,-2.099177837E-1
2.684371667E-1,-3.016991913E-1,-1.243789867E-1,-1.074535325E-1
2.784511667E-1,-3.198251724E-1,-1.197232455E-1,-2.916724607E-2
2.884641667E-1,-3.240403235E-1,-1.093103588E-1,1.330576092E-2
2.984781667E-1,-3.203742206E-1,-1.377262920E-1,5.808095634E-2
3.084911667E-1,-2.705642581E-1,-2.948577404E-1,3.039794788E-2
3.185051667E-1,-1.339113265E-1,-6.678028107E-1,-6.368008256E-2
3.285181667E-1,7.387825102E-2,-1.129186511E0,-1.709940881E-1
3.385312500E-1,2.112190723E-1,-1.941903830E0,-1.016680077E-1
3.485452500E-1,1.880110502E-1,-2.581077099E0,-4.142617434E-2
3.585582500E-1,-2.297362126E-2,-2.906567574E0,1.199379489E-1
3.685722500E-1,-3.265779018E-1,-2.644599915E0,3.970330060E-1
3.785852500E-1,-6.105334759E-1,-2.182877302E0,7.412055731E-1
3.885992500E-1,-8.490170836E-1,-1.941586733E0,1.017450333E0
3.986122500E-1,-9.432660937E-1,-1.856724858E0,1.183280826E0
4.086262500E-1,-8.597891927E-1,-1.759285927E0,1.303671956E0
4.186392500E-1,-7.001121640E-1,-1.485267520E0,1.390084624E0
4.286532500E-1,-4.889986515E-1,-1.544637442E0,1.400310159E0
4.386662500E-1,-3.139570653E-1,-1.728407025E0,1.389310241E0
4.486802500E-1,-3.333195150E-1,-1.918100953E0,1.495010853E0
4.586932500E-1,-6.742118597E-1,-2.065578699E0,1.601087570E0
4.687072500E-1,-1.189887881E0,-2.102444887E0,1.625570416E0
4.787202500E-1,-1.644962788E0,-2.159344673E0,1.676557422E0
4.887332500E-1,-1.877258182E0,-2.394388437E0,1.651744485E0
4.987472500E-1,-1.833386660E0,-3.018069744E0,1.570201397E0
5.087602500E-1,-1.634176731E0,-3.892421484E0,1.461844921E0
5.187742500E-1,-1.235168099E0,-4.517208576E0,1.453240871E0
5.287872500E-1,-7.119122744E-1,-4.922890186E0,1.597635269E0
5.388012500E-1,-2.972522378E-1,-5.186911106E0,1.958801150E0
5.488142500E-1,-9.220286459E-2,-5.082052231E0,2.112792730E0
5.588282500E-1,-1.871027611E-2,-4.320242405E0,2.049947023E0
5.688412500E-1,-1.842800826E-1,-3.284866810E0,2.003930569E0
5.788552500E-1,-5.508878827E-1,-2.606824398E0,2.105561018E0
5.888682500E-1,-7.535011172E-1,-2.281217337E0,2.183188200E0
5.988822500E-1,-6.066277623E-1,-2.419836044E0,2.061182261E0
6.088952500E-1,-1.091237664E-1,-3.127404213E0,1.842815042E0
6.189092500E-1,8.523191810E-1,-4.481572628E0,1.560489655E0
6.289222500E-1,1.650005937E0,-5.368080139E0,1.259537816E0
