"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.561166666E-3,2.445775270E-1,-1.097574607E-1,-8.530529588E-2
1.357616667E-2,1.828270853E-1,-7.269850373E-2,-5.810217187E-2
2.359116667E-2,8.195521683E-2,1.437299978E-2,-2.855333313E-2
3.360516667E-2,-2.797607519E-2,9.931612015E-2,-5.447214935E-3
4.362016667E-2,-1.227784753E-1,1.442002356E-1,1.275877655E-2
5.363516667E-2,-1.766132116E-1,1.459366083E-1,3.156548738E-2
6.365016667E-2,-1.874345094E-1,1.356790513E-1,3.488329425E-2
7.366416667E-2,-1.628370285E-1,1.190271154E-1,1.792934537E-2
8.367916667E-2,-1.208982691E-1,9.927473962E-2,-4.886579700E-3
9.369416667E-2,-7.385646552E-2,6.247864291E-2,-1.812861487E-2
1.037081667E-1,-4.439631104E-2,9.329230525E-3,-2.491163649E-2
1.137231667E-1,-2.444044687E-2,-1.923477091E-2,-2.600459754E-2
1.237381667E-1,-1.052376907E-2,-2.098299935E-2,-1.016007829E-2
1.337531667E-1,2.718865871E-4,-2.444537543E-2,-2.139968332E-3
1.437671667E-1,1.579972217E-3,-2.131239511E-2,-3.349706531E-4
1.537821667E-1,1.000994258E-2,1.249137521E-2,-5.038379692E-3
1.637971667E-1,1.577033475E-2,5.809234455E-2,-2.671250701E-2
1.738111667E-1,2.466514474E-3,1.032651514E-1,-4.088025913E-2
1.838261667E-1,-2.522240020E-2,1.398290396E-1,-3.656851500E-2
1.938411667E-1,-5.769911408E-2,1.525051594E-1,-2.226201259E-2
2.038561667E-1,-7.221482694E-2,1.313104033E-1,-7.127003744E-3
2.138701667E-1,-6.877029687E-2,8.008635789E-2,4.097687546E-3
2.238851667E-1,-6.437467784E-2,2.246722393E-2,-3.584285267E-3
2.339001667E-1,-6.225107610E-2,9.232111275E-3,-1.046030130E-2
2.439141667E-1,-5.050209165E-2,4.092911258E-2,-1.605827361E-3
2.539291667E-1,-2.962850221E-2,7.945120335E-2,9.886511602E-3
2.639441667E-1,-1.998191699E-3,9.436356276E-2,2.509591356E-2
2.739587917E-1,1.665299013E-2,7.932096720E-2,4.134438932E-2
2.839727917E-1,1.676059701E-2,5.715892836E-2,5.866301805E-2
2.939877917E-1,2.784061013E-3,3.520409763E-2,6.318293512E-2
3.040027917E-1,-1.244715974E-2,1.516669430E-2,6.324152648E-2
3.140177917E-1,-2.286837623E-2,-2.944398671E-3,6.511053443E-2
3.240317917E-1,-4.379930720E-2,1.005827822E-2,6.501732022E-2
3.340467917E-1,-7.093425840E-2,5.364623293E-2,7.258123159E-2
3.440617917E-1,-8.961035311E-2,8.161937445E-2,9.235613793E-2
3.540757917E-1,-8.830114454E-2,1.039867327E-1,9.902203083E-2
3.640907917E-1,-6.603141129E-2,1.011824384E-1,9.449491650E-2
3.741057917E-1,-1.046930552E-1,-7.593987882E-2,4.574575275E-2
3.841207917E-1,-9.913641959E-2,-9.886024892E-2,1.584249735E-2
3.941347917E-1,5.698714033E-2,1.266333163E-1,1.224112809E-1
4.041497917E-1,6.459192187E-2,-3.194246441E-2,6.688472629E-2
4.141647917E-1,8.876463026E-2,-6.423542649E-2,-1.939050853E-4
4.241797917E-1,1.515602916E-1,3.672090173E-2,1.232272852E-2
4.341937917E-1,1.091811433E-1,-6.703345478E-2,2.716026455E-2
4.442087917E-1,3.058989532E-2,-1.335221827E-1,3.281743824E-2
4.542237917E-1,7.827831805E-2,9.623564780E-2,1.495427191E-1
4.642377917E-1,3.161696950E-3,-2.161630988E-2,1.204249188E-1
4.742527917E-1,-3.712101281E-2,-9.563221782E-2,5.421394110E-2
4.842677917E-1,7.626738399E-3,-2.514525503E-2,4.991071671E-2
4.942827917E-1,3.788264468E-2,-5.624937639E-2,5.651988089E-2
5.042967917E-1,5.766703561E-2,-1.015248299E-1,7.494989038E-2
5.143117917E-1,7.062517852E-2,-9.927418828E-2,9.426632524E-2
5.243267917E-1,6.214645505E-2,-7.309681177E-2,1.025431231E-1
5.343417917E-1,6.546501815E-2,-3.270784393E-2,9.757872671E-2
5.443557917E-1,8.959175646E-2,2.237940207E-2,7.466319948E-2
5.543707917E-1,7.920622826E-2,-1.032022107E-2,4.807686061E-2
5.643857917E-1,-7.491812110E-2,-1.798902452E-1,4.985595588E-4
5.743997917E-1,-1.450916231E-1,-1.577183604E-1,1.431297362E-1
5.844147917E-1,-1.437290460E-1,-3.022409510E-3,2.891391814E-1
5.944297917E-1,-1.624406874E-1,2.853152156E-2,2.558528781E-1
6.044447917E-1,-1.346729398E-1,4.291842878E-2,2.138289064E-1
6.144587917E-1,-6.518787146E-2,7.658824325E-2,1.995719373E-1
6.244737917E-1,-8.624529466E-3,5.688553676E-3,1.621221155E-1
6.344887917E-1,2.339838445E-2,-1.839500815E-1,1.163631529E-1
6.445027917E-1,1.777065545E-2,-3.440962136E-1,1.462219004E-2
6.545177917E-1,-4.510471225E-2,-5.007822514E-1,-8.056531101E-2
6.645327917E-1,-1.846841574E-1,-5.843834877E-1,-1.252610981E-1
6.745477917E-1,-2.502522469E-1,-7.186683416E-1,-1.770827472E-1
6.845617917E-1,-2.743450701E-1,-1.031677842E0,-3.756693751E-2
6.945767917E-1,-3.608140647E-1,-1.354836464E0,2.558697164E-1
7.045917917E-1,-5.936425924E-1,-1.605749607E0,5.582132339E-1
7.146067917E-1,-9.362556338E-1,-1.817495704E0,8.047918677E-1
7.246207917E-1,-1.228927135E0,-1.843561888E0,9.418520331E-1
7.346357917E-1,-1.379079580E0,-1.509596705E0,9.076187015E-1
7.446507917E-1,-1.335860729E0,-1.208158374E0,7.387393117E-1
7.546647917E-1,-1.092655897E0,-1.033340693E0,4.612323642E-1
7.646797917E-1,-5.354956388E-1,-9.820106626E-1,3.419838250E-1
7.746947917E-1,1.428469084E-2,-1.519290328E0,3.577966094E-1
7.847097917E-1,6.379756927E-1,-1.960260868E0,5.325557590E-1
7.947237917E-1,1.323215365E0,-1.446456909E0,6.925145388E-1
8.047387917E-1,1.869481683E0,-1.653142095E0,8.537891507E-1
8.147537917E-1,1.790369868E0,-2.675588846E0,9.136186242E-1
8.247687917E-1,1.774282694E0,-3.446087599E0,9.137648940E-1
8.347827917E-1,1.992906690E0,-3.968897581E0,9.028469920E-1
8.447977917E-1,1.796060085E0,-4.683266640E0,8.872401714E-1
8.548127917E-1,1.430213928E0,-5.023847103E0,8.103365898E-1
8.648267917E-1,1.348580480E0,-5.255805016E0,6.644830108E-1
8.748417917E-1,1.487299204E0,-4.923400402E0,4.345401227E-1
8.848567917E-1,1.873440981E0,-4.032486916E0,-1.220313087E-1
8.948717917E-1,2.317685366E0,-3.596165895E0,-8.368279934E-1
9.048857917E-1,2.548699379E0,-3.803317308E0,-1.090477467E0
9.149007917E-1,2.737816334E0,-4.133048534E0,-9.832440019E-1
9.249157917E-1,2.880173922E0,-4.414632320E0,-1.040294409E0
9.349297917E-1,2.519572020E0,-4.257369995E0,-1.409015775E0
9.449447917E-1,2.115669727E0,-4.110138893E0,-1.826642156E0
9.549597917E-1,1.897905231E0,-4.558526039E0,-2.182072878E0
9.649747917E-1,1.553948402E0,-5.285549641E0,-2.692306995E0
9.749887917E-1,9.978399277E-1,-5.982983589E0,-3.352761984E0
9.850037917E-1,3.897213042E-1,-6.409500122E0,-3.941236496E0
9.950187917E-1,-1.837400943E-1,-6.172624111E0,-4.250524044E0
1.005033792E0,-9.564062953E-1,-5.002233982E0,-3.994944572E0
1.015047792E0,-1.683009505E0,-3.443451643E0,-3.217753172E0
1.025062792E0,-1.941129327E0,-2.432500601E0,-2.344155073E0
1.035077792E0,-2.286716938E0,-1.396035910E0,-1.599576235E0
1.045091792E0,-2.825172901E0,-4.443475008E-1,-9.241997004E-1
1.055106792E0,-3.416009188E0,1.794716418E-1,-5.343030691E-1
1.065121792E0,-3.809116125E0,4.651488066E-1,-3.355470598E-1
1.075136792E0,-3.933801413E0,4.003133476E-1,-2.029935420E-1
1.085150792E0,-3.704680204E0,-5.986139551E-2,2.138426341E-2
1.095165792E0,-3.066479206E0,-7.570868134E-1,3.862224221E-1
1.105180792E0,-2.115709066E0,-1.362437010E0,8.477637172E-1
1.115195792E0,-1.179772615E0,-1.713917494E0,1.373255372E0
1.125209792E0,-5.037418008E-1,-1.639110088E0,1.957424164E0
1.135224792E0,-1.245710775E-1,-1.335519075E0,2.623770475E0
1.145239792E0,-2.640925907E-2,-1.207960010E0,3.311766386E0
1.155253792E0,-2.040812522E-1,-1.397833586E0,4.011427402E0
1.165268792E0,-4.936042130E-1,-1.844470620E0,4.628557205E0
1.175283792E0,-5.268303156E-1,-2.388410568E0,5.136573792E0
1.185298792E0,-1.177194491E-1,-2.893450737E0,5.595500946E0
1.195312792E0,6.872768998E-1,-3.494712114E0,6.068517685E0
1.205327792E0,1.676365376E0,-4.042316437E0,6.633385181E0
1.215342792E0,2.346189499E0,-4.276518345E0,7.114271164E0
1.225356792E0,2.438902617E0,-3.846305132E0,7.251771450E0
1.235371792E0,1.889767528E0,-3.162352800E0,6.705709934E0
1.245386792E0,9.521970153E-1,-2.940779448E0,5.625104427E0
1.255401792E0,3.195833266E-1,-3.351695299E0,4.856868267E0
1.265415833E0,1.526571214E-1,-3.633019447E0,4.545153141E0
1.275430833E0,9.844767302E-2,-3.366851807E0,4.153809547E0
1.285445833E0,1.091494411E-2,-2.807236433E0,3.564508438E0
1.295460833E0,-9.530709684E-2,-2.387094736E0,2.947264910E0
1.305474833E0,-1.811526865E-1,-2.192882299E0,2.391097784E0
1.315489833E0,-3.114949763E-1,-2.144531488E0,1.950895190E0
1.325504833E0,-5.990526080E-1,-2.190463066E0,1.456033707E0
1.335518833E0,-9.357262850E-1,-2.155685902E0,8.022883534E-1
1.345533833E0,-1.251271129E0,-2.112986803E0,7.704117894E-2
1.355548833E0,-1.531057477E0,-2.050379753E0,-5.491963625E-1
1.365563833E0,-1.813388586E0,-1.881536722E0,-1.015757680E0
1.375577833E0,-2.082323313E0,-1.750213504E0,-1.383407593E0
1.385592833E0,-2.387755394E0,-1.746629119E0,-1.749085069E0
1.395607833E0,-2.690817118E0,-1.801046252E0,-2.143351793E0
1.405621833E0,-2.925893545E0,-1.954645753E0,-2.509236336E0
1.415636833E0,-2.992799282E0,-2.246331453E0,-2.745985985E0
1.425651833E0,-2.965916872E0,-2.715193272E0,-2.847676039E0
1.435666833E0,-2.865636349E0,-3.278742313E0,-2.923750639E0
1.445680833E0,-2.838730574E0,-3.510103464E0,-2.954820395E0
1.455695833E0,-3.079456091E0,-2.982886076E0,-2.819126129E0
1.465710833E0,-3.456337214E0,-1.888552189E0,-2.494067192E0
1.475725833E0,-3.793000937E0,-6.402564645E-1,-2.079519033E0
1.485739833E0,-3.743716478E0,-2.525058575E-2,-1.741894484E0
1.495754833E0,-3.228348732E0,-8.958430961E-3,-1.497873306E0
1.505769833E0,-2.425652981E0,-3.405435383E-1,-1.318774104E0
1.515783833E0,-1.629216552E0,-8.271065950E-1,-1.176921606E0
1.525798833E0,-9.514216781E-1,-1.449833512E0,-1.090549111E0
1.535813833E0,-4.982368648E-1,-1.885880589E0,-9.151096344E-1
1.545828833E0,-4.400455058E-1,-1.596139789E0,-4.588825107E-1
1.555842833E0,-7.063304186E-1,-8.990808725E-1,1.498615146E-1
1.565857833E0,-8.858274817E-1,-2.459541559E-1,7.708662748E-1
1.575872833E0,-6.587107182E-1,4.092821851E-2,1.371179700E0
1.585886833E0,-8.073250949E-2,-5.582285672E-2,1.898216963E0
1.595901833E0,6.264624596E-1,-3.756189644E-1,2.435719490E0
1.605916833E0,1.329594851E0,-7.021326423E-1,3.094439983E0
1.615931833E0,1.785570621E0,-9.801417589E-1,3.745979548E0
1.625945833E0,2.009552240E0,-1.200679302E0,4.184626579E0
1.635960833E0,2.150826454E0,-1.511828661E0,4.440698147E0
1.645975833E0,2.283315420E0,-1.837199450E0,4.665842533E0
