"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.561166666E-3,9.214837646E-1,6.394402771E0,7.766150208E0
1.357616667E-2,8.610095215E-1,6.357130280E0,7.363637238E0
2.359116667E-2,8.370593262E-1,6.372697906E0,7.125183105E0
3.360516667E-2,7.755372620E-1,6.454278259E0,6.950496368E0
4.362016667E-2,7.569758606E-1,6.487060089E0,6.847809906E0
5.363516667E-2,6.794371033E-1,6.489604797E0,6.869215393E0
6.365016667E-2,6.755451965E-1,6.508914642E0,7.053182831E0
7.366416667E-2,8.029302979E-1,6.536157990E0,7.235653381E0
8.367916667E-2,8.816665649E-1,6.515950012E0,7.316634979E0
9.369416667E-2,7.973918152E-1,6.491700439E0,7.285200348E0
1.037081667E-1,6.758445740E-1,6.507118378E0,7.200326843E0
1.137231667E-1,6.014492798E-1,6.549330597E0,7.250023499E0
1.237381667E-1,5.930667114E-1,6.518045654E0,7.402855682E0
1.337531667E-1,5.625302124E-1,6.477629700E0,7.462132416E0
1.437671667E-1,5.962101746E-1,6.529721375E0,7.506290588E0
1.537821667E-1,6.668632507E-1,6.599476318E0,7.613318024E0
1.637971667E-1,7.869136047E-1,6.593339081E0,7.623347168E0
1.738111667E-1,8.268804932E-1,6.550079041E0,7.517666931E0
1.838261667E-1,7.430548096E-1,6.508764954E0,7.386389923E0
1.938411667E-1,6.268963623E-1,6.509064331E0,7.236551514E0
2.038561667E-1,5.294490051E-1,6.472689972E0,7.116800537E0
2.138701667E-1,4.379891968E-1,6.453679504E0,7.097041626E0
2.238851667E-1,4.114942932E-1,6.492897949E0,7.075785828E0
2.339001667E-1,4.679269409E-1,6.528823242E0,7.239395599E0
2.439141667E-1,4.749623108E-1,6.410718842E0,7.529642029E0
2.539291667E-1,4.966671753E-1,6.280789032E0,7.648345184E0
2.639441667E-1,4.421804810E-1,6.224655762E0,7.582332458E0
2.739587917E-1,3.677851868E-1,6.234684906E0,7.404502258E0
2.839727917E-1,3.923341370E-1,6.323450317E0,7.254065094E0
2.939877917E-1,5.408253479E-1,6.431226196E0,7.196734314E0
3.040027917E-1,6.789880371E-1,6.538553009E0,7.258705444E0
3.140177917E-1,6.394702148E-1,6.540199585E0,7.340585175E0
3.240317917E-1,6.652166748E-1,6.485114136E0,7.482041016E0
3.340467917E-1,6.888674927E-1,6.431226196E0,7.648644562E0
3.440617917E-1,6.048921204E-1,6.354735260E0,7.662415924E0
3.540757917E-1,6.770420837E-1,6.298302612E0,7.648644562E0
3.640907917E-1,8.026309204E-1,6.281836853E0,7.624095612E0
3.741057917E-1,1.019679565E0,5.944288788E0,7.195985870E0
3.841207917E-1,1.102457428E0,5.803132324E0,6.832391968E0
3.941347917E-1,3.023712158E-2,7.207062836E0,8.271948395E0
4.041497917E-1,4.887336731E-1,6.896907806E0,7.593409424E0
4.141647917E-1,1.206940155E0,6.055357819E0,7.214247894E0
4.241797917E-1,7.714956665E-1,6.039490814E0,7.926017761E0
4.341937917E-1,5.703140259E-1,5.719606018E0,7.411088562E0
4.442087917E-1,6.493496704E-1,5.404211884E0,6.591243439E0
4.542237917E-1,-3.293151855E-2,6.788383484E0,7.689808960E0
4.642377917E-1,5.355862427E-1,6.662644958E0,7.089706879E0
4.742527917E-1,1.342408447E0,6.127657471E0,6.684499512E0
4.842677917E-1,9.665400696E-1,6.195765839E0,7.470664673E0
4.942827917E-1,6.667135620E-1,5.998027039E0,7.380701752E0
