"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
-9.989166665E-4,-6.982178986E-2,-1.118117720E-1,-9.722964838E-3
9.014083334E-3,-7.206603140E-2,-7.234078646E-2,-2.699835971E-2
1.902808333E-2,-4.914642125E-2,-7.562407851E-2,-5.153146014E-2
2.904108333E-2,-3.605005890E-2,-1.034842059E-1,-6.351914257E-2
3.905508333E-2,-2.600990236E-2,-1.257402748E-1,-6.635742635E-2
4.906808333E-2,-1.179155055E-2,-1.563919336E-1,-6.510280818E-2
5.908208333E-2,-8.218260482E-3,-1.877774894E-1,-6.464022398E-2
6.909508333E-2,-1.767088473E-2,-2.458826005E-1,-7.234448195E-2
7.910808333E-2,-2.170938067E-2,-2.634724677E-1,-8.024287224E-2
8.912208333E-2,-3.725691512E-2,-2.359132618E-1,-9.173947573E-2
9.913508333E-2,-7.458067685E-2,-2.015788257E-1,-1.062937751E-1
1.091480833E-1,-1.158434227E-1,-1.624780297E-1,-1.150039062E-1
1.191620833E-1,-1.328169703E-1,-1.394054741E-1,-1.145154312E-1
1.291750833E-1,-1.227419600E-1,-1.768468469E-1,-1.095787287E-1
1.391890833E-1,-9.524383396E-2,-2.429482490E-1,-1.036516577E-1
1.492020833E-1,-8.246438950E-2,-3.080577552E-1,-9.492128342E-2
1.592160833E-1,-8.938000351E-2,-3.791976869E-1,-7.937925309E-2
1.692290833E-1,-9.716255963E-2,-4.219472706E-1,-5.929423124E-2
1.792420833E-1,-1.320413947E-1,-4.321055710E-1,-3.444873914E-2
1.892560833E-1,-1.803798974E-1,-4.936262071E-1,4.741808400E-3
1.992690833E-1,-2.043423653E-1,-5.903104544E-1,6.315601617E-2
2.092830833E-1,-2.016728073E-1,-6.702103615E-1,1.095815748E-1
2.192960833E-1,-1.969550550E-1,-6.302993894E-1,1.015537158E-1
2.293090833E-1,-2.348180115E-1,-5.711868405E-1,7.147464901E-2
2.393230833E-1,-2.725460827E-1,-4.576734006E-1,4.719575122E-2
2.493360833E-1,-2.850863934E-1,-4.407514334E-1,5.015239120E-2
2.593500833E-1,-2.954438329E-1,-5.268195271E-1,8.374882489E-2
2.693630833E-1,-2.754259109E-1,-6.432873011E-1,1.250869483E-1
2.793760833E-1,-1.869134903E-1,-7.794894576E-1,1.621369123E-1
2.893900833E-1,-6.863931566E-2,-9.507062435E-1,1.922734976E-1
2.994030833E-1,3.762525693E-2,-1.165984869E0,2.619550526E-1
3.094170833E-1,1.087740064E-1,-1.429002643E0,3.840665817E-1
3.194300833E-1,1.710045338E-1,-1.701643705E0,5.500789285E-1
3.294430833E-1,2.036096156E-1,-1.923369646E0,7.413994074E-1
3.394570833E-1,2.187721580E-1,-1.957744598E0,9.016830921E-1
3.494700833E-1,1.257671118E-1,-1.828005552E0,1.018981814E0
3.594840833E-1,-1.480613798E-1,-1.761761665E0,1.167610049E0
3.694970833E-1,-4.799391925E-1,-1.782983422E0,1.426023722E0
3.795100833E-1,-7.075883746E-1,-1.982114196E0,1.677510500E0
3.895240833E-1,-7.909250855E-1,-2.429713011E0,1.828992724E0
3.995370833E-1,-5.651188493E-1,-2.629927635E0,1.939332485E0
4.095510833E-1,-9.311911464E-2,-2.808050871E0,1.955673099E0
4.195640833E-1,5.360870957E-1,-3.211802959E0,1.938244700E0
4.295770833E-1,1.171185017E0,-3.714461803E0,2.013746738E0
4.395910833E-1,1.449473023E0,-4.103331566E0,2.175242424E0
4.496040833E-1,1.319429994E0,-4.288535118E0,2.412933588E0
4.596180833E-1,9.753318429E-1,-4.313156128E0,2.726275206E0
4.696310833E-1,5.644694567E-1,-4.304633617E0,3.030862570E0
4.796440833E-1,3.511640131E-1,-4.352777958E0,3.310341120E0
4.896580833E-1,4.395234287E-1,-4.568512440E0,3.575374365E0
4.996710833E-1,8.630922437E-1,-4.982821465E0,3.808654070E0
5.096850833E-1,1.431054115E0,-5.371970654E0,3.898514748E0
5.196980833E-1,1.866376042E0,-5.416447639E0,3.776978731E0
5.297110833E-1,1.933531404E0,-5.099342346E0,3.514864683E0
5.397250833E-1,1.717401624E0,-4.487314224E0,3.168217897E0
5.497380833E-1,1.462038875E0,-3.849332571E0,2.773102522E0
5.597520833E-1,1.350962281E0,-3.599910498E0,2.413620710E0
5.697650833E-1,1.339882970E0,-3.880543709E0,2.103001356E0
5.797790833E-1,1.293461680E0,-4.542809010E0,1.884228826E0
5.897920833E-1,1.314664960E0,-5.194535732E0,1.804448843E0
5.998050833E-1,1.588868380E0,-5.620562077E0,1.819354534E0
6.098190833E-1,1.960262656E0,-5.828699112E0,1.765196800E0
6.198320833E-1,2.168642521E0,-5.612518787E0,1.526001573E0
6.298460833E-1,2.158923626E0,-4.835510731E0,1.169861317E0
6.398590833E-1,1.882820964E0,-3.793811083E0,7.319580913E-1
6.498720833E-1,1.468731642E0,-2.814894676E0,3.946479261E-1
6.598860833E-1,1.164918900E0,-2.045800686E0,2.311267406E-1
6.698990833E-1,1.061280370E0,-1.600236058E0,1.555792540E-1
6.799130833E-1,1.167623878E0,-1.596203089E0,4.230890796E-2
6.899260833E-1,1.384395599E0,-2.207847118E0,-1.362635046E-1
6.999390833E-1,1.624859214E0,-3.089747429E0,-3.348944187E-1
7.099530833E-1,1.748553157E0,-3.931848288E0,-5.146746039E-1
7.199660833E-1,1.705431461E0,-4.467444897E0,-6.701521873E-1
7.299800833E-1,1.612949491E0,-4.522423267E0,-7.898101211E-1
7.399930833E-1,1.419042230E0,-4.135977268E0,-9.521074295E-1
7.500060833E-1,1.055915117E0,-3.597991228E0,-1.139074445E0
7.600200833E-1,6.189638376E-1,-3.040991545E0,-1.305772185E0
7.700324583E-1,1.439456195E-1,-2.663806677E0,-1.480344534E0
7.800464583E-1,-2.306528538E-1,-2.461039782E0,-1.605826020E0
7.900594583E-1,-4.396119118E-1,-2.311974287E0,-1.647816896E0
8.000734583E-1,-6.017898321E-1,-2.160907745E0,-1.616098404E0
8.100864583E-1,-8.350940943E-1,-1.985417724E0,-1.582389951E0
8.200994583E-1,-1.183610320E0,-1.731793284E0,-1.576636672E0
8.301134583E-1,-1.622957230E0,-1.535451174E0,-1.647466898E0
8.401264583E-1,-2.009024382E0,-1.383723140E0,-1.765038013E0
8.501404583E-1,-2.318927050E0,-1.351143360E0,-1.916581750E0
8.601534583E-1,-2.603190184E0,-1.447170138E0,-2.066073656E0
8.701664583E-1,-2.867164135E0,-1.697401285E0,-2.136794567E0
8.801804583E-1,-3.124545574E0,-2.001601696E0,-2.086400032E0
8.901934583E-1,-3.369178772E0,-2.136392593E0,-1.926291466E0
9.002074583E-1,-3.527046919E0,-2.027729750E0,-1.700525284E0
