"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.883333333E-3,-3.890708089E-2,-8.839815855E-2,3.005889803E-2
1.289733333E-2,-9.172686934E-2,2.508579381E-2,3.073447570E-2
2.291133333E-2,-1.266063005E-1,8.830098063E-2,9.204683825E-3
3.292533333E-2,-1.468328685E-1,6.040409952E-2,-6.104864180E-3
4.293933333E-2,-1.485649943E-1,5.919555668E-3,-1.203678828E-2
5.295333333E-2,-1.429955810E-1,-4.428768530E-2,-1.211530250E-2
6.296733333E-2,-1.359658986E-1,-8.714513481E-2,-1.112718135E-3
7.298133333E-2,-1.224529520E-1,-1.115989536E-1,7.331569679E-3
8.299533333E-2,-1.192390472E-1,-1.341221035E-1,1.663931832E-2
9.300933333E-2,-1.334608495E-1,-1.532727629E-1,2.764162235E-2
1.030223333E-1,-1.475529671E-1,-1.678932458E-1,4.392898083E-2
1.130363333E-1,-1.654354036E-1,-1.959315538E-1,6.863713264E-2
1.230503333E-1,-2.009145766E-1,-2.423728108E-1,8.985959738E-2
1.330643333E-1,-2.632344365E-1,-3.215142190E-1,9.992317855E-2
1.430783333E-1,-3.180734515E-1,-3.605516255E-1,9.838812798E-2
1.530923333E-1,-3.285289407E-1,-3.155996203E-1,1.002919450E-1
1.631063333E-1,-3.186078668E-1,-2.499947846E-1,1.107981130E-1
1.731203333E-1,-2.939919233E-1,-2.172295153E-1,1.476506293E-1
1.831343333E-1,-2.833581865E-1,-2.611626089E-1,1.843524575E-1
1.931483333E-1,-2.806643248E-1,-3.705339730E-1,2.007515728E-1
2.031623333E-1,-3.027632236E-1,-5.418823361E-1,2.005521059E-1
2.131763333E-1,-3.477277458E-1,-7.175695896E-1,1.865994930E-1
2.231903333E-1,-3.772739172E-1,-8.287669420E-1,1.589460373E-1
2.332043333E-1,-3.620690703E-1,-8.485050201E-1,1.486357749E-1
2.432173333E-1,-3.363764882E-1,-7.896071076E-1,1.703937948E-1
2.532313333E-1,-2.882907689E-1,-6.610210538E-1,2.117428482E-1
2.632453333E-1,-2.384699285E-1,-5.463109612E-1,2.494699657E-1
2.732593333E-1,-2.336496860E-1,-5.649447441E-1,2.953696251E-1
2.832733333E-1,-2.722127736E-1,-6.021836996E-1,3.640799820E-1
2.932873333E-1,-3.203973770E-1,-7.218148112E-1,3.961705863E-1
3.033013333E-1,-4.634088576E-1,-1.038134336E0,3.435446620E-1
3.133153333E-1,-5.131038427E-1,-1.506683946E0,3.937573731E-1
3.233293333E-1,-5.327854156E-1,-2.202038527E0,4.137097597E-1
3.333433333E-1,-6.504964828E-1,-2.860828161E0,4.009779096E-1
3.433573333E-1,-7.456011772E-1,-2.955223560E0,4.289757013E-1
3.533713333E-1,-7.359846234E-1,-2.529419899E0,4.403137565E-1
3.633853333E-1,-6.864514351E-1,-2.000222921E0,4.545286596E-1
3.733993333E-1,-6.596849561E-1,-1.680229902E0,5.249842405E-1
3.834123333E-1,-6.508243084E-1,-1.621935606E0,7.159901857E-1
3.934263333E-1,-6.708790660E-1,-1.886105895E0,1.023509145E0
4.034403333E-1,-6.013990641E-1,-2.363513708E0,1.062177420E0
4.134543333E-1,-4.214123487E-1,-2.909063339E0,1.137838483E0
4.234683333E-1,-3.108850420E-1,-3.624998569E0,1.226614952E0
4.334823333E-1,-2.281440198E-1,-4.297555923E0,1.326082826E0
4.434963333E-1,-8.382200450E-2,-4.823363304E0,1.518900514E0
4.535107083E-1,1.101366505E-1,-4.798400879E0,1.750582457E0
4.635247083E-1,3.336709440E-1,-4.153124332E0,2.003495693E0
4.735387083E-1,4.851359427E-1,-3.377520323E0,2.249010324E0
4.835527083E-1,5.659487247E-1,-2.959694386E0,2.489362240E0
4.935667083E-1,5.796396136E-1,-2.964013815E0,2.669588804E0
5.035807083E-1,5.885579586E-1,-3.106606722E0,2.724688292E0
5.135947083E-1,6.252443194E-1,-3.180383205E0,2.608617783E0
5.236087083E-1,7.492080331E-1,-3.131022692E0,2.430248976E0
5.336217083E-1,9.800735712E-1,-3.199161291E0,2.310653687E0
5.436357083E-1,1.269195676E0,-3.386094332E0,2.261837006E0
5.536497083E-1,1.474101186E0,-3.558303118E0,2.273264408E0
5.636637083E-1,1.467769861E0,-3.519195318E0,2.297399521E0
5.736777083E-1,1.354445338E0,-3.234759569E0,2.358422995E0
5.836917083E-1,1.272690296E0,-2.864040375E0,2.430029154E0
5.937057083E-1,1.231450200E0,-2.482328653E0,2.463519335E0
6.037197083E-1,1.158496976E0,-2.065566540E0,2.392981768E0
6.137337083E-1,1.024183512E0,-1.721883774E0,2.322388649E0
6.237477083E-1,8.520050645E-1,-1.466829658E0,2.214375019E0
6.337617083E-1,6.488424540E-1,-1.410879731E0,2.101966858E0
6.437757083E-1,4.376721680E-1,-1.586053967E0,1.965224266E0
6.537897083E-1,2.832788825E-1,-1.950213075E0,1.720820427E0
6.638037083E-1,2.345859110E-1,-2.430653334E0,1.369380116E0
6.738167083E-1,3.445292711E-1,-2.763043404E0,1.059471846E0
6.838307083E-1,5.023087859E-1,-2.874470711E0,7.962140441E-1
6.938447083E-1,5.761930346E-1,-2.794444561E0,6.023083329E-1
7.038587083E-1,5.382752419E-1,-2.555254698E0,5.018155575E-1
7.138727083E-1,3.344462812E-1,-2.257035732E0,4.488635361E-1
7.238867083E-1,5.227477103E-2,-2.004408598E0,4.287324548E-1
7.339007083E-1,-2.303219289E-1,-1.775983810E0,4.339705408E-1
7.439147083E-1,-4.277657568E-1,-1.611291051E0,4.501324594E-1
7.539287083E-1,-5.451232195E-1,-1.579494715E0,3.940674663E-1
7.639427083E-1,-6.421573758E-1,-1.698317170E0,2.725285292E-1
7.739567083E-1,-7.385462523E-1,-1.853085279E0,9.221743047E-2
7.839707083E-1,-8.082653880E-1,-2.016555309E0,-1.137517095E-1
7.939847083E-1,-8.325115442E-1,-2.126938105E0,-3.146537542E-1
8.039987083E-1,-8.423753381E-1,-2.152283907E0,-4.408180714E-1
8.140127083E-1,-8.373051882E-1,-2.142178297E0,-5.076924562E-1
8.240257083E-1,-8.360391259E-1,-2.089452028E0,-5.622236133E-1
8.340397083E-1,-8.642485142E-1,-1.954772592E0,-6.596184969E-1
8.440537083E-1,-9.088290334E-1,-1.768198013E0,-7.829723954E-1
8.540677083E-1,-9.815248847E-1,-1.660341382E0,-8.977220654E-1
8.640817083E-1,-1.044644475E0,-1.769212961E0,-9.566119909E-1
8.740957083E-1,-1.048199773E0,-1.984217405E0,-9.223939180E-1
8.841097083E-1,-1.058111787E0,-2.114557743E0,-8.538652062E-1
8.941237083E-1,-1.112732530E0,-2.071156502E0,-8.863997459E-1
9.041377083E-1,-1.181004047E0,-1.884322882E0,-1.035794139E0
9.141517083E-1,-1.238757133E0,-1.768133044E0,-1.202679276E0
9.241657083E-1,-1.226768136E0,-1.843476295E0,-1.301127791E0
9.341797083E-1,-1.121909618E0,-2.070717812E0,-1.331632853E0
9.441937083E-1,-1.017247677E0,-2.289500475E0,-1.351128817E0
9.542077083E-1,-9.952353239E-1,-2.296845198E0,-1.398477077E0
