"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773477824650314E9,"2026-03-14 09:43:44.650 UTC+01:00"
"PAUSE",2.243602520833338E1,1.773477847086331E9,"2026-03-14 09:44:07.086 UTC+01:00"
