"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773478197033741E9,"2026-03-14 09:49:57.034 UTC+01:00"
"PAUSE",1.993360654166645E1,1.773478216967341E9,"2026-03-14 09:50:16.967 UTC+01:00"
