"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.241249997E-4,4.715194702E-2,6.906936951E0,7.174580383E0
1.033812500E-2,2.293231201E-1,6.992858276E0,7.183861084E0
2.035112500E-2,5.638774109E-1,7.092101898E0,7.373816071E0
3.036512500E-2,6.122268677E-1,7.023843842E0,7.674690399E0
4.037912500E-2,4.291575623E-1,6.962920532E0,7.544311523E0
5.039212500E-2,1.178050232E-1,6.991062012E0,7.049590302E0
6.040612500E-2,-1.288819885E-1,7.005432129E0,6.641389160E0
7.042012500E-2,-1.202000427E-1,7.082222443E0,6.483916626E0
8.043312500E-2,-1.049317932E-1,7.219337311E0,6.357878723E0
9.044712500E-2,-1.091230774E-1,7.227869568E0,6.250402222E0
1.004611250E-1,-4.625381470E-2,7.224277039E0,6.322103119E0
1.104741250E-1,5.358856201E-2,7.243137817E0,6.484515381E0
1.204881250E-1,9.355545044E-2,7.183112640E0,6.546935577E0
1.305021250E-1,2.664459229E-2,7.082222443E0,6.558760986E0
1.405151250E-1,-1.110690308E-1,6.930438080E0,6.702162781E0
1.505291250E-1,-3.362008667E-1,6.770121460E0,7.053631897E0
1.605431250E-1,-3.983216858E-1,6.687044220E0,7.286697235E0
1.705561250E-1,-3.080593872E-1,6.622528381E0,7.230713654E0
1.805701250E-1,-1.926493835E-1,6.653364258E0,7.255262604E0
1.905841250E-1,-1.242416382E-1,6.666387177E0,7.176077271E0
2.005971250E-1,-2.502795410E-1,6.599925385E0,6.887776794E0
2.106111250E-1,-4.381388855E-1,6.446195068E0,6.630761261E0
2.206251250E-1,-5.670208740E-1,6.407276001E0,6.407425690E0
2.306381250E-1,-5.661227417E-1,6.502178650E0,5.933660889E0
2.406521250E-1,-3.725752258E-1,6.601721649E0,5.203329620E0
2.506661250E-1,-5.763015747E-2,6.645879822E0,4.812791748E0
2.606791250E-1,2.335144043E-2,6.651567993E0,4.613705750E0
2.706931250E-1,-2.326162720E-1,6.406377869E0,4.613855438E0
2.807071250E-1,-5.530998230E-1,5.965245209E0,5.083728333E0
2.907201250E-1,-8.134085083E-1,5.715115356E0,5.712121582E0
3.007341250E-1,-7.247927856E-1,5.462440796E0,6.033203888E0
3.107471250E-1,-5.541476440E-1,5.336103516E0,6.112838287E0
3.207611250E-1,-6.092330933E-1,5.195845184E0,5.853427734E0
3.307751250E-1,-6.718029785E-1,4.844675446E0,5.254822540E0
3.407881250E-1,-8.029302979E-1,4.581522675E0,3.885320435E0
3.508021250E-1,-1.796264648E-3,4.327051849E0,2.237996063E0
3.608161250E-1,-4.044589233E-1,4.853656769E0,2.183060303E0
3.708291250E-1,-3.971241760E-1,4.683011627E0,2.825823669E0
3.808431250E-1,-2.679428101E-2,3.455414429E0,2.276316376E0
3.908571250E-1,-4.134402466E-1,2.970123596E0,1.244212646E0
4.008701250E-1,-5.688171387E-1,2.948418732E0,-2.137554932E-1
4.108841250E-1,-1.749112701E0,3.401975555E0,-1.938468933E0
4.208981250E-1,-9.449848938E-1,3.097508698E0,-2.718347168E0
4.309111250E-1,8.521778870E-1,1.075663147E0,-3.026256866E0
4.409251250E-1,6.984475708E-1,1.205293579E0,-3.046315155E0
4.509391250E-1,1.689237213E0,1.951042786E0,-2.505040741E0
4.609521250E-1,2.785407715E0,2.151925049E0,-2.568209381E0
4.709661250E-1,2.030976563E0,9.919871521E-1,-3.770658875E0
4.809801250E-1,1.694626007E0,-1.784289551E-1,-4.480632477E0
4.909931250E-1,2.011217651E0,-2.933898926E-2,-4.545597382E0
5.010071250E-1,1.037342834E0,-7.723937988E-1,-3.027005310E0
5.110211250E-1,-1.294208679E0,-2.596051483E0,-1.070723419E0
5.210341250E-1,-2.017205200E0,-4.365521851E0,-2.251468048E0
5.310481250E-1,-2.406246185E0,-6.652466125E0,-4.414619751E0
5.410621250E-1,8.825646973E-1,-9.278155975E0,-3.573369141E0
5.510751250E-1,6.823859711E0,-7.717052307E0,-1.266965332E0
5.610891250E-1,1.158515854E1,-5.738167419E0,-1.536405029E0
5.711031250E-1,1.503024445E1,-5.269042969E0,-1.925296326E0
5.811161250E-1,1.683219727E1,-5.590873718E0,-6.224057007E-1
5.911301250E-1,1.729952545E1,-6.031707001E0,1.947899323E0
6.011441250E-1,1.670376434E1,-6.438261566E0,4.320764923E0
6.111571250E-1,1.578587311E1,-8.373736725E0,5.093009033E0
6.211711250E-1,1.633538040E1,-1.016955231E1,4.601730652E0
6.311851250E-1,1.941028610E1,-9.865833893E0,4.014651489E0
6.411974583E-1,2.362567017E1,-8.202941895E0,3.106639709E0
6.512114583E-1,2.638473267E1,-6.459816742E0,2.702480164E0
6.612254583E-1,2.920771225E1,-4.094136200E0,2.202070770E0
6.712384583E-1,3.166964264E1,-1.049018555E0,2.346071320E0
6.812524583E-1,3.202635086E1,7.713459778E-1,2.526446228E0
6.912664583E-1,2.975796799E1,3.094065857E-1,1.190025330E0
7.012794583E-1,2.617876099E1,-1.764231262E0,-7.825726318E-1
7.112934583E-1,2.416844147E1,-4.400399323E0,-2.228116608E0
7.213074583E-1,2.456571533E1,-5.933660889E0,-2.713407440E0
7.313204583E-1,2.739647873E1,-4.930297394E0,-2.020797729E-1
7.413344583E-1,3.082929016E1,-3.355721741E0,2.184856567E0
7.513484583E-1,3.324032639E1,-2.475701752E0,2.572849731E0
7.613614583E-1,3.490830780E1,-2.119741974E0,-4.941224670E-1
7.713754583E-1,3.485891052E1,-1.698068848E0,-5.353916473E0
7.813894583E-1,3.625984726E1,-2.279010773E0,-1.128832581E1
7.914024583E-1,3.560974915E1,-2.561174011E0,-1.568154007E1
8.014164583E-1,3.446552856E1,-4.058959351E0,-1.607492203E1
8.114304583E-1,3.271057800E1,-5.758974152E0,-1.370939117E1
8.214434583E-1,3.132685547E1,-7.764503632E0,-1.163859741E1
8.314574583E-1,3.003129959E1,-1.031415161E1,-1.060230240E1
8.414714583E-1,2.802262665E1,-1.301438644E1,-1.003662872E1
8.514844583E-1,2.580274292E1,-1.507425293E1,-1.008138565E1
8.614984583E-1,2.423505295E1,-1.643447433E1,-1.003797592E1
8.715124583E-1,2.271301804E1,-1.768347702E1,-9.970017242E0
8.815254583E-1,2.110281647E1,-1.882739822E1,-1.012898666E1
8.915394583E-1,1.970981323E1,-1.977223343E1,-1.054661819E1
9.015534583E-1,1.863519791E1,-2.044717987E1,-1.067026108E1
9.115664583E-1,1.813493820E1,-2.092872849E1,-1.074256073E1
9.215804583E-1,1.770024216E1,-2.142464722E1,-1.058119629E1
9.315944583E-1,1.712184494E1,-2.164079773E1,-9.845625916E0
9.416074583E-1,1.642803772E1,-2.189347229E1,-8.468040619E0
9.516214583E-1,1.542317734E1,-2.218252121E1,-6.739734650E0
9.616354583E-1,1.443223801E1,-2.232472549E1,-5.289250946E0
9.716484583E-1,1.350791016E1,-2.221530304E1,-4.228107605E0
9.816624583E-1,1.235066666E1,-2.207639191E1,-3.947890320E0
9.916764583E-1,1.090796677E1,-2.182895645E1,-4.128265228E0
1.001689458E0,9.911788330E0,-2.115880005E1,-3.801045685E0
1.011703458E0,9.376202087E0,-2.028491730E1,-2.774929504E0
1.021717458E0,8.460256805E0,-1.941417801E1,-1.171314240E0
1.031730458E0,7.383096771E0,-1.848101852E1,1.848655701E-1
1.041744458E0,5.966293030E0,-1.781744843E1,2.209405518E-1
1.051758458E0,4.390819244E0,-1.695389420E1,1.655557251E-1
1.061771458E0,2.934048615E0,-1.585742432E1,-1.089733887E-1
1.071785458E0,2.133663025E0,-1.475347000E1,-7.926017761E-1
1.081799458E0,1.735640717E0,-1.373274261E1,-4.032614136E-1
1.091812458E0,8.901988220E-1,-1.270497986E1,-3.185375977E-1
1.101826458E0,3.844006348E-1,-1.171853119E1,-8.867559814E-1
1.111839458E0,-7.170089722E-2,-1.047506699E1,-9.051676941E-1
1.121853458E0,-1.068777466E-1,-9.446855164E0,-6.486012268E-1
1.131867458E0,-5.194198608E-2,-8.442144470E0,-4.819976807E-1
1.141880458E0,-1.689985657E-1,-7.810158691E0,-3.671864319E-1
1.151894458E0,-6.307882690E-1,-7.205715637E0,-1.240919495E-1
1.161908458E0,-7.366181946E-1,-6.556216278E0,1.977388000E-1
1.171921458E0,-1.046473846E0,-6.089636536E0,8.722361755E-1
1.181935458E0,-1.987566833E0,-5.674400024E0,6.535409546E-1
1.191949458E0,-2.560126190E0,-4.946912842E0,-7.828720093E-1
1.201962458E0,-2.947670288E0,-3.548071747E0,-2.022144928E0
1.211976458E0,-3.180286560E0,-2.113904114E0,-2.920876007E0
1.221990458E0,-3.763024750E0,-1.485660553E0,-3.125949554E0
1.232003458E0,-4.364623718E0,-8.915460205E-1,-2.654879150E0
1.242017458E0,-4.424050140E0,-4.179309082E-1,-1.914967804E0
1.252031458E0,-4.546794891E0,-7.873626709E-2,-1.083746338E0
1.262044458E0,-4.713099060E0,2.622546387E-1,-6.554869080E-1
1.272058458E0,-5.000501404E0,5.057981873E-1,-3.125500488E-1
1.282072458E0,-5.276527405E0,3.897894287E-1,-1.504371643E-1
1.292085458E0,-5.152435455E0,2.821632385E-1,-4.975653076E-1
1.302099458E0,-5.286855927E0,5.987548828E-1,-4.899311829E-1
1.312113458E0,-5.562582550E0,1.105151825E0,-4.396357727E-1
1.322126458E0,-5.672154694E0,1.868713989E0,-7.214996338E-1
1.332140458E0,-5.606591034E0,3.062631226E0,-1.388662262E0
1.342154458E0,-4.887636108E0,3.737577667E0,-2.216590576E0
1.352167458E0,-4.317621460E0,3.765569458E0,-2.220482483E0
1.362181458E0,-3.924538879E0,3.758983154E0,-1.901346130E0
1.372195458E0,-3.575764160E0,3.589984589E0,-1.871558075E0
1.382208458E0,-3.287912750E0,3.745810547E0,-1.401086426E0
1.392222458E0,-3.228935394E0,4.254303131E0,-4.480183411E-1
1.402236458E0,-3.390898590E0,4.592749329E0,3.183879089E-1
1.412249458E0,-3.393892365E0,4.664450226E0,4.840933228E-1
1.422263458E0,-3.634142761E0,4.658312988E0,4.754113770E-1
1.432277458E0,-4.121828613E0,4.139940948E0,4.984634399E-1
1.442290458E0,-4.033063202E0,3.780238953E0,6.480024719E-1
1.452304458E0,-3.226540375E0,3.845952301E0,8.211923218E-1
1.462318458E0,-2.445165253E0,3.989054718E0,7.337741089E-1
1.472331458E0,-1.944007416E0,4.377646637E0,4.822970581E-1
1.482345458E0,-1.222358093E0,4.851411438E0,3.227288818E-1
1.492359458E0,2.200424194E-2,5.547314301E0,-4.460723877E-2
1.502372458E0,1.338666229E0,6.351741486E0,-4.981640625E-1
1.512386458E0,1.931283875E0,6.535409546E0,-2.793191528E-1
1.522400458E0,1.455124054E0,6.349346466E0,5.935157776E-1
1.532413458E0,8.155041504E-1,5.432353363E0,1.663490753E0
1.542427458E0,3.601510620E-1,4.407883759E0,3.049009552E0
1.552441458E0,1.245410156E-1,4.194128265E0,4.434079285E0
1.562454458E0,1.209484863E-1,4.565505981E0,4.324956207E0
1.572468458E0,1.532812500E-1,4.406087494E0,2.557431793E0
1.582482458E0,8.936416626E-2,4.459676056E0,-4.700225830E-2
1.592495458E0,1.011596375E0,4.998405762E0,-2.973267059E0
1.602509458E0,3.854634247E0,6.127208405E0,-6.075266418E0
1.612523458E0,6.975494385E0,6.603966980E0,-9.342821503E0
1.622536458E0,9.819131012E0,6.627019043E0,-1.199695221E1
1.632550458E0,1.251801865E1,7.160060577E0,-1.373423950E1
1.642563250E0,1.529788788E1,7.929310913E0,-1.589993591E1
1.652577250E0,1.713396973E1,8.249794464E0,-1.799183578E1
1.662591250E0,1.679896637E1,7.972271576E0,-1.935984100E1
1.672604250E0,1.702993607E1,6.761439514E0,-2.154140442E1
1.682618250E0,1.675989761E1,6.744973755E0,-2.234553223E1
