"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.079124999E-3,-1.136757955E-1,7.405608427E-3,6.948395073E-2
1.409212500E-2,-1.789687872E-1,1.177419648E-1,9.792438149E-2
2.410612500E-2,-1.918599457E-1,2.435312122E-1,1.142499521E-1
3.412012500E-2,-1.498006433E-1,3.208571374E-1,1.230628863E-1
4.413312500E-2,-1.027057171E-1,3.292271495E-1,1.345058084E-1
5.414712500E-2,-7.705495507E-2,2.738805413E-1,1.502576172E-1
6.416112500E-2,-5.577099323E-2,2.089586407E-1,1.487718076E-1
7.417412500E-2,-3.751209378E-2,1.475229859E-1,1.224810854E-1
8.418812500E-2,-3.826979175E-2,7.146537304E-2,9.660098702E-2
9.420212500E-2,-6.000171974E-2,1.893931627E-2,9.640391916E-2
1.042151250E-1,-8.739292622E-2,2.149760723E-2,9.496361017E-2
1.142291250E-1,-1.220318675E-1,6.611354649E-2,9.417770803E-2
1.242431250E-1,-1.684819162E-1,1.177717075E-1,9.941907227E-2
1.342561250E-1,-2.030377686E-1,1.353757381E-1,1.071217358E-1
1.442701250E-1,-1.859798878E-1,1.005204618E-1,1.177483499E-1
1.542841250E-1,-1.273575872E-1,7.347952574E-2,1.288587898E-1
1.642971250E-1,-9.767900407E-2,7.682894915E-2,1.414872855E-1
1.743111250E-1,-1.025499254E-1,1.045633778E-1,1.595453769E-1
1.843251250E-1,-1.013715193E-1,1.641148627E-1,1.814727485E-1
1.943381250E-1,-9.002991766E-2,1.943193674E-1,2.095445842E-1
2.043521250E-1,-7.880114764E-2,2.015272975E-1,2.570496202E-1
2.143661250E-1,-5.372668803E-2,1.670657247E-1,3.202387094E-1
2.243791250E-1,-3.056942858E-2,1.394998431E-1,3.585338891E-1
2.343931250E-1,-4.065641388E-2,3.066391125E-2,3.620702922E-1
2.444071250E-1,-1.187136397E-1,-5.736089870E-2,3.528390229E-1
2.544201250E-1,-2.539521456E-1,-5.164948478E-2,3.538443744E-1
2.644341250E-1,-4.269137084E-1,-7.072991133E-2,3.765601516E-1
2.744481250E-1,-5.655053854E-1,-1.060157269E-1,4.298633337E-1
2.844611250E-1,-6.003730893E-1,-1.568073928E-1,5.205746293E-1
2.944751250E-1,-5.582565665E-1,-2.044721097E-1,6.281423569E-1
3.044891250E-1,-4.952052236E-1,-2.550228536E-1,7.630228400E-1
3.145021250E-1,-4.435103238E-1,-2.898386419E-1,9.382929206E-1
3.245161250E-1,-4.014801681E-1,-3.408894241E-1,1.143849492E0
3.345301250E-1,-4.094693959E-1,-5.360836983E-1,1.411948800E0
3.445431250E-1,-5.021373630E-1,-9.216393828E-1,1.564879179E0
3.545571250E-1,-5.626132488E-1,-1.398343682E0,1.625598669E0
3.645711250E-1,-4.196496606E-1,-1.701369405E0,1.724972367E0
3.745841250E-1,-1.534685791E-1,-1.968369484E0,1.780467033E0
3.845981250E-1,1.055553183E-1,-2.234526634E0,1.861575246E0
3.946121250E-1,2.729357779E-1,-2.494694471E0,1.879588842E0
4.046251250E-1,2.019781023E-1,-2.837946177E0,2.155152559E0
4.146391250E-1,-4.666952044E-2,-3.127571344E0,2.524099588E0
4.246531250E-1,-3.982274532E-1,-3.370169640E0,2.864471674E0
4.346661250E-1,-7.354646325E-1,-3.426652908E0,3.158215761E0
4.446801250E-1,-8.044797182E-1,-3.317710638E0,3.217613459E0
4.546941250E-1,-9.107472897E-1,-3.044054985E0,3.010994434E0
4.647071250E-1,-1.231499314E0,-3.042256117E0,2.965751410E0
4.747211250E-1,-1.362369776E0,-3.490150928E0,3.072257757E0
4.847351250E-1,-1.278862000E0,-4.330988407E0,3.072537184E0
4.947481250E-1,-9.538142085E-1,-5.442940235E0,3.062232971E0
5.047621250E-1,-1.311427057E-1,-6.634870529E0,3.369054317E0
5.147761250E-1,7.680949569E-1,-7.566549301E0,3.817968369E0
5.247891250E-1,1.141471267E0,-8.258288383E0,4.541935921E0
5.348031250E-1,1.028436303E0,-8.168367386E0,5.513759613E0
5.448171250E-1,8.209166527E-1,-7.138535976E0,6.210474968E0
5.548301250E-1,5.402681828E-1,-6.121359825E0,6.470139503E0
5.648441250E-1,1.013888046E-1,-5.338983059E0,6.426296234E0
5.748581250E-1,-3.214223683E-1,-4.850023746E0,6.246665001E0
