"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773476534128686E9,"2026-03-14 09:22:14.129 UTC+01:00"
"PAUSE",2.131967483333392E1,1.773476555448355E9,"2026-03-14 09:22:35.448 UTC+01:00"
