"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773478756533046E9,"2026-03-14 09:59:16.533 UTC+01:00"
"PAUSE",2.077850591666720E1,1.773478777311543E9,"2026-03-14 09:59:37.312 UTC+01:00"
