"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773477081840063E9,"2026-03-14 09:31:21.840 UTC+01:00"
"PAUSE",2.068227433333414E1,1.773477102522346E9,"2026-03-14 09:31:42.522 UTC+01:00"
