"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.962083329E-4,-1.016131267E-1,-6.403252482E-2,3.062156960E-3
1.040920833E-2,-1.714501828E-1,3.894628957E-2,1.332786679E-2
2.042220833E-2,-1.953949332E-1,1.007340178E-1,1.311417436E-3
3.043620833E-2,-1.773254871E-1,1.009387821E-1,-2.009942383E-2
4.044920833E-2,-1.276868284E-1,5.172356218E-2,-4.701253399E-2
5.046220833E-2,-7.535412908E-2,-5.672662985E-3,-6.990101188E-2
6.047520833E-2,-2.939249575E-2,-6.145416945E-2,-8.725710213E-2
7.048920833E-2,4.942560568E-3,-9.538047761E-2,-9.842749685E-2
8.050220833E-2,5.167331547E-3,-1.114846170E-1,-1.076393723E-1
9.051520833E-2,-1.454408374E-2,-9.535738081E-2,-1.071350425E-1
1.005282083E-1,-5.004588515E-2,-7.648888230E-2,-1.033224612E-1
1.105422083E-1,-1.071891785E-1,-4.655849189E-2,-1.060683057E-1
1.205552083E-1,-1.651861668E-1,-2.630382031E-2,-1.048432514E-1
1.305682083E-1,-2.024174780E-1,-2.829681709E-2,-9.157036245E-2
1.405812083E-1,-2.034691721E-1,-3.899952769E-2,-8.152465522E-2
1.505952083E-1,-1.930377483E-1,-5.640652403E-2,-8.598399907E-2
1.606082083E-1,-1.667901576E-1,-4.512697086E-2,-9.984175861E-2
1.706212083E-1,-1.399578601E-1,-2.957898006E-2,-1.060297415E-1
1.806342083E-1,-1.203527376E-1,-3.710986674E-2,-1.157329679E-1
1.906482083E-1,-1.166432351E-1,-5.995582789E-2,-1.329104006E-1
2.006612083E-1,-1.417331398E-1,-9.946168959E-2,-1.338041574E-1
2.106742083E-1,-1.779183447E-1,-1.433475167E-1,-1.252740473E-1
2.206872083E-1,-2.098754793E-1,-1.813987643E-1,-1.158778965E-1
2.307001667E-1,-2.177815139E-1,-2.225232422E-1,-1.121198088E-1
2.407131667E-1,-2.044510543E-1,-2.299217731E-1,-1.105136573E-1
2.507261667E-1,-2.019781023E-1,-1.778398454E-1,-1.155266091E-1
2.607391667E-1,-2.161341310E-1,-1.382333189E-1,-1.163202301E-1
2.707531667E-1,-2.314583063E-1,-9.179277718E-2,-1.183704212E-1
2.807661667E-1,-2.352506518E-1,-7.700025290E-2,-1.033645719E-1
2.907791667E-1,-2.339074165E-1,-9.744210541E-2,-8.519011736E-2
3.007921667E-1,-2.181414962E-1,-1.296719462E-1,-6.642414629E-2
3.108061667E-1,-2.215952724E-1,-1.615177244E-1,-5.291633308E-2
3.208191667E-1,-2.342346311E-1,-2.122312337E-1,-3.260307387E-2
3.308321667E-1,-2.336672843E-1,-2.224564403E-1,-1.220869832E-2
3.408461667E-1,-2.321716547E-1,-2.037522644E-1,4.543383606E-3
3.508591667E-1,-2.271317691E-1,-2.270593792E-1,1.627846435E-2
3.608721667E-1,-2.220464647E-1,-2.649028897E-1,2.622670308E-2
3.708851667E-1,-2.227373868E-1,-2.939398587E-1,3.399126232E-2
3.808991667E-1,-2.289564013E-1,-3.261846304E-1,4.136741906E-2
3.909121667E-1,-2.291921079E-1,-3.495557904E-1,8.272899687E-2
4.009251667E-1,-2.424469292E-1,-4.782413542E-1,1.269712895E-1
4.109381667E-1,-3.333343565E-1,-4.477213025E-1,1.324494481E-1
4.209521667E-1,-4.072690308E-1,-3.854693770E-1,1.647557169E-1
4.309651667E-1,-4.272678494E-1,-3.855280280E-1,1.827973127E-1
4.409781667E-1,-4.244286418E-1,-3.541570604E-1,1.777114868E-1
4.509911667E-1,-4.305199981E-1,-3.781560957E-1,1.720973700E-1
4.610051667E-1,-3.911547661E-1,-4.753308594E-1,1.780415475E-1
4.710181667E-1,-3.211637735E-1,-5.232152939E-1,2.165875435E-1
4.810311667E-1,-2.509404719E-1,-5.067992806E-1,2.690291703E-1
4.910441667E-1,-1.930626035E-1,-4.617252052E-1,3.173278272E-1
5.010581667E-1,-1.632410586E-1,-4.450191855E-1,3.400813639E-1
5.110711667E-1,-1.944749057E-1,-5.669534802E-1,3.589331508E-1
5.210841667E-1,-2.650673091E-1,-6.977431774E-1,3.879488111E-1
5.310971667E-1,-2.995395064E-1,-8.248362541E-1,4.132735729E-1
5.411111667E-1,-3.103436828E-1,-9.369696975E-1,4.292898178E-1
5.511241667E-1,-3.192960620E-1,-1.062447309E0,4.135746062E-1
5.611371667E-1,-3.614163697E-1,-1.239511251E0,4.120723307E-1
5.711511667E-1,-4.105359316E-1,-1.513739467E0,5.191681385E-1
5.811641667E-1,-4.785056710E-1,-1.492414474E0,4.876893163E-1
5.911771667E-1,-4.487801194E-1,-1.334084392E0,4.748104215E-1
6.011901667E-1,-3.717140853E-1,-1.260075092E0,4.593707621E-1
6.112041667E-1,-3.667826355E-1,-1.280303121E0,5.318090916E-1
6.212171667E-1,-3.855573833E-1,-1.309916735E0,6.285231113E-1
6.312301667E-1,-4.011822939E-1,-1.317257285E0,6.847356558E-1
6.412431667E-1,-3.753054142E-1,-1.285356879E0,7.432777882E-1
6.512571667E-1,-3.018464744E-1,-1.273229718E0,7.985977530E-1
6.612701667E-1,-1.949786246E-1,-1.346571922E0,8.668865561E-1
6.712831667E-1,-8.324126899E-2,-1.514698505E0,9.305476546E-1
6.812961667E-1,-7.316676900E-3,-1.686681509E0,9.227302074E-1
6.913101667E-1,9.024130180E-3,-1.882174253E0,9.054810405E-1
7.013231667E-1,1.327463239E-1,-2.032848358E0,9.238613844E-1
7.113361667E-1,2.342601418E-1,-1.999645114E0,8.581398726E-1
7.213501667E-1,1.482232660E-1,-1.698438883E0,6.639235616E-1
7.313631667E-1,8.442961611E-3,-1.331541896E0,4.421580434E-1
7.413761667E-1,-8.789502084E-2,-1.058494687E0,2.878680527E-1
7.513891667E-1,-1.198528558E-1,-9.085357189E-1,2.526816726E-1
7.614031667E-1,-1.285549998E-1,-8.735268712E-1,3.389723599E-1
7.714161667E-1,-1.352473646E-1,-9.226647615E-1,4.537212849E-1
7.814291667E-1,-1.487178952E-1,-1.008617163E0,5.068632960E-1
7.914421667E-1,-1.436415762E-1,-1.123734832E0,4.908223748E-1
8.014561667E-1,-1.234047562E-1,-1.157680988E0,4.449552894E-1
8.114691667E-1,-7.795627415E-2,-1.195348382E0,4.111794233E-1
8.214821667E-1,-4.409087822E-3,-1.335504413E0,4.090822041E-1
8.314951667E-1,-2.771221101E-3,-1.403684974E0,4.763583541E-1
8.415091667E-1,-2.650023103E-1,-1.149757624E0,6.950073838E-1
8.515221667E-1,-1.768738031E-1,-1.328673124E0,7.057935596E-1
8.615351667E-1,-6.858407706E-2,-1.311916590E0,5.817328691E-1
8.715491667E-1,-1.781983487E-2,-1.361107349E0,3.904285133E-1
8.815621667E-1,6.355464458E-2,-1.375018716E0,2.503372133E-1
8.915751667E-1,2.195163965E-1,-1.434264302E0,2.121219635E-1
9.015881667E-1,3.930743337E-1,-1.424762130E0,2.368286401E-1
9.116021667E-1,4.887227416E-1,-1.351223826E0,3.254700601E-1
9.216151667E-1,4.585709572E-1,-1.293325901E0,4.103181064E-1
9.316281667E-1,3.141594529E-1,-1.195037365E0,4.676623642E-1
9.416411667E-1,7.492955774E-2,-1.092001796E0,5.166818500E-1
9.516551667E-1,-1.735153496E-1,-1.005828738E0,5.712763667E-1
9.616681667E-1,-3.646235466E-1,-9.726448655E-1,7.134681344E-1
9.716811667E-1,-5.010587573E-1,-1.018305659E0,9.993841648E-1
9.816951667E-1,-5.065685511E-1,-1.244030118E0,1.076920509E0
9.917081667E-1,-4.049162865E-1,-1.490656376E0,9.083998799E-1
1.001721167E0,-2.960491776E-1,-1.542148113E0,7.105869651E-1
1.011734167E0,-1.920831501E-1,-1.437432289E0,5.907433629E-1
1.021748167E0,-8.460622281E-2,-1.295331359E0,5.189309716E-1
1.031761167E0,2.186432667E-2,-1.189885974E0,4.848355353E-1
1.041774167E0,6.439900398E-2,-1.193547249E0,4.990429878E-1
1.051787167E0,3.380316123E-2,-1.240801692E0,5.570898652E-1
1.061801167E0,-9.888924658E-3,-1.235507607E0,6.305486560E-1
1.071814167E0,-1.484750025E-2,-1.202571273E0,7.211035490E-1
1.081827167E0,-2.958197147E-2,-1.104121327E0,8.343382478E-1
1.091840167E0,-6.397006661E-2,-9.928836823E-1,9.330251813E-1
1.101854167E0,-4.160297662E-2,-9.666280746E-1,1.005466461E0
1.111867167E0,6.031052023E-2,-1.067810416E0,1.033825755E0
1.121880167E0,1.725808829E-1,-1.058664799E0,9.769674540E-1
1.131894167E0,2.994323075E-1,-9.091844559E-1,8.776485920E-1
1.141907167E0,3.858705163E-1,-7.625542879E-1,7.340450883E-1
1.151920167E0,4.175792634E-1,-7.123911977E-1,5.986520052E-1
1.161933167E0,4.799142778E-1,-7.718915939E-1,5.359571576E-1
1.171947167E0,5.776613355E-1,-9.163657427E-1,5.888738632E-1
1.181960167E0,6.834780574E-1,-1.126923561E0,6.952067018E-1
1.191973167E0,7.688675523E-1,-1.286676168E0,7.989693880E-1
1.201986167E0,7.567759752E-1,-1.309479117E0,8.368096948E-1
1.212000167E0,6.364229918E-1,-1.211276412E0,7.943083644E-1
1.222013167E0,4.920879006E-1,-1.079724312E0,7.090798020E-1
1.232025208E0,4.526431561E-1,-9.722221494E-1,6.205954552E-1
1.242039208E0,5.828422308E-1,-9.572775364E-1,5.554018021E-1
1.252052208E0,8.388914466E-1,-1.007878304E0,5.019904971E-1
1.262065208E0,1.123482108E0,-1.028031588E0,4.515414238E-1
1.272078208E0,1.336184025E0,-1.010340691E0,4.189362824E-1
1.282092208E0,1.413554788E0,-1.016853929E0,4.085022807E-1
1.292105208E0,1.354502320E0,-1.040641308E0,3.978606761E-1
1.302118208E0,1.265892625E0,-1.095438004E0,3.963850141E-1
1.312132208E0,1.223746181E0,-1.194428921E0,3.968982995E-1
1.322145208E0,1.223870039E0,-1.312946796E0,3.800037503E-1
1.332158208E0,1.222440958E0,-1.353824258E0,3.175752163E-1
1.342171208E0,1.198197126E0,-1.241430879E0,2.216612101E-1
1.352185208E0,1.153122306E0,-1.030550718E0,1.206619591E-1
1.362198208E0,1.110454559E0,-7.852147222E-1,2.547951974E-2
1.372211208E0,1.079533219E0,-5.863983035E-1,-1.733341813E-2
1.382224208E0,9.949257374E-1,-5.061295629E-1,-1.274346095E-2
1.392238208E0,8.601705432E-1,-5.279909372E-1,-2.384068444E-3
1.402251208E0,7.267025113E-1,-6.429396272E-1,-2.777864225E-2
1.412264208E0,6.452087164E-1,-7.597185373E-1,-7.720276713E-2
1.422278208E0,6.658490300E-1,-8.451426625E-1,-1.299908757E-1
1.432291208E0,7.989461422E-1,-9.557511210E-1,-1.824296862E-1
1.442304208E0,1.015446544E0,-1.068393588E0,-2.486444116E-1
1.452317208E0,1.195260286E0,-1.091205716E0,-3.299652040E-1
1.462331208E0,1.197716236E0,-1.038951039E0,-3.923516273E-1
1.472344208E0,1.026903272E0,-9.665635228E-1,-4.209596217E-1
1.482357208E0,7.495531440E-1,-8.500811458E-1,-4.144947827E-1
1.492371208E0,4.486502707E-1,-7.676991224E-1,-4.027481377E-1
1.502384208E0,2.593858242E-1,-7.935522795E-1,-4.146913588E-1
1.512397208E0,2.348856777E-1,-8.851656914E-1,-4.726126194E-1
1.522410208E0,3.370224535E-1,-1.063775063E0,-5.675665736E-1
1.532424208E0,5.095713735E-1,-1.182993531E0,-6.382325888E-1
