"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.402208333E-3,4.924758911E-1,5.973178711E0,7.536527710E0
1.541620833E-2,6.697073364E-1,6.066135406E0,7.902067566E0
2.542920833E-2,7.762857056E-1,6.132297821E0,8.030051422E0
3.544220833E-2,6.944059753E-1,6.145171051E0,8.012238464E0
4.545520833E-2,5.634283447E-1,6.115981750E0,7.908354492E0
5.546920833E-2,5.044509888E-1,6.096372528E0,7.769742737E0
6.548220833E-2,4.897814941E-1,6.093229065E0,7.708070984E0
7.549520833E-2,4.670288086E-1,6.082152100E0,7.582332458E0
8.550820833E-2,4.457730103E-1,6.043083344E0,7.384294281E0
9.552220833E-2,3.832031250E-1,6.044430542E0,7.286397858E0
1.055352083E-1,3.469784546E-1,6.068081360E0,7.151079254E0
1.155482083E-1,3.450325012E-1,6.089636536E0,7.096742249E0
1.255612083E-1,2.894979858E-1,6.021977234E0,7.152875519E0
1.355752083E-1,1.887574768E-1,5.880671082E0,7.339537354E0
1.455882083E-1,2.116598511E-1,5.855972443E0,7.558831329E0
1.556012083E-1,3.549119568E-1,5.848188629E0,7.725434875E0
1.656142083E-1,4.340972900E-1,5.850883026E0,7.872878265E0
1.756282083E-1,4.171824646E-1,5.818101196E0,7.811655579E0
1.856412083E-1,4.058061218E-1,5.871390381E0,7.592660980E0
1.956542083E-1,2.216889954E-1,5.893843689E0,7.332352295E0
2.056682083E-1,5.598358154E-2,5.832770691E0,7.108118591E0
2.156812083E-1,-8.277786255E-2,5.757028198E0,7.105274506E0
2.256931667E-1,-5.658233643E-2,5.727240143E0,7.261250153E0
2.357061667E-1,3.981719971E-2,5.727689209E0,7.554490356E0
2.457201667E-1,6.361770630E-2,5.673801270E0,7.826774139E0
2.557331667E-1,1.676513672E-1,5.686075745E0,7.910599823E0
2.657461667E-1,2.389031982E-1,5.716462555E0,7.859256592E0
2.757591667E-1,1.549278259E-1,5.636229401E0,7.829019470E0
2.857731667E-1,-7.858657837E-2,5.520819397E0,7.693102112E0
2.957861667E-1,-2.164498901E-1,5.474715271E0,7.587721252E0
3.057991667E-1,-3.370989990E-1,5.491779785E0,7.522307281E0
3.158121667E-1,-3.528163147E-1,5.503305817E0,7.400909729E0
3.258261667E-1,-3.017724609E-1,5.479505310E0,7.470215607E0
3.358391667E-1,-1.728904724E-1,5.476511536E0,7.714357910E0
3.458521667E-1,-3.802093506E-2,5.494773560E0,7.650889893E0
3.558651667E-1,-6.586303711E-2,5.505700836E0,7.489675140E0
3.658791667E-1,-5.897735596E-2,5.439089355E0,7.355254669E0
3.758921667E-1,2.395019531E-2,5.397026825E0,7.252418518E0
3.859051667E-1,-1.053808594E-1,5.307812347E0,7.220235443E0
3.959181667E-1,-3.526666260E-1,5.150190125E0,7.125033417E0
4.059321667E-1,-2.281256104E-1,5.253475342E0,6.643784180E0
4.159451667E-1,-2.344125366E-1,5.309009857E0,6.974446564E0
4.259581667E-1,-7.274871826E-2,5.404062195E0,7.277416534E0
4.359711667E-1,1.309776306E-1,5.469775543E0,7.470065918E0
4.459851667E-1,1.469943237E-1,5.353916473E0,7.726183319E0
4.559981667E-1,1.474433899E-1,5.297483826E0,7.766000519E0
4.660111667E-1,-7.095245361E-2,5.047803040E0,7.955656128E0
4.760251667E-1,-7.933502197E-2,4.856650543E0,8.293653259E0
4.860381667E-1,6.601272583E-2,4.877157898E0,8.574020233E0
4.960511667E-1,7.095245361E-2,4.914580078E0,8.538244629E0
5.060641667E-1,-2.095642090E-3,5.014123077E0,8.118367767E0
5.160781667E-1,2.993774414E-2,5.041815491E0,7.523504791E0
5.260911667E-1,1.908531189E-1,4.880301361E0,7.300318909E0
5.361041667E-1,4.171824646E-1,4.930896149E0,7.390281830E0
5.461171667E-1,7.879614258E-1,4.921316071E0,7.436535645E0
5.561311667E-1,9.418414307E-1,4.992268524E0,7.225324860E0
5.661441667E-1,1.003213806E0,4.881349182E0,7.029981079E0
