"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773477764362360E9,"2026-03-14 09:42:44.362 UTC+01:00"
"PAUSE",1.858615804166675E1,1.773477782948510E9,"2026-03-14 09:43:02.949 UTC+01:00"
