"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.576625000E-3,5.010224879E-2,4.763500392E-1,3.056057692E-1
1.359162500E-2,3.496697173E-2,5.758491755E-1,2.869021297E-1
2.360562500E-2,1.038189791E-2,7.050988078E-1,2.621456683E-1
3.361962500E-2,-7.593753934E-2,7.728821039E-1,2.557351589E-1
4.363362500E-2,-2.808376849E-1,8.247189522E-1,2.545165122E-1
5.364862500E-2,-5.414513946E-1,9.036777020E-1,3.059192300E-1
6.366262500E-2,-9.168910980E-1,8.646520972E-1,3.154543340E-1
7.367662500E-2,-1.228527904E0,8.594354987E-1,3.929792047E-1
8.369062500E-2,-1.372495770E0,8.835303187E-1,4.509287477E-1
9.370562500E-2,-1.369016051E0,9.490091801E-1,5.030859709E-1
1.037196250E-1,-1.180419683E0,1.034492970E0,5.701078773E-1
1.137336250E-1,-8.728873730E-1,9.790484905E-1,5.791128278E-1
1.237476250E-1,-6.902641654E-1,5.277854800E-1,4.841200709E-1
1.337626250E-1,-5.496239662E-1,3.471160829E-1,3.594465852E-1
1.437766250E-1,-4.004225731E-1,5.206744075E-1,2.858945727E-1
1.537906250E-1,-3.889991939E-1,7.908084393E-1,2.066996247E-1
1.638056250E-1,-5.041180849E-1,1.004315495E0,1.344604939E-1
1.738196250E-1,-6.433713436E-1,1.332731962E0,1.283125728E-1
1.838336250E-1,-7.584874630E-1,1.606891513E0,1.939966828E-1
1.938476250E-1,-8.407051563E-1,1.513812184E0,2.845140696E-1
2.038626250E-1,-8.993369341E-1,1.078806162E0,3.906482160E-1
2.138766250E-1,-9.016887546E-1,5.676379800E-1,4.811128676E-1
2.238906250E-1,-6.797677875E-1,6.401007175E-1,5.637558699E-1
2.339046250E-1,-3.874498606E-1,5.760388970E-1,5.074563622E-1
2.439196250E-1,-1.272843778E-1,3.748963177E-1,3.101765811E-1
2.539336250E-1,8.637197316E-2,5.362164378E-1,1.378055811E-1
2.639476250E-1,9.091551602E-2,4.763312340E-1,3.720888123E-2
2.739616250E-1,8.390101790E-2,6.373081803E-1,-2.632002532E-2
2.839766250E-1,1.909741610E-1,1.142211437E0,-3.984570503E-2
2.939906250E-1,2.242791355E-1,1.489986181E0,-1.245829090E-2
3.040046250E-1,1.204830706E-1,1.493682623E0,8.428669721E-2
3.140186250E-1,-7.593624294E-2,1.429716945E0,1.474984288E-1
3.240336250E-1,-4.031471610E-1,1.249688387E0,1.315657794E-1
3.340476250E-1,-5.149432421E-1,2.364618480E-1,8.105439693E-2
3.440616250E-1,-3.300527930E-1,-1.292917967E0,1.792055741E-2
3.540756250E-1,2.177182212E-2,-2.176470041E0,-4.087085277E-2
3.640906250E-1,5.441964865E-1,-2.471280575E0,2.228588425E-2
3.741046250E-1,1.042773485E0,-2.361087561E0,1.566173285E-1
3.841186250E-1,1.337469935E0,-1.750773907E0,3.045387864E-1
3.941336250E-1,1.292676806E0,-1.467005849E0,2.360979468E-1
4.041476250E-1,1.084650159E0,-1.699466348E0,-6.443949044E-2
4.141616250E-1,9.170784950E-1,-2.084149361E0,-2.879434228E-1
4.241756250E-1,8.618521690E-1,-1.968618989E0,-2.069318295E-1
4.341906250E-1,1.213956833E0,-1.637692213E0,4.201821685E-1
