"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773477990757147E9,"2026-03-14 09:46:30.757 UTC+01:00"
"PAUSE",2.124882812499982E1,1.773478012005972E9,"2026-03-14 09:46:52.006 UTC+01:00"
