"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773478022639539E9,"2026-03-14 09:47:02.640 UTC+01:00"
"PAUSE",2.120149058333300E1,1.773478043841025E9,"2026-03-14 09:47:23.841 UTC+01:00"
