"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.151791667E-3,1.544937286E0,5.538033600E0,6.918462982E0
1.316579167E-2,1.600322113E0,5.625451813E0,7.053931274E0
2.317879167E-2,1.833986206E0,5.784870300E0,7.404951324E0
3.319179167E-2,2.152224426E0,5.996829529E0,7.648794250E0
4.320579167E-2,2.356699219E0,6.179000702E0,7.620203705E0
5.321879167E-2,2.333796844E0,6.243965607E0,7.444918213E0
6.323279167E-2,2.191442871E0,6.243516541E0,7.275171204E0
7.324579167E-2,1.929337921E0,6.110742645E0,7.131470032E0
8.325879167E-2,1.697470093E0,6.017336884E0,7.111561432E0
9.327279167E-2,1.691183167E0,6.043981476E0,7.401059418E0
1.032857917E-1,1.839674377E0,6.013444977E0,7.770191803E0
1.132997917E-1,2.080673218E0,6.113886108E0,7.959398346E0
1.233127917E-1,2.360591125E0,6.179749146E0,7.814200287E0
1.333257917E-1,2.556084595E0,6.266568604E0,7.478448486E0
1.433397917E-1,2.592608643E0,6.396498413E0,7.197183380E0
1.533527917E-1,2.498005371E0,6.416407013E0,6.976991272E0
1.633667917E-1,2.455493774E0,6.359375610E0,6.837780762E0
1.733797917E-1,2.396217041E0,6.267466736E0,6.605164490E0
1.833937917E-1,2.312840424E0,6.291716309E0,6.399492188E0
1.934067917E-1,2.371069336E0,6.523584137E0,6.355932770E0
2.034197917E-1,2.454445953E0,6.608457642E0,6.330036621E0
2.134337917E-1,2.487527161E0,6.619235229E0,6.400240631E0
2.234467917E-1,2.412682800E0,6.548731842E0,6.667734375E0
2.334607917E-1,2.321522369E0,6.420897675E0,7.011569366E0
2.434737917E-1,2.277364197E0,6.306685181E0,7.367379456E0
2.534867917E-1,2.383044434E0,6.194268951E0,7.589517517E0
2.635007917E-1,2.404449921E0,6.098318481E0,7.553292847E0
2.735137917E-1,2.333497467E0,6.186335449E0,7.126230927E0
2.835277917E-1,2.360441437E0,6.321354675E0,6.761140137E0
2.935407917E-1,2.439327393E0,6.272855530E0,6.463708649E0
3.035537917E-1,2.399809570E0,6.211632843E0,6.395300903E0
3.135677917E-1,2.370021515E0,6.109096069E0,6.351891174E0
3.235807917E-1,2.209555206E0,6.142476654E0,6.153104553E0
3.335947917E-1,1.725461884E0,6.308631134E0,5.835614777E0
3.436077917E-1,1.295256500E0,6.071673889E0,5.426515503E0
3.536217917E-1,9.560618591E-1,5.988746338E0,5.262905731E0
3.636347917E-1,1.134939880E0,6.189927979E0,5.156477051E0
3.736477917E-1,2.054777069E0,6.493496704E0,5.005890198E0
3.836620417E-1,2.735860748E0,6.803801422E0,5.217100983E0
3.936750417E-1,2.869233398E0,6.976542206E0,5.895340576E0
4.036890417E-1,3.152594147E0,6.853049011E0,6.702312469E0
4.137020417E-1,3.513044586E0,6.699169006E0,7.315587158E0
4.237150417E-1,3.218906250E0,6.023773499E0,7.609725494E0
4.337290417E-1,2.949915619E0,5.306165771E0,7.725434875E0
4.437420417E-1,2.521506500E0,4.782105560E0,6.872059479E0
4.537560417E-1,2.177222443E0,4.660258942E0,5.340893555E0
4.637690417E-1,1.807940369E0,4.823269958E0,3.263064423E0
4.737820417E-1,1.662742310E0,5.160518646E0,1.095422058E0
4.837960417E-1,1.792223053E0,5.546266479E0,-1.338965607E0
4.938090417E-1,1.794917450E0,5.264552307E0,-3.805087280E0
5.038230417E-1,1.251547394E0,4.644242249E0,-3.718866577E0
5.138360417E-1,8.946894836E-1,3.578757935E0,-2.123933258E0
5.238500417E-1,6.387217712E-1,2.281705170E0,-1.067430267E0
5.338630417E-1,8.355624390E-1,1.935774536E0,-1.484912109E-1
5.438760417E-1,1.444196777E0,2.144739990E0,-5.575904846E-1
