"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.995833319E-4,5.616320801E-1,6.992409210E0,6.030808868E0
1.071358333E-2,5.188211060E-1,7.022346954E0,6.137536926E0
2.072758333E-2,4.773573303E-1,7.038812714E0,6.249803467E0
3.074058333E-2,4.526586914E-1,7.092251587E0,6.251899109E0
4.075458333E-2,4.592449951E-1,7.187752991E0,6.264173584E0
5.076858333E-2,3.261717224E-1,7.209158478E0,6.231391754E0
6.078258333E-2,1.091230774E-1,7.078031158E0,6.209088135E0
7.079558333E-2,-8.262817383E-2,6.914122009E0,6.288423157E0
8.080958333E-2,4.221221924E-2,6.860533447E0,6.319708099E0
9.082358333E-2,2.064207458E-1,6.901697845E0,6.371799774E0
1.008365833E-1,2.041754150E-1,6.821464691E0,6.525530090E0
1.108505833E-1,2.136058044E-1,6.731801147E0,6.661746826E0
1.208645833E-1,2.465373230E-1,6.759942627E0,6.781198425E0
1.308785833E-1,3.183879089E-1,6.744824066E0,6.978338470E0
1.408915833E-1,4.098477173E-1,6.713239746E0,7.025340729E0
1.509055833E-1,3.360511780E-1,6.651867371E0,6.901398468E0
1.609195833E-1,2.869532776E-1,6.660100250E0,6.688690796E0
1.709335833E-1,2.814147949E-1,6.769971771E0,6.317462769E0
1.809465833E-1,3.126997375E-1,6.763235779E0,6.001469879E0
1.909605833E-1,2.496807861E-1,6.636299744E0,5.964197388E0
2.009745833E-1,1.437011719E-1,6.480024719E0,5.736221466E0
2.109885833E-1,1.299298096E-1,6.361471252E0,5.286706238E0
2.210015833E-1,2.995271301E-1,6.341862030E0,5.452711029E0
2.310155833E-1,5.122348022E-1,6.149362335E0,5.860612793E0
2.410295833E-1,4.390370178E-1,6.084098053E0,5.734275513E0
2.510425833E-1,1.962419128E-1,5.771697693E0,5.447322235E0
2.610565833E-1,-2.694396973E-1,5.216951294E0,5.181624756E0
2.710705833E-1,-6.158193970E-1,5.124144287E0,4.435127106E0
2.810845833E-1,-9.086105347E-1,4.556524658E0,3.443589020E0
2.910975833E-1,-3.103047180E-1,3.818708954E0,2.416125641E0
3.011115833E-1,-3.408412170E-1,4.256698151E0,2.552492065E0
3.111255833E-1,-3.878434753E-1,4.591252441E0,3.237168274E0
3.211395833E-1,7.077282715E-1,3.105292511E0,3.204386444E0
3.311525833E-1,1.320853271E0,2.400408325E0,3.332969055E0
3.411665833E-1,-5.680686951E-1,3.829935608E0,3.261417847E0
3.511805833E-1,-2.758463745E0,3.809128876E0,2.681224365E0
3.611945833E-1,-3.083437958E0,3.526666260E0,2.291734314E0
3.712075833E-1,-1.581461334E0,3.244353333E0,2.786455536E0
3.812215833E-1,-1.777403870E0,6.542893982E-1,2.392025757E0
3.912355833E-1,-1.870959320E0,1.554966431E0,2.303260345E0
4.012495833E-1,-1.143172760E0,1.400637360E0,9.894424438E-1
4.112625833E-1,-1.263372803E-1,7.735913086E-1,5.207670593E-1
4.212765833E-1,7.586224365E-1,3.324586487E-1,4.005670166E-1
