"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773478453083076E9,"2026-03-14 09:54:13.083 UTC+01:00"
"PAUSE",1.726476591666688E1,1.773478470347835E9,"2026-03-14 09:54:30.348 UTC+01:00"
