"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773478926722234E9,"2026-03-14 10:02:06.722 UTC+01:00"
"PAUSE",2.293937166666728E1,1.773478949661594E9,"2026-03-14 10:02:29.662 UTC+01:00"
