"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773477050825840E9,"2026-03-14 09:30:50.826 UTC+01:00"
"PAUSE",1.993274562500028E1,1.773477070758580E9,"2026-03-14 09:31:10.759 UTC+01:00"
