"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.403083333E-3,9.416917419E-1,7.460934906E0,6.069278870E0
7.610916667E-3,1.025816803E0,7.473359070E0,5.793552246E0
1.762391667E-2,9.701325989E-1,7.500602417E0,5.834716644E0
2.763691667E-2,9.128018188E-1,7.490722961E0,6.006259918E0
3.765091667E-2,8.819659424E-1,7.489226074E0,6.135890350E0
4.766391667E-2,8.988807678E-1,7.515421600E0,6.178851013E0
5.767791667E-2,9.818083191E-1,7.575895844E0,6.270310822E0
6.769091667E-2,9.372010803E-1,7.611970825E0,6.348148956E0
7.770491667E-2,7.991880798E-1,7.564669189E0,6.319708099E0
8.771791667E-2,6.451583862E-1,7.487280121E0,6.327791290E0
9.773091667E-2,5.993536377E-1,7.466772766E0,6.427184601E0
1.077449167E-1,5.357359314E-1,7.495213623E0,6.509663086E0
1.177579167E-1,5.601351929E-1,7.553292847E0,6.361171875E0
1.277719167E-1,5.917195129E-1,7.639363861E0,6.270909576E0
1.377849167E-1,6.553372192E-1,7.760312347E0,6.259682922E0
1.477989167E-1,6.843768311E-1,7.852520599E0,6.262527008E0
1.578119167E-1,7.441026306E-1,7.880063324E0,6.343059540E0
1.678249167E-1,6.640191650E-1,7.791896667E0,6.483168182E0
1.778389167E-1,5.291496277E-1,7.667355652E0,6.519841919E0
1.878519167E-1,4.834945679E-1,7.628885651E0,6.495442657E0
1.978659167E-1,5.921685791E-1,7.735314331E0,6.570287018E0
2.078789167E-1,6.348298645E-1,7.834258575E0,6.618636475E0
2.178929167E-1,5.914201355E-1,7.820786591E0,6.517746277E0
2.279059167E-1,5.149291992E-1,7.837551727E0,6.566694489E0
2.379189167E-1,5.131329346E-1,7.733518066E0,6.761140137E0
2.479329167E-1,5.110372925E-1,7.603288879E0,6.938820648E0
2.579459167E-1,4.882846069E-1,7.585924988E0,7.112309875E0
2.679599167E-1,4.535568237E-1,7.546856232E0,7.015760651E0
2.779729167E-1,4.290078735E-1,7.537725220E0,6.743327179E0
2.879869167E-1,4.809498596E-1,7.613617401E0,6.518345032E0
2.979999167E-1,5.120851135E-1,7.633825378E0,6.365961914E0
3.080129167E-1,4.885839844E-1,7.666607208E0,6.188431091E0
3.180269167E-1,3.610491943E-1,7.715854797E0,6.035598907E0
3.280399167E-1,1.456471252E-1,7.743247833E0,5.822591858E0
3.380539167E-1,-4.281097412E-2,7.611372070E0,5.548511810E0
3.480669167E-1,5.673202515E-2,7.576195221E0,5.531147919E0
