"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.090583333E-3,-2.365081787E-2,8.168962555E0,5.193899231E0
1.210358333E-2,4.266128540E-2,8.226592712E0,5.297184448E0
2.211658333E-2,8.681945801E-3,8.240663452E0,5.292095032E0
3.212958333E-2,-8.846603394E-2,8.222850494E0,5.113067322E0
4.214358333E-2,-8.771759033E-2,8.234975281E0,5.108576660E0
5.215658333E-2,-6.601272583E-2,8.256380768E0,5.263354797E0
6.216958333E-2,-1.179547119E-1,8.193960571E0,5.443280640E0
7.218258333E-2,-1.820214844E-1,8.139473877E0,5.452860718E0
8.219658333E-2,-1.417552185E-1,8.206684113E0,5.343438263E0
9.220958333E-2,1.062789917E-2,8.357270966E0,5.229674835E0
1.022225833E-1,1.190025330E-1,8.444988556E0,5.118905182E0
1.122357083E-1,1.725910950E-1,8.492589569E0,5.205874329E0
1.222497083E-1,1.142124939E-1,8.439150696E0,5.363496552E0
1.322627083E-1,-1.526824951E-2,8.293653259E0,5.564378815E0
1.422757083E-1,-1.601669312E-2,8.252339172E0,5.809868317E0
1.522887083E-1,4.086502075E-2,8.191415863E0,5.914351044E0
1.623017083E-1,1.266366577E-1,8.201594696E0,5.752836914E0
1.723157083E-1,1.351689148E-1,8.219407654E0,5.551954651E0
1.823287083E-1,1.698966980E-1,8.224946136E0,5.495671692E0
1.923417083E-1,1.942959595E-1,8.262368317E0,5.488636322E0
2.023547083E-1,1.112187195E-1,8.236621857E0,5.570366364E0
2.123687083E-1,-1.377136230E-2,8.128696289E0,5.627248077E0
2.223817083E-1,-1.233435059E-1,8.040230255E0,5.626948700E0
2.323947083E-1,-1.694476318E-1,7.967331848E0,5.686973877E0
2.424077083E-1,-1.480421448E-1,7.904312897E0,5.554649048E0
2.524217083E-1,-5.164260864E-2,7.946225739E0,5.362299042E0
2.624347083E-1,1.014889526E-1,8.059989166E0,5.259612579E0
2.724477083E-1,2.564167786E-1,8.262967072E0,5.059927826E0
2.824607083E-1,2.656974792E-1,8.349187775E0,4.833149414E0
2.924747083E-1,2.149530029E-1,8.331075439E0,4.899162140E0
3.024877083E-1,2.177970886E-1,8.304430847E0,5.142556000E0
3.125007083E-1,2.071691895E-1,8.215964813E0,5.363346863E0
3.225137083E-1,1.550775146E-1,8.136480103E0,5.458099823E0
3.325267083E-1,1.498384094E-1,8.128097534E0,5.450615387E0
3.425407083E-1,5.298980713E-2,8.181087341E0,5.297783203E0
3.525537083E-1,-4.939727783E-3,8.199199677E0,5.242997131E0
3.625667083E-1,-4.415817261E-2,8.184829559E0,5.370082855E0
3.725797083E-1,-1.571731567E-2,8.172704773E0,5.448070679E0
3.825937083E-1,-6.436614990E-2,8.131240997E0,5.329666901E0
3.926067083E-1,-1.830693054E-1,8.136929169E0,5.164260864E0
4.026197083E-1,-2.439926147E-1,8.160280609E0,5.112618256E0
4.126327083E-1,-1.745370483E-1,8.175399170E0,5.275479584E0
4.226467083E-1,-5.074447632E-2,8.230933685E0,5.423970795E0
4.326597083E-1,-6.496490479E-2,8.237370300E0,5.300776978E0
4.426727083E-1,-1.731898499E-1,8.213270416E0,5.190755768E0
4.526857083E-1,-3.147953796E-1,8.172555084E0,5.437891846E0
4.626997083E-1,-4.613406372E-1,8.087681580E0,5.685476990E0
4.727127083E-1,-6.825805664E-1,8.007149048E0,5.732030182E0
4.827257083E-1,-8.547225952E-1,8.003257141E0,5.640570374E0
4.927387083E-1,-9.056167603E-1,8.000562744E0,5.462889862E0
5.027527083E-1,-9.087602234E-1,8.194259949E0,5.440586243E0
5.127657083E-1,-6.882687378E-1,8.414152679E0,5.490582275E0
5.227787083E-1,-5.774990845E-1,8.483159180E0,5.575755157E0
5.327917083E-1,-8.402027893E-1,8.528664551E0,5.514981537E0
5.428057083E-1,-1.000968475E0,8.577762451E0,5.564827881E0
5.528187083E-1,-9.213340759E-1,8.595126343E0,5.830824738E0
5.628317083E-1,-7.580236816E-1,8.743617554E0,5.962550812E0
5.728447083E-1,-6.486012268E-1,8.908275146E0,6.103108521E0
5.828587083E-1,-3.953279114E-1,9.113348694E0,6.034700775E0
5.928717083E-1,-2.499801636E-1,9.616452484E0,6.141728210E0
6.028847083E-1,-1.049317932E-1,1.016326538E1,6.216422882E0
6.128977083E-1,2.408491516E-1,1.071756271E1,6.112239532E0
6.229107083E-1,5.248086548E-1,1.118683685E1,6.262976074E0
6.329247083E-1,7.180567932E-1,1.160252243E1,6.725813599E0
6.429377083E-1,7.026388550E-1,1.174098450E1,6.972051544E0
6.529507083E-1,4.177812195E-1,1.162781982E1,7.304510193E0
6.629637083E-1,3.516188049E-1,1.167078049E1,7.642357635E0
6.729777083E-1,3.894900513E-1,1.187345901E1,7.991132355E0
6.829907083E-1,3.097059631E-1,1.184920944E1,8.204738159E0
6.930037083E-1,1.845661926E-1,1.205967178E1,8.066874847E0
7.030167083E-1,4.290078735E-1,1.255469238E1,7.466623077E0
7.130307083E-1,8.882528687E-1,1.312770081E1,6.802903290E0
7.230437083E-1,8.520281982E-1,1.328891556E1,6.674769745E0
7.330567083E-1,8.361611938E-1,1.331511108E1,6.483617249E0
7.430697083E-1,6.134243774E-1,1.328517334E1,6.270460510E0
7.530837083E-1,4.664300537E-1,1.300824921E1,5.593268738E0
7.630967083E-1,5.539979553E-1,1.290122177E1,5.197791138E0
7.731097083E-1,9.925859070E-1,1.262878830E1,5.141358490E0
7.831227083E-1,1.287472687E0,1.231773514E1,4.911586304E0
7.931367083E-1,1.106948090E0,1.182705551E1,4.552932129E0
8.031497083E-1,6.813830566E-1,1.137709122E1,3.820205841E0
8.131627083E-1,5.456153870E-1,1.146929947E1,2.590662689E0
8.231757083E-1,1.068627777E0,1.193513077E1,1.379231873E0
8.331897083E-1,1.551074524E0,1.242386444E1,6.182144165E-1
8.432027083E-1,1.885329437E0,1.241488312E1,6.298901367E-1
8.532157083E-1,2.133363647E0,1.172811127E1,1.416354675E0
8.632287083E-1,2.144440613E0,1.074166260E1,2.091600494E0
8.732417083E-1,2.051483917E0,9.569150848E0,2.425106964E0
8.832557083E-1,1.792672119E0,8.445437622E0,2.622396698E0
8.932687083E-1,1.010548553E0,7.207212524E0,2.513872375E0
9.032817083E-1,-1.022373962E-1,6.339017944E0,2.005828857E0
9.132947083E-1,-7.138655090E-1,6.084397430E0,1.212179260E0
