"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.385833335E-4,-9.033405222E-4,1.672336832E-2,7.115144283E-2
1.085158333E-2,-1.625060476E-2,5.984820426E-2,6.143968925E-2
2.086458333E-2,-2.864270657E-2,9.105423838E-2,5.624171719E-2
3.087758333E-2,-4.763073474E-2,6.959222257E-2,5.457456037E-2
4.089158333E-2,-5.581089854E-2,5.139484257E-2,5.464726686E-2
5.090458333E-2,-5.079521239E-2,3.212241083E-2,5.250074714E-2
6.091758333E-2,-2.304187790E-2,2.485464513E-2,5.759164691E-2
7.093058333E-2,5.172765348E-3,-2.093142830E-4,6.992018223E-2
8.094458333E-2,2.722347341E-2,-2.201660909E-2,7.631203532E-2
9.095758333E-2,1.541298442E-2,-1.506525185E-2,6.973381341E-2
1.009705833E-1,-2.738294937E-2,1.553047448E-2,5.777142197E-2
1.109837083E-1,-7.568491995E-2,7.905951887E-2,4.536506906E-2
1.209977083E-1,-9.865761548E-2,9.995201975E-2,4.094848409E-2
1.310107083E-1,-7.989543676E-2,7.479727268E-2,4.533368349E-2
1.410237083E-1,-3.229995072E-2,3.473295271E-2,4.023905843E-2
1.510367083E-1,1.991129853E-2,2.669235691E-4,3.642216697E-2
1.610497083E-1,4.295590147E-2,-5.404011346E-3,3.252755851E-2
1.710637083E-1,1.957687363E-2,3.947537765E-2,3.448714316E-2
1.810767083E-1,-3.161361068E-2,1.192756668E-1,4.003024846E-2
1.910897083E-1,-6.783115119E-2,1.733862162E-1,3.938308358E-2
2.011027083E-1,-6.183185056E-2,1.700748503E-1,3.546237946E-2
2.111167083E-1,-2.290395088E-2,1.140138879E-1,3.341834992E-2
2.211297083E-1,3.516228124E-2,3.323887661E-2,3.428121656E-2
2.311427083E-1,8.963520080E-2,-2.084167302E-2,4.929433018E-2
2.411557083E-1,1.100517884E-1,-2.721568197E-2,6.942729652E-2
2.511697083E-1,9.688583761E-2,-7.825009525E-4,9.505943954E-2
2.611827083E-1,5.644147843E-2,8.095124364E-2,1.128786504E-1
2.711957083E-1,-1.926362631E-3,1.417196691E-1,1.064787656E-1
2.812087083E-1,-4.377021641E-2,1.261236668E-1,8.688988537E-2
2.912227083E-1,-5.134339631E-2,5.714232475E-2,6.535206735E-2
3.012357083E-1,-3.324508667E-2,1.398260333E-2,4.560526088E-2
3.112487083E-1,-2.155880071E-2,1.071523689E-2,3.713963181E-2
3.212617083E-1,-2.404912189E-2,4.652542993E-2,4.674618691E-2
3.312747083E-1,-4.196111485E-2,9.296807647E-2,5.737403035E-2
3.412887083E-1,-5.149416625E-2,9.709225595E-2,6.304922700E-2
3.513017083E-1,-4.821633548E-2,6.286764890E-2,6.335875392E-2
3.613147083E-1,-2.861147560E-2,4.408011585E-2,6.032435223E-2
3.713277083E-1,-1.970881410E-2,6.076142192E-2,5.383418128E-2
3.813417083E-1,-3.429574519E-2,8.880264312E-2,5.874850973E-2
3.913547083E-1,-5.223914236E-2,8.371146023E-2,6.960970163E-2
4.013677083E-1,-5.533639714E-2,5.056895316E-2,7.662393153E-2
4.113807083E-1,-4.098966345E-2,4.078815505E-2,7.545964420E-2
4.213947083E-1,-3.684924915E-2,7.147469372E-2,7.117088884E-2
4.314077083E-1,-6.999652088E-2,1.355297863E-1,7.126376778E-2
4.414207083E-1,-1.188676581E-1,1.668264568E-1,8.077284694E-2
4.514337083E-1,-1.252530217E-1,1.864485741E-1,9.163591266E-2
4.614477083E-1,-1.004696414E-1,1.939949095E-1,1.044651568E-1
4.714607083E-1,-5.643074214E-2,1.587901115E-1,1.262280196E-1
4.814737083E-1,-5.664503202E-3,1.047761515E-1,1.438996792E-1
4.914867083E-1,2.615624107E-2,5.085683614E-2,1.712229103E-1
5.015007083E-1,3.744138405E-2,4.805465788E-2,1.931428611E-1
5.115137083E-1,2.062217100E-3,1.372169107E-1,1.967146397E-1
5.215267083E-1,-5.132617429E-2,2.624981403E-1,2.121958733E-1
5.315397083E-1,-8.431141078E-2,3.060643375E-1,2.388464063E-1
5.415537083E-1,-7.339750975E-2,2.734824419E-1,2.731436789E-1
5.515667083E-1,-2.907128446E-2,2.255238444E-1,3.004099131E-1
5.615797083E-1,4.042576998E-2,1.490495801E-1,3.127632439E-1
5.715927083E-1,1.166949645E-1,7.919089496E-2,3.401640058E-1
5.816067083E-1,1.726298630E-1,1.194527838E-2,3.645902574E-1
5.916197083E-1,2.375620902E-1,-3.380889073E-2,3.896763921E-1
6.016327083E-1,2.702579796E-1,-2.658399940E-2,4.120205641E-1
6.116457083E-1,2.456365228E-1,4.033165053E-2,4.174057543E-1
6.216587083E-1,2.330323160E-1,1.016575918E-1,4.050963521E-1
6.316727083E-1,2.749267519E-1,1.482523829E-1,3.680584729E-1
6.416857083E-1,3.649218678E-1,9.127219766E-2,3.305411935E-1
6.516987083E-1,5.134818554E-1,-1.271310821E-2,3.470440209E-1
6.617117083E-1,6.997750401E-1,-1.526385248E-1,3.639313877E-1
6.717257083E-1,8.998776078E-1,-2.892629206E-1,3.644224405E-1
6.817387083E-1,1.124884844E0,-4.155817032E-1,4.201222062E-1
6.917517083E-1,1.311293483E0,-4.863537848E-1,5.028024912E-1
7.017647083E-1,1.402139544E0,-5.630227327E-1,5.367950201E-1
7.117787083E-1,1.458049536E0,-7.232964635E-1,5.157338977E-1
7.217917083E-1,1.505112648E0,-7.908009291E-1,4.890285730E-1
7.318047083E-1,1.565177917E0,-9.430896640E-1,4.529089332E-1
7.418177083E-1,1.695274711E0,-1.169019699E0,4.324388206E-1
7.518317083E-1,1.794009447E0,-1.448537111E0,4.316643476E-1
7.618447083E-1,1.840908527E0,-1.618084669E0,4.573217630E-1
7.718577083E-1,1.869982719E0,-1.677937627E0,4.798874855E-1
7.818707083E-1,1.867507577E0,-1.603270292E0,5.055049658E-1
7.918847083E-1,1.828411698E0,-1.479868650E0,5.723402500E-1
8.018977083E-1,1.799968958E0,-1.434923887E0,6.607928872E-1
8.119107083E-1,1.738245249E0,-1.542883277E0,7.077132463E-1
8.219237083E-1,1.588126302E0,-1.649483800E0,6.626078486E-1
8.319377083E-1,1.350761294E0,-1.742546082E0,5.368278027E-1
8.419507083E-1,1.092036247E0,-1.753983021E0,4.021541476E-1
8.519637083E-1,8.874688148E-1,-1.615300298E0,2.752387524E-1
8.619767083E-1,7.373530269E-1,-1.392658234E0,1.613516062E-1
8.719897083E-1,6.328907609E-1,-1.174371004E0,8.684785664E-2
8.820037083E-1,5.861690640E-1,-9.682915807E-1,4.181646183E-2
8.920167083E-1,6.157792807E-1,-8.917141557E-1,9.161090851E-2
9.020297083E-1,7.728016973E-1,-1.037886858E0,2.215247005E-1
9.120427083E-1,9.876619577E-1,-1.380821824E0,3.309161067E-1
9.220567083E-1,1.127745748E0,-1.728957415E0,4.111587405E-1
9.320697083E-1,1.112377286E0,-1.951964140E0,4.290816486E-1
9.420827083E-1,9.072929621E-1,-2.062509537E0,3.397363126E-1
9.520957083E-1,5.322093964E-1,-2.086441278E0,1.423800737E-1
9.621097083E-1,1.465591490E-1,-1.989840388E0,-3.990077600E-2
9.721227083E-1,-9.239026904E-2,-1.820900440E0,-9.234374017E-2
9.821357083E-1,-2.453065813E-1,-1.685197473E0,2.230374701E-2
9.921487083E-1,-4.227884412E-1,-1.435874939E0,1.694444120E-1
1.002162708E0,-5.981554985E-1,-1.079845905E0,3.133115768E-1
1.012175708E0,-6.507776976E-1,-7.631493211E-1,4.535600543E-1
1.022188708E0,-5.382280350E-1,-5.732486248E-1,5.947637558E-1
1.032201708E0,-3.239744306E-1,-7.366675735E-1,7.804284692E-1
1.042215708E0,-1.660982370E-1,-9.848268032E-1,9.371456504E-1
1.052228708E0,-1.608529985E-1,-1.115860939E0,9.882186651E-1
1.062241708E0,-2.383496463E-1,-1.104069471E0,9.442890286E-1
1.072254708E0,-3.489151895E-1,-9.757958055E-1,8.885741234E-1
1.082268708E0,-5.323401093E-1,-7.605985403E-1,8.372912407E-1
1.092281708E0,-7.248750329E-1,-4.567268491E-1,8.064373732E-1
1.102294708E0,-8.481509089E-1,-2.277487963E-1,8.227643967E-1
1.112307083E0,-9.133856893E-1,-8.570138365E-2,8.666564822E-1
1.122321083E0,-9.337769747E-1,-1.318321563E-3,9.407138824E-1
1.132334083E0,-9.410598278E-1,1.937818527E-2,1.088443041E0
1.142347083E0,-9.173116088E-1,-5.323902518E-2,1.302698612E0
1.152360083E0,-8.422818780E-1,-1.938828677E-1,1.537872791E0
1.162373083E0,-8.615013957E-1,-2.372889221E-1,1.710127592E0
1.172387083E0,-9.904880524E-1,-1.300290227E-1,1.781786203E0
1.182400083E0,-1.106948495E0,3.611120582E-2,1.792710304E0
1.192413083E0,-1.247831583E0,2.548628449E-1,1.822610259E0
1.202426083E0,-1.400743365E0,3.922508061E-1,1.826593995E0
1.212440083E0,-1.428761840E0,3.207909465E-1,1.853291035E0
1.222453083E0,-1.279641032E0,7.609783858E-2,2.004301786E0
1.232466083E0,-1.186797976E0,-3.235766888E-1,2.245809317E0
1.242479083E0,-1.227240205E0,-5.437676907E-1,2.506160259E0
1.252493083E0,-1.319237947E0,-5.091934800E-1,2.703664064E0
1.262506083E0,-1.470505714E0,-1.334486157E-1,2.851281404E0
1.272519083E0,-1.753137946E0,3.146806061E-1,2.891854286E0
1.282532083E0,-1.958069444E0,6.216977835E-1,2.835094929E0
1.292546083E0,-1.975573778E0,5.818766952E-1,2.806383610E0
1.302559083E0,-1.827722788E0,3.198373616E-1,2.787116528E0
1.312572083E0,-1.588783503E0,8.061275631E-2,2.713127851E0
1.322585083E0,-1.360025167E0,-8.927694708E-2,2.561586142E0
1.332599083E0,-1.143168807E0,-3.114904463E-1,2.379059315E0
1.342612083E0,-1.118233681E0,-6.060438156E-1,2.100385427E0
1.352625083E0,-1.299859285E0,-6.840823293E-1,1.648352385E0
1.362638083E0,-1.557835221E0,-4.818820655E-1,1.055292845E0
1.372652083E0,-1.751561761E0,-7.446877658E-2,5.116031170E-1
1.382665083E0,-1.806688309E0,2.455838025E-1,8.266828954E-2
1.392678083E0,-1.692434549E0,2.780228853E-1,-2.872826159E-1
1.402691083E0,-1.361225963E0,1.354304515E-2,-5.908545256E-1
1.412704083E0,-8.890728951E-1,-3.138709068E-1,-8.942681551E-1
1.422718083E0,-3.750042021E-1,-5.513615012E-1,-1.271128893E0
1.432731083E0,5.678420141E-2,-6.292650104E-1,-1.713922501E0
1.442744083E0,3.105176687E-1,-6.063463688E-1,-2.137752533E0
1.452757083E0,3.753539622E-1,-6.139897108E-1,-2.480785131E0
1.462771083E0,1.911700070E-1,-5.428383350E-1,-2.830284119E0
1.472784083E0,-1.445310265E-1,-2.192019671E-1,-3.176898718E0
1.482797083E0,-3.549596369E-1,1.690544337E-1,-3.430200815E0
1.492810083E0,-3.560416698E-1,3.047631979E-1,-3.549253464E0
1.502824083E0,-2.366710603E-1,2.660879791E-1,-3.606040239E0
1.512837083E0,1.994892396E-2,5.785516277E-2,-3.625567198E0
1.522850083E0,3.724598289E-1,-4.054107666E-1,-3.629476547E0
1.532863083E0,7.681325674E-1,-9.290884137E-1,-3.553682327E0
1.542877083E0,9.355500340E-1,-1.255220175E0,-3.390951157E0
