"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.274416667E-3,1.565744019E-1,6.785240021E0,6.937323761E0
1.828841667E-2,7.813751221E-2,6.748865662E0,7.081923065E0
2.830241667E-2,-9.460327148E-2,6.703210602E0,7.018005981E0
3.831641667E-2,-2.493814087E-1,6.665339355E0,6.838529205E0
4.833041667E-2,-3.321592712E-1,6.668333130E0,6.658902740E0
5.834541667E-2,-2.501298523E-1,6.785240021E0,6.620133362E0
6.835941667E-2,-7.409591675E-2,6.960076447E0,6.563101959E0
7.837341667E-2,1.107696533E-2,7.078629913E0,6.465804291E0
8.838741667E-2,-2.739303589E-2,7.132966919E0,6.358776855E0
9.840141667E-2,-1.034349060E-1,7.107968903E0,6.300847321E0
1.084154167E-1,-1.510359192E-1,7.095993805E0,6.399492188E0
1.184294167E-1,-1.835183716E-1,7.057823181E0,6.474186859E0
1.284434167E-1,-2.173480225E-1,7.000941467E0,6.431974640E0
1.384574167E-1,-2.124082947E-1,6.977290649E0,6.475234680E0
1.484714167E-1,-2.007325745E-1,6.937473450E0,6.655908966E0
1.584854167E-1,-2.510279846E-1,6.849157104E0,6.791976013E0
1.684994167E-1,-3.484753418E-1,6.694678345E0,6.845564575E0
1.785134167E-1,-3.698808289E-1,6.543492737E0,6.879543915E0
1.885274167E-1,-2.061213684E-1,6.543343048E0,7.069947968E0
1.985414167E-1,8.232879639E-3,6.582411804E0,7.362140350E0
2.085554167E-1,5.343887329E-2,6.585405579E0,7.344477081E0
2.185704167E-1,-6.062393188E-2,6.611301727E0,7.083120575E0
2.285844167E-1,-1.523831177E-1,6.673123169E0,6.795119476E0
2.385984167E-1,-1.874102783E-1,6.757098541E0,6.537654877E0
2.486124167E-1,-1.987866211E-1,6.817123718E0,6.322103119E0
2.586264167E-1,-2.183958435E-1,6.775510254E0,6.289321289E0
2.686404167E-1,-2.068698120E-1,6.692582703E0,6.263425140E0
2.786544167E-1,-2.095642090E-2,6.700815582E0,6.135291595E0
2.886684167E-1,1.844165039E-1,6.716233521E0,6.123166809E0
2.986824167E-1,1.645079041E-1,6.611601105E0,6.331683197E0
3.086964167E-1,7.244934082E-2,6.437064056E0,6.775659943E0
3.187104167E-1,-2.200424194E-2,6.403833160E0,6.823410645E0
3.287244167E-1,-8.771759033E-2,6.515500946E0,6.512357483E0
3.387384167E-1,-8.442443848E-2,6.630761261E0,6.213878174E0
3.487524167E-1,-1.142124939E-1,6.694229279E0,5.949228516E0
3.587674167E-1,-1.719923401E-1,6.698420563E0,5.654192047E0
3.687814167E-1,-1.978884888E-1,6.695576477E0,5.441933441E0
3.787954167E-1,-2.544708252E-1,6.621929626E0,5.434748383E0
3.888094167E-1,-3.465293884E-1,6.490652618E0,5.537883911E0
3.988234167E-1,-4.203259277E-1,6.290219421E0,5.703289948E0
4.088374167E-1,-5.456153870E-1,6.103557587E0,6.133495331E0
4.188514167E-1,-7.535330200E-1,6.014492798E0,6.535858612E0
4.288654167E-1,-9.830058289E-1,5.956712952E0,6.465953979E0
4.388794167E-1,-8.361611938E-1,6.164630585E0,5.727988586E0
4.488934167E-1,-2.900967407E-1,6.376739502E0,4.821324005E0
4.589074167E-1,4.861889648E-1,6.705006866E0,4.556225281E0
4.689214167E-1,1.419498138E0,7.203470306E0,4.178710327E0
4.789354167E-1,2.124981079E0,7.083719330E0,4.793481903E0
4.889504167E-1,1.775607605E0,7.531587982E0,6.341562653E0
4.989644167E-1,2.371368713E0,7.443720703E0,6.662944336E0
5.089784167E-1,2.675386505E0,6.958429871E0,7.003486176E0
5.189924167E-1,1.784738617E0,6.556515656E0,7.649842072E0
5.290064167E-1,7.369175720E-1,6.081104279E0,7.993677063E0
5.390204167E-1,4.610412598E-2,5.702391815E0,7.734865265E0
5.490344167E-1,-3.146456909E-1,5.781726837E0,7.446564789E0
5.590484167E-1,1.595681763E-1,5.903723145E0,7.167694702E0
5.690624167E-1,1.082399139E0,5.916446686E0,6.226152649E0
5.790764167E-1,1.945653992E0,6.466253357E0,5.127437439E0
5.890904167E-1,3.117716675E0,6.921157379E0,5.228926392E0
5.991044167E-1,3.813769226E0,6.898105316E0,6.387666779E0
6.091194167E-1,3.226690063E0,6.214177551E0,7.740852814E0
6.191334167E-1,2.177671509E0,5.065466309E0,8.530610504E0
6.291474167E-1,1.458267517E0,4.794978790E0,8.883426819E0
6.391614167E-1,1.222358093E0,5.005441132E0,8.974736938E0
6.491754167E-1,1.553768921E0,4.759951630E0,8.045619049E0
6.591894167E-1,2.117197266E0,5.171296234E0,6.790030060E0
6.692034167E-1,3.423081665E0,5.472469940E0,5.454806671E0
6.792174167E-1,5.109175415E0,5.749244385E0,5.063969421E0
6.892314167E-1,6.080655212E0,6.249204712E0,5.529351654E0
6.992454167E-1,6.155499573E0,6.057453461E0,5.780080261E0
7.092594167E-1,5.809568939E0,5.347629547E0,5.677244110E0
7.192735833E-1,5.496420135E0,4.493356018E0,5.517077179E0
7.292885833E-1,4.806654510E0,3.766467590E0,5.595065002E0
7.393025833E-1,4.711452484E0,3.029250641E0,5.528453522E0
7.493165833E-1,5.084327087E0,2.603835297E0,5.643414459E0
7.593305833E-1,6.107000427E0,2.678080902E0,6.048023071E0
7.693445833E-1,7.951913910E0,3.413202209E0,7.619904327E0
7.793585833E-1,1.016131943E1,4.669240265E0,7.895780640E0
7.893725833E-1,1.134745285E1,5.558840332E0,6.370901642E0
7.993865833E-1,1.109822113E1,5.440885620E0,4.450095978E0
8.094005833E-1,1.057745407E1,4.862937469E0,3.146307220E0
8.194145833E-1,1.069466034E1,4.318070526E0,2.521805878E0
8.294295833E-1,1.096245346E1,3.438948669E0,3.451821899E0
8.394435833E-1,1.174427765E1,2.795736237E0,5.618865509E0
8.494575833E-1,1.301573364E1,2.833308105E0,7.213798828E0
8.594715833E-1,1.407552979E1,2.863694916E0,8.037984924E0
8.694855833E-1,1.485944962E1,2.963537292E0,7.971822510E0
8.794995833E-1,1.552107376E1,3.300336914E0,6.793323212E0
8.895135833E-1,1.643342651E1,3.798201599E0,4.889282684E0
8.995275833E-1,1.750804184E1,4.516408081E0,2.564018097E0
9.095415833E-1,1.845347580E1,4.555925903E0,5.460644531E-1
9.195555833E-1,1.923979065E1,3.959116974E0,3.439846802E-1
