"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773478564211175E9,"2026-03-14 09:56:04.211 UTC+01:00"
"PAUSE",1.761671983333326E1,1.773478581827888E9,"2026-03-14 09:56:21.828 UTC+01:00"
