"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773478414030552E9,"2026-03-14 09:53:34.031 UTC+01:00"
"PAUSE",1.625216075000026E1,1.773478430282705E9,"2026-03-14 09:53:50.283 UTC+01:00"
