"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.785416667E-3,1.470242615E0,6.835834808E0,6.547384644E0
1.879941667E-2,1.465302887E0,6.866970062E0,6.335724792E0
2.881341667E-2,1.453327789E0,6.864724731E0,6.390211487E0
3.882741667E-2,1.383273468E0,6.859335938E0,6.611152039E0
4.884179167E-2,1.309476929E0,6.848558350E0,6.667584686E0
5.885679167E-2,1.310075684E0,6.884184265E0,6.504573669E0
6.887079167E-2,1.236279144E0,6.979985046E0,6.398893433E0
7.888479167E-2,1.151705017E0,7.001240845E0,6.336922302E0
8.889879167E-2,1.130149841E0,7.040908356E0,6.349346466E0
9.891379167E-2,1.085542603E0,7.068750458E0,6.447392578E0
1.089277917E-1,1.041683807E0,7.017107849E0,6.505172424E0
1.189417917E-1,1.050216064E0,6.993906097E0,6.449937286E0
1.289557917E-1,1.110091553E0,7.038513336E0,6.428980865E0
1.389707917E-1,1.209933929E0,7.044201508E0,6.482419739E0
1.489847917E-1,1.230291595E0,7.016658783E0,6.544091492E0
1.589987917E-1,1.195414124E0,7.036417694E0,6.482719116E0
1.690127917E-1,1.087787933E0,6.968459015E0,6.231691132E0
1.790277917E-1,9.671388245E-1,6.910679169E0,6.200106812E0
1.890417917E-1,9.565109253E-1,6.884932709E0,6.301895142E0
1.990557917E-1,1.030906219E0,6.809190216E0,6.435567169E0
2.090697917E-1,1.194515991E0,6.800358582E0,6.531667328E0
2.190847917E-1,1.271006927E0,6.712341614E0,6.619534607E0
2.290987917E-1,1.133592682E0,6.497987366E0,6.537654877E0
2.391127917E-1,9.547146606E-1,6.387517090E0,6.282136230E0
2.491267917E-1,9.621990967E-1,6.314618683E0,5.995182953E0
2.591407917E-1,1.148561554E0,6.336323547E0,5.909261627E0
2.691557917E-1,1.187929688E0,6.304439850E0,6.015839996E0
2.791697917E-1,1.021026764E0,6.152954865E0,5.835315399E0
2.891837917E-1,7.692503357E-1,5.935756531E0,5.522765350E0
2.991977917E-1,3.650907898E-1,5.693410492E0,5.398673401E0
3.092127917E-1,1.856140137E-2,5.470673676E0,5.397176514E0
3.192267917E-1,-3.272195435E-1,5.008285217E0,5.213807831E0
3.292407917E-1,-7.958949280E-1,4.928052063E0,4.900509338E0
3.392547917E-1,-1.135089569E0,4.982538757E0,3.962110748E0
3.492697917E-1,-1.195264435E0,4.456083527E0,3.402873688E0
3.592837917E-1,8.382568359E-3,4.526137848E0,3.091521149E0
3.692977917E-1,1.776356049E0,4.904700623E0,2.900368652E0
3.793117917E-1,3.650159454E0,5.064268799E0,2.682721252E0
3.893267917E-1,2.441872101E0,6.978937225E0,5.317841492E0
3.993407917E-1,4.430935822E0,6.036497040E0,7.227420502E0
4.093547917E-1,6.113586731E0,5.694009247E0,8.463849335E0
4.193687917E-1,6.252048798E0,6.415957947E0,9.316176910E0
4.293837917E-1,6.306834869E0,6.375242615E0,9.567504272E0
4.393977917E-1,6.079008636E0,6.217321014E0,9.365424500E0
4.494117917E-1,5.631139984E0,6.085744629E0,8.393944702E0
4.594257917E-1,5.344486084E0,5.864804077E0,7.411088562E0
4.694407917E-1,5.731730804E0,5.928870850E0,7.365283813E0
4.794547917E-1,6.852749634E0,6.343957672E0,7.861651611E0
4.894687917E-1,7.934699707E0,6.883884888E0,7.978708191E0
4.994827917E-1,8.663683777E0,7.209308167E0,7.570357361E0
5.094977917E-1,9.146280212E0,7.659721527E0,7.460336151E0
5.195117917E-1,9.407936096E0,7.916437683E0,7.307054901E0
5.295257917E-1,9.256151733E0,7.848179626E0,7.140151978E0
5.395397917E-1,8.641529846E0,7.595804443E0,7.402855682E0
5.495547917E-1,8.011040955E0,7.282056885E0,7.660469971E0
5.595687917E-1,7.407346344E0,6.765331421E0,7.425608368E0
5.695827917E-1,7.184010773E0,6.190077667E0,7.252268829E0
5.795967917E-1,8.021668854E0,5.712570648E0,7.723039856E0
5.896117917E-1,9.232500916E0,5.722899170E0,8.126750336E0
5.996257917E-1,1.036983582E1,6.197412415E0,7.721243591E0
6.096397917E-1,1.093730576E1,5.983656921E0,6.822063446E0
6.196537917E-1,1.082563797E1,6.114634552E0,5.763315125E0
6.296687917E-1,1.026280838E1,6.241121521E0,4.690196686E0
6.396827917E-1,9.667196960E0,5.632487183E0,4.010759583E0
6.496967917E-1,9.072483673E0,4.699327698E0,3.873195648E0
6.597107917E-1,8.704698486E0,4.076921997E0,4.010609894E0
6.697257917E-1,8.609646149E0,3.361409912E0,4.015549622E0
6.797397917E-1,9.709109802E0,2.534529419E0,4.029770050E0
6.897537917E-1,1.318757629E1,3.760480042E0,3.993096313E0
6.997677917E-1,1.609602814E1,5.864953766E0,3.851041718E0
7.097827917E-1,1.640603348E1,5.778283997E0,3.301085358E0
7.197967917E-1,1.501063522E1,4.910987549E0,2.978057098E0
7.298107917E-1,1.355521179E1,3.858077087E0,2.815794525E0
7.398257917E-1,1.295780411E1,3.081042938E0,2.677931213E0
7.498397917E-1,1.254406448E1,2.439028015E0,2.598147125E0
7.598537917E-1,1.211520630E1,1.802850952E0,2.003284149E0
7.698677917E-1,1.221459961E1,1.194366302E0,7.785310364E-1
7.798827917E-1,1.398736313E1,1.785187683E0,-1.010847931E0
7.898967917E-1,1.618359604E1,2.734513550E0,-1.803749084E0
7.999107917E-1,1.778376846E1,2.893782349E0,-1.235530701E0
8.099247917E-1,1.908770691E1,3.138373718E0,5.468128967E-1
8.199397917E-1,1.963152603E1,3.340453491E0,1.781445465E0
8.299537917E-1,1.873818375E1,2.661764832E0,2.020049286E0
8.399677917E-1,1.723515930E1,1.829944611E0,2.030377808E0
8.499817917E-1,1.593631027E1,1.179996185E0,2.021246796E0
8.599967917E-1,1.530971329E1,9.614506531E-1,1.179547119E0
8.700107917E-1,1.525717255E1,1.211879883E0,-5.336402893E-1
8.800247917E-1,1.501018616E1,1.474882965E0,-1.731299744E0
8.900387917E-1,1.452908661E1,1.186432800E0,-2.887794800E0
9.000537917E-1,1.373259293E1,5.239105225E-1,-4.180207214E0
9.100677917E-1,1.387135437E1,2.718347168E-1,-5.024451599E0
9.200817917E-1,1.479418533E1,3.484753418E-1,-5.381608887E0
9.300957917E-1,1.579500412E1,5.716612244E-1,-4.950205994E0
9.401107917E-1,1.652548508E1,4.896318054E-1,-3.720363464E0
9.501247917E-1,1.568603073E1,3.493734741E-1,-2.126777344E0
9.601387917E-1,1.460183533E1,-6.795867920E-2,-1.452729034E0
9.701537917E-1,1.353021378E1,-7.583230591E-1,-1.555714874E0
9.801677917E-1,1.256981094E1,-1.343306580E0,-1.737436981E0
9.901817917E-1,1.214454529E1,-1.678459625E0,-1.843117218E0
1.000195792E0,1.158351196E1,-1.862277374E0,-1.733694763E0
1.010210792E0,1.085213287E1,-1.870809631E0,-1.647923126E0
1.020224792E0,1.051697983E1,-1.472338257E0,-1.386267242E0
1.030238792E0,1.053748718E1,-9.517208862E-1,-1.154848480E0
1.040252792E0,1.055215668E1,-1.281335449E-1,-1.990710297E0
1.050267667E0,1.127500351E1,8.876541138E-2,-3.842060394E0
1.060281667E0,1.154070099E1,6.502478027E-1,-5.214256897E0
1.070295667E0,1.089838669E1,1.080303497E0,-6.018534393E0
1.080309667E0,9.306297455E0,4.269122314E-1,-6.030958557E0
1.090324667E0,7.558382263E0,1.739382935E-1,-5.155429230E0
1.100338667E0,6.899003448E0,3.987707520E-1,-2.210603027E0
1.110352667E0,6.371799774E0,1.892065430E-1,3.873944092E-1
1.120367667E0,5.510640564E0,7.469467163E-2,1.163231049E0
1.130381667E0,4.109404449E0,-2.835104370E-1,1.170865173E0
1.140395667E0,2.336191864E0,-8.707392883E-1,1.012644196E0
1.150409667E0,4.944218445E-1,-9.108558655E-1,4.468208313E-1
1.160424667E0,-9.747729492E-1,-4.496649170E-1,3.376977539E-1
1.170438667E0,-1.751956787E0,1.646575928E-1,-2.486329651E-1
1.180452667E0,-2.088007965E0,9.148974609E-1,-1.589993591E0
1.190466667E0,-2.223176880E0,1.561403046E0,-2.880310364E0
1.200481667E0,-2.023192749E0,2.245630188E0,-3.050506439E0
1.210495667E0,-1.466350708E0,2.689606934E0,-1.413660278E0
1.220509667E0,-1.432970123E0,2.465822296E0,-4.076023865E-1
1.230524667E0,-1.724264374E0,2.400408325E0,-7.280859375E-1
1.240538667E0,-2.355202332E0,2.352358246E0,-9.151968384E-1
1.250552667E0,-3.463796997E0,1.870210876E0,-5.557942200E-1
1.260566667E0,-4.952301636E0,1.657054138E0,-7.707472229E-1
1.270581667E0,-5.956114197E0,2.060016174E0,-1.436562653E0
1.280595667E0,-5.626349945E0,2.743943939E0,-2.024090881E0
