"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.223333336E-4,1.275301818E-2,-1.380632818E-1,-3.728318959E-2
1.093633333E-2,-8.577364683E-2,-2.854926698E-2,-2.618565597E-2
2.094933333E-2,-1.445514709E-1,2.395974845E-2,-2.408575267E-2
3.096233333E-2,-1.527605206E-1,2.176016942E-2,-2.878343314E-2
4.097633333E-2,-1.036635488E-1,-1.354828849E-2,-3.576197848E-2
5.098933333E-2,-4.207070544E-2,-7.089637965E-2,-5.380645022E-2
6.100233333E-2,8.553588763E-3,-1.375097483E-1,-6.367585808E-2
7.101533333E-2,4.797277227E-2,-1.819993556E-1,-6.470979750E-2
8.102933333E-2,5.021248758E-2,-2.025746703E-1,-7.357306033E-2
9.104233333E-2,1.605767570E-2,-1.643448025E-1,-8.099563420E-2
1.010553333E-1,-5.288463831E-2,-1.162353233E-1,-8.125875890E-2
1.110693333E-1,-1.144995093E-1,-6.318272650E-2,-7.985869050E-2
1.210823333E-1,-1.474159211E-1,-4.113335162E-2,-6.842920184E-2
1.310953333E-1,-1.401245147E-1,-6.075996906E-2,-5.739075318E-2
1.411083333E-1,-9.234927595E-2,-1.036096960E-1,-4.213350266E-2
1.511223333E-1,-2.566765994E-2,-1.292128265E-1,-2.913513407E-2
1.611353333E-1,5.583204329E-3,-1.198835149E-1,-2.933087945E-2
1.711483333E-1,-1.515188813E-2,-7.837578654E-2,-3.811204433E-2
1.811623333E-1,-4.888029397E-2,-3.936394677E-2,-4.584985599E-2
1.911753333E-1,-7.669304311E-2,-3.465479240E-2,-4.427833110E-2
2.011883333E-1,-9.845213592E-2,-4.324535280E-2,-4.917455465E-2
2.112013333E-1,-1.040994972E-1,-5.868053436E-2,-6.034059078E-2
2.212153333E-1,-9.009712934E-2,-8.033256233E-2,-6.849332899E-2
2.312283333E-1,-5.902443081E-2,-9.605533630E-2,-5.551201850E-2
2.412413333E-1,-3.424611315E-2,-9.031542391E-2,-2.832753398E-2
2.512553333E-1,-2.158766799E-2,-7.053741813E-2,-1.215535216E-2
2.612683333E-1,-2.466947772E-2,-7.363547385E-2,-6.144330371E-3
2.712813333E-1,-1.769502461E-2,-1.054589525E-1,6.787357852E-3
2.812948333E-1,-1.797066070E-2,-1.424966156E-1,1.680297405E-2
2.913078333E-1,-3.565473855E-2,-1.533521861E-1,6.676471792E-3
3.013208333E-1,-4.718196392E-2,-1.542978734E-1,-1.076856442E-2
3.113338333E-1,-5.421490967E-2,-1.826279759E-1,-2.641871572E-2
3.213478333E-1,-6.429044902E-2,-2.384688705E-1,-2.763950825E-2
3.313608333E-1,-4.908357188E-2,-3.068663776E-1,-1.374428347E-2
3.413738333E-1,-6.246862188E-2,-3.087790608E-1,-2.256467193E-2
3.513878333E-1,-8.856857568E-2,-2.901252508E-1,-4.265356809E-2
3.614008333E-1,-1.070394590E-1,-2.827222049E-1,-4.321256652E-2
3.714138333E-1,-1.145657897E-1,-3.165551424E-1,-1.737403870E-2
3.814268333E-1,-1.013477221E-1,-4.384317696E-1,2.024364099E-2
3.914408333E-1,-7.545569539E-2,-6.513411403E-1,4.517957568E-2
4.014538333E-1,-5.379540846E-2,-9.004854560E-1,3.154153004E-2
4.114668333E-1,-3.637210280E-2,-1.140078187E0,-7.855474018E-3
4.214808333E-1,-8.326620795E-3,-1.332514763E0,-3.824160993E-2
4.314938333E-1,-5.848387256E-3,-1.469745517E0,-6.101929396E-2
4.415068333E-1,-2.028538287E-2,-1.587614298E0,-1.337108389E-2
4.515198333E-1,-7.425937802E-2,-1.537876248E0,4.942310229E-2
4.615338333E-1,-3.241698742E-1,-1.719673991E0,1.023733988E-1
4.715468333E-1,-4.843538404E-1,-1.942457557E0,1.995871961E-1
4.815598333E-1,-5.389132500E-1,-2.352899313E0,4.213550389E-1
4.915738333E-1,-5.502210855E-1,-2.909611702E0,6.564128995E-1
5.015868333E-1,-4.885925949E-1,-3.371598005E0,8.624923229E-1
5.115998333E-1,-2.966732383E-1,-3.714584827E0,9.577124119E-1
5.216138333E-1,-2.462760359E-2,-3.936661243E0,9.367061853E-1
5.316268333E-1,2.292267233E-1,-3.943214417E0,8.602467775E-1
5.416398333E-1,4.318062067E-1,-3.673895359E0,8.375830054E-1
5.516528333E-1,5.531578660E-1,-3.253878355E0,8.704875112E-1
5.616668333E-1,6.128933430E-1,-2.935089827E0,9.586812854E-1
5.716798333E-1,7.011697888E-1,-2.834635019E0,1.122846007E0
5.816928333E-1,7.621945143E-1,-2.894334078E0,1.292997479E0
5.917068333E-1,8.714694977E-1,-3.199038744E0,1.412431717E0
