"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.395083333E-3,1.270108795E0,7.133116608E0,6.472689972E0
1.540908333E-2,1.427581329E0,7.176376648E0,6.550677795E0
2.542408333E-2,1.378034363E0,7.197632446E0,6.468798065E0
3.543808333E-2,1.217118988E0,7.160210266E0,6.348897400E0
4.545208333E-2,1.099313965E0,7.193291473E0,6.358477478E0
5.546708333E-2,9.255253601E-1,7.164251862E0,6.282884674E0
6.548108333E-2,7.481442261E-1,7.098089447E0,6.215524750E0
7.549508333E-2,6.147715759E-1,7.008725281E0,6.221362610E0
8.551008333E-2,5.742059326E-1,6.947502594E0,6.109844513E0
9.552408333E-2,6.361770630E-1,6.950795746E0,5.850883026E0
1.055390833E-1,7.433541870E-1,7.003635864E0,5.644761658E0
1.155530833E-1,7.090754700E-1,6.951993256E0,5.558391266E0
1.255670833E-1,5.496569824E-1,6.800208893E0,5.833070068E0
1.355820833E-1,3.661386108E-1,6.721772003E0,6.090384979E0
1.455960833E-1,2.206411743E-1,6.547983398E0,6.113886108E0
1.556100833E-1,1.880090332E-1,6.460714874E0,6.060746613E0
1.656250833E-1,2.436932373E-1,6.378835144E0,5.959257660E0
1.756390833E-1,1.555265808E-1,6.238876190E0,5.774242401E0
1.856540833E-1,1.287322998E-2,6.077062683E0,5.429509277E0
1.956680833E-1,-1.055305481E-1,5.908513184E0,4.998106384E0
2.056820833E-1,-1.504371643E-1,5.745053101E0,4.681065674E0
2.156970833E-1,-2.962339783E-1,5.564528503E0,4.345313873E0
2.257110833E-1,-5.861810303E-1,5.417384491E0,3.826343079E0
2.357260833E-1,-8.351133728E-1,5.147645416E0,3.083587646E0
2.457400833E-1,-1.039887543E0,4.863835602E0,2.620151367E0
2.557540833E-1,-1.403331757E0,4.531376953E0,2.372715912E0
2.657690833E-1,-1.802551575E0,4.052223358E0,2.141895905E0
2.757830833E-1,-2.007774811E0,3.702550507E0,2.119143219E0
2.857970833E-1,-1.996398468E0,3.339405670E0,2.100132751E0
2.958120833E-1,-1.921554108E0,3.042572937E0,1.949545898E0
3.058260833E-1,-1.755249939E0,2.705923004E0,1.651665344E0
3.158410833E-1,-1.665287018E0,2.379302216E0,1.448088684E0
3.258550833E-1,-1.495390320E0,1.998793488E0,1.409468994E0
3.358690833E-1,-1.385967865E0,1.666484528E0,1.542542267E0
3.458840833E-1,-9.934840393E-1,1.407223663E0,1.514999542E0
3.558980833E-1,3.867956543E-1,1.351240082E0,9.398954773E-1
3.659130833E-1,4.159849548E-1,1.647623749E0,9.288185120E-1
3.759270833E-1,1.246008911E0,1.153351593E0,6.932084656E-1
3.859410833E-1,1.800605621E0,1.192120972E0,3.728746033E-1
3.959560833E-1,1.834584961E0,9.395960999E-1,6.707551575E-1
4.059700833E-1,2.274071045E0,4.971162415E-1,1.048120422E0
4.159850833E-1,2.515369263E0,8.666976929E-2,1.886976013E0
4.259990833E-1,2.979553986E0,-3.860472107E-1,3.682941284E0
4.360130833E-1,3.677253113E0,-9.202862549E-1,5.196144562E0
4.460280833E-1,4.313879242E0,-1.292562103E0,6.535559235E0
4.560420833E-1,4.891078949E0,-1.656605072E0,9.406439209E0
4.660560833E-1,5.529201965E0,-2.105072479E0,1.223286163E1
4.760710833E-1,5.923032990E0,-1.778601379E0,1.372091721E1
4.860850833E-1,5.729186096E0,-1.450783081E0,1.370310425E1
4.961000833E-1,5.853727112E0,-1.461710358E0,1.254795639E1
5.061140833E-1,6.687343597E0,-1.008303223E0,1.185384979E1
5.161280833E-1,8.084687805E0,-3.784130859E-1,1.198078583E1
5.261430833E-1,1.052491333E1,1.734892273E-1,1.189157135E1
5.361570833E-1,1.309686493E1,1.494641876E0,1.231863327E1
5.461720833E-1,1.431757645E1,2.346221008E0,1.341704910E1
5.561860833E-1,1.470167770E1,2.617307281E0,1.436622528E1
5.662000833E-1,1.496572861E1,2.718796234E0,1.550849991E1
5.762150833E-1,1.536120621E1,2.762505341E0,1.754681122E1
5.862290833E-1,1.602507568E1,2.986140289E0,1.887724457E1
5.962440833E-1,1.704355774E1,3.102298737E0,1.876752274E1
6.062580833E-1,1.872291550E1,3.424279175E0,1.797043030E1
6.162720833E-1,2.066452789E1,3.840862885E0,1.656455383E1
6.262870833E-1,2.297901489E1,4.137845306E0,1.542272827E1
6.363010833E-1,2.534215073E1,4.692591705E0,1.516107239E1
6.463160833E-1,2.603041946E1,4.494254150E0,1.549113602E1
6.563300833E-1,2.544154404E1,3.436254272E0,1.681902466E1
6.663440833E-1,2.467094650E1,2.198478241E0,1.864717300E1
6.763590833E-1,2.401725586E1,1.354383545E0,2.047861450E1
6.863730833E-1,2.333482498E1,7.632627869E-1,2.185949295E1
6.963880833E-1,2.273247757E1,1.248403931E-1,2.195095276E1
7.064020833E-1,2.227951950E1,-3.088078308E-1,2.089744354E1
7.164160833E-1,2.179677338E1,-8.274792480E-1,1.935145844E1
7.264310833E-1,2.192999634E1,-1.221909027E0,1.723575806E1
7.364450833E-1,2.226694565E1,-1.591041412E0,1.528815811E1
7.464600833E-1,2.252096741E1,-1.923500061E0,1.390219025E1
7.564740833E-1,2.253354126E1,-2.210153961E0,1.309252396E1
7.664880833E-1,2.205588455E1,-2.639760590E0,1.255319550E1
7.765030833E-1,2.097603012E1,-3.113375702E0,1.194650711E1
7.865170833E-1,1.997341507E1,-3.753744049E0,1.176852722E1
7.965320833E-1,1.963122665E1,-4.249662781E0,1.264315842E1
8.065460833E-1,1.947315536E1,-4.261787567E0,1.352377716E1
8.165610833E-1,1.905836792E1,-4.507127380E0,1.325493622E1
8.265750833E-1,1.811368240E1,-4.893174591E0,1.226923599E1
8.365890833E-1,1.710537918E1,-5.305716705E0,1.095197525E1
8.466040833E-1,1.638058640E1,-5.704786835E0,9.773026886E0
8.566180833E-1,1.573737396E1,-5.702691193E0,8.657097473E0
8.666330833E-1,1.510404099E1,-5.782026215E0,7.467521210E0
8.766470833E-1,1.427281952E1,-6.132597198E0,6.746021576E0
8.866610833E-1,1.335852081E1,-6.168372803E0,6.497687988E0
8.966760833E-1,1.265423538E1,-6.192173309E0,6.518494720E0
9.066900833E-1,1.152543274E1,-6.379134521E0,6.231092377E0
9.167050833E-1,1.038405624E1,-6.686595154E0,5.840404816E0
9.267196250E-1,9.580976257E0,-6.968309326E0,5.582191772E0
9.367336250E-1,8.834628296E0,-6.857839050E0,5.446424103E0
9.467486250E-1,8.589288483E0,-6.426436157E0,5.144052887E0
9.567626250E-1,8.504714355E0,-6.026318207E0,4.571942596E0
9.667776250E-1,8.139623566E0,-6.035149841E0,3.757037201E0
9.767916250E-1,7.378007355E0,-6.083199921E0,3.041674805E0
9.868066250E-1,6.624324646E0,-6.068380737E0,2.666105804E0
9.968206250E-1,5.999823303E0,-6.221811676E0,2.586471405E0
1.006834625E0,5.131479034E0,-6.315816193E0,2.025438080E0
1.016849625E0,4.591851196E0,-5.985453186E0,1.029708710E0
1.026863625E0,4.023483124E0,-5.535937958E0,2.992277527E-1
1.036878625E0,3.616479492E0,-5.067112885E0,4.608915710E-1
1.046892625E0,3.257675629E0,-4.506977692E0,1.966909790E0
1.056906625E0,2.217339020E0,-4.371958466E0,3.711681519E0
1.066921625E0,2.022294617E-1,-5.027595062E0,4.384532318E0
1.076935625E0,-2.228116608E0,-5.597160645E0,4.568499756E0
1.086950625E0,-4.498894501E0,-6.108197937E0,4.007765808E0
1.096964625E0,-6.972350922E0,-5.864205322E0,3.179388428E0
1.106979625E0,-8.771609344E0,-4.490062866E0,2.530038757E0
1.116993625E0,-1.004186783E1,-3.687581635E0,9.821076965E-1
1.127007625E0,-1.191911407E1,-3.588637390E0,-2.161954193E0
1.137022625E0,-1.398421967E1,-4.014651489E0,-5.038672028E0
1.147036625E0,-1.578377747E1,-4.640500031E0,-5.728287964E0
1.157051625E0,-1.731374588E1,-4.634662170E0,-4.134552155E0
1.167065625E0,-1.821547073E1,-4.233197021E0,-1.996997223E0
1.177079625E0,-1.818777832E1,-3.857328644E0,-8.662486267E-1
1.187094625E0,-1.712079712E1,-2.869083710E0,-2.550695801E-1
1.197108625E0,-1.593286743E1,-2.071542206E0,5.260061646E-1
1.207123625E0,-1.597552872E1,-3.098107452E0,-8.454418945E-1
1.217137625E0,-1.621637787E1,-3.365601196E0,-2.350861359E0
1.227152625E0,-1.561253357E1,-3.357817383E0,-2.307301941E0
1.237166625E0,-1.428329773E1,-3.187770996E0,-1.151555328E0
1.247180625E0,-1.169682632E1,-2.439477081E0,6.706054688E-2
1.257195625E0,-9.588610382E0,-1.992207184E0,1.916015625E-1
1.267209625E0,-7.933651886E0,-2.167043610E0,-1.038091278E0
1.277224625E0,-6.363566895E0,-2.098635864E0,-2.712958374E0
1.287238625E0,-5.071004791E0,-1.864822083E0,-3.763922882E0
1.297253625E0,-3.696113892E0,-1.577569427E0,-4.137246552E0
1.307267625E0,-2.145488434E0,-7.544311523E-1,-3.714974670E0
1.317281625E0,-8.505313110E-1,3.665876770E-1,-2.666854248E0
1.327296625E0,-2.658471680E-1,8.018824768E-1,-1.087488556E0
1.337310625E0,5.571414185E-1,1.118324432E0,4.915777588E-1
1.347325625E0,1.588197327E0,1.495689697E0,1.271605682E0
1.357339625E0,2.727029114E0,1.064885559E0,1.623972931E0
1.367354625E0,2.693349152E0,-2.019300842E-1,1.665137329E0
1.377368625E0,3.412902832E-1,-1.712588654E0,5.878276062E-1
1.387382625E0,-1.109043732E0,-2.902613983E0,4.240681458E-1
1.397397625E0,4.640350342E-1,-2.709665222E0,1.101858673E0
1.407411625E0,4.214934998E0,-1.539698181E0,6.195616150E-1
1.417426625E0,8.386011200E0,-3.173400879E-2,7.276368713E-1
1.427440625E0,1.163979492E1,1.886377258E0,1.247505798E0
1.437455625E0,1.269285507E1,2.227817230E0,1.001567230E0
1.447469625E0,1.258642639E1,1.171164551E0,1.005908203E0
1.457484625E0,1.368888382E1,4.309538269E-1,2.156565399E0
1.467498625E0,1.609423187E1,4.457730103E-1,3.034340057E0
1.477512625E0,1.900283340E1,1.076411591E0,3.438499603E0
1.487527625E0,2.345113312E1,3.124752045E0,3.244203644E0
1.497541625E0,2.777010178E1,6.079008636E0,1.914369049E0
1.507556625E0,2.979464172E1,8.451874237E0,-4.114942932E-1
1.517570625E0,2.978670822E1,9.246421967E0,-1.500180359E0
1.527585625E0,2.887974426E1,9.073980560E0,-6.586303711E-1
1.537599625E0,2.844025818E1,8.456514587E0,1.187480621E0
1.547613625E0,2.833891891E1,7.866741028E0,3.224744110E0
1.557628625E0,2.803026077E1,7.566166077E0,4.206552429E0
1.567642625E0,2.749347702E1,7.327113190E0,3.695964203E0
1.577657625E0,2.677362396E1,7.262597351E0,1.688189392E0
1.587671625E0,2.638952271E1,7.112309875E0,-8.520281982E-1
1.597686625E0,2.608385834E1,6.871161346E0,-2.274220734E0
1.607700625E0,2.510474442E1,6.503675537E0,-3.125051422E0
1.617715625E0,2.422756851E1,5.768703918E0,-4.043391724E0
1.627729625E0,2.319636292E1,5.300477600E0,-4.805457001E0
1.637743625E0,2.165247345E1,4.924908600E0,-5.395230560E0
1.647758625E0,1.981923569E1,4.259392548E0,-6.205345917E0
1.657772625E0,1.796159866E1,3.627257080E0,-7.620353394E0
1.667787625E0,1.609213623E1,2.835403748E0,-9.115444336E0
