"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773477798382651E9,"2026-03-14 09:43:18.383 UTC+01:00"
"PAUSE",1.651731487500001E1,1.773477814899959E9,"2026-03-14 09:43:34.900 UTC+01:00"
