"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
-7.351666663E-4,-2.426593937E-2,2.153313253E-4,4.908947740E-4
9.277833333E-3,-5.707041547E-2,-2.520027943E-2,1.169698965E-2
1.929183333E-2,-7.298494130E-2,-2.233285271E-2,1.291618496E-2
2.930483333E-2,-6.969523430E-2,-2.062021382E-2,7.081908174E-3
3.931783333E-2,-4.582957551E-2,-3.534969408E-3,-6.494887173E-3
4.933183333E-2,-3.010354191E-2,1.781593822E-2,-1.845141500E-2
5.934483333E-2,-4.519807175E-2,4.702841863E-2,-1.674166694E-2
6.935783333E-2,-7.362833619E-2,6.895057112E-2,-2.273952588E-3
7.937183333E-2,-8.199918270E-2,8.142960817E-2,1.361020561E-2
8.938483333E-2,-7.405786961E-2,5.309281498E-2,2.503228188E-2
9.939783333E-2,-6.062116101E-2,1.122019999E-2,4.672559351E-2
1.094118333E-1,-6.998167187E-2,-3.770633787E-2,6.781950593E-2
1.194248333E-1,-1.037265882E-1,-5.672902614E-2,8.083143830E-2
1.294378333E-1,-1.524255872E-1,-3.532154858E-2,8.918525279E-2
1.394518333E-1,-1.891463101E-1,4.176258296E-2,9.624317288E-2
1.494648333E-1,-2.022125870E-1,1.258375198E-1,1.148227155E-1
1.594778333E-1,-1.939961910E-1,1.892455220E-1,1.390657276E-1
1.694908333E-1,-1.830394417E-1,2.264555097E-1,1.656961888E-1
1.795048333E-1,-1.645246148E-1,2.256216705E-1,1.840794533E-1
1.895178333E-1,-1.308704168E-1,2.128803730E-1,1.819664538E-1
1.995308333E-1,-9.632601589E-2,1.861457080E-1,1.578430086E-1
2.095448333E-1,-6.045992672E-2,1.677580625E-1,1.443415731E-1
2.195578333E-1,-8.786612190E-3,1.366893649E-1,1.430845559E-1
2.295708333E-1,5.726843327E-2,1.040112749E-1,1.543218195E-1
2.395848333E-1,1.071017683E-1,7.449226081E-2,1.795925498E-1
2.495978333E-1,1.500683576E-1,7.890904695E-2,1.958049983E-1
2.596108333E-1,1.979522556E-1,9.169407934E-2,1.954635829E-1
2.696248333E-1,2.265091240E-1,8.936449885E-2,1.971281022E-1
2.796378333E-1,2.472996265E-1,1.244894639E-1,2.376888394E-1
2.896508333E-1,2.386078984E-1,1.891658902E-1,3.013341427E-1
2.996648333E-1,1.996647567E-1,2.270927578E-1,3.262498677E-1
3.096778333E-1,1.349553466E-1,2.152510285E-1,3.069856465E-1
3.196908333E-1,7.384273410E-2,1.198656410E-1,2.581041455E-1
3.297038333E-1,1.004180089E-1,3.201427311E-2,2.538861930E-1
3.397178333E-1,1.980761290E-1,-1.213984489E-1,3.336044550E-1
3.497308333E-1,3.583516777E-1,-2.593217790E-1,4.067083597E-1
3.597438333E-1,5.449655056E-1,-4.019646645E-1,4.846609533E-1
3.697578333E-1,7.503708601E-1,-4.853269458E-1,5.266850591E-1
3.797708333E-1,9.236704707E-1,-4.738881290E-1,5.092008710E-1
3.897838333E-1,1.073570967E0,-4.747288227E-1,4.753954709E-1
3.997978333E-1,1.133246541E0,-5.072776675E-1,4.962197840E-1
