"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773477527202013E9,"2026-03-14 09:38:47.202 UTC+01:00"
"PAUSE",2.156107666666685E1,1.773477548763085E9,"2026-03-14 09:39:08.763 UTC+01:00"
