"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773476914281544E9,"2026-03-14 09:28:34.282 UTC+01:00"
"PAUSE",1.745183716666634E1,1.773476931733377E9,"2026-03-14 09:28:51.733 UTC+01:00"
