"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773478509627376E9,"2026-03-14 09:55:09.627 UTC+01:00"
"PAUSE",1.503464637500019E1,1.773478524662028E9,"2026-03-14 09:55:24.662 UTC+01:00"
