"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.088500000E-3,1.144370270E0,7.547604675E0,5.861061859E0
1.310150000E-2,1.243613892E0,7.627239075E0,6.016438751E0
2.311450000E-2,1.105151825E0,7.524851990E0,6.320007477E0
3.312850000E-2,8.593629456E-1,7.369475098E0,6.680158539E0
4.314150000E-2,8.354127502E-1,7.257957001E0,6.877897339E0
5.315450000E-2,9.020242310E-1,7.258555756E0,6.726262665E0
6.316750000E-2,8.946894836E-1,7.277117157E0,6.308481445E0
7.318150000E-2,8.616082764E-1,7.306605835E0,5.926176453E0
8.319450000E-2,8.210426331E-1,7.404053192E0,5.637576599E0
9.320750000E-2,8.195457458E-1,7.553891602E0,5.497318268E0
1.032205000E-1,8.189469910E-1,7.556885376E0,5.496869202E0
1.132345000E-1,7.406597900E-1,7.422464905E0,5.727838898E0
1.232475000E-1,5.932164001E-1,7.222480774E0,6.150559845E0
1.332605000E-1,6.704557800E-1,7.095245361E0,6.517746277E0
1.432745000E-1,8.608598328E-1,7.053033142E0,6.730903015E0
1.532875000E-1,9.136999512E-1,6.974596252E0,6.836732941E0
1.633005000E-1,8.481362915E-1,6.933282166E0,6.821764069E0
1.733135000E-1,8.596623230E-1,6.923552399E0,6.769073639E0
1.833275000E-1,1.050216064E0,7.048991547E0,6.508315887E0
1.933408750E-1,1.047970734E0,7.188651123E0,6.131100311E0
2.033538750E-1,9.003776550E-1,7.190447388E0,6.050567780E0
2.133668750E-1,9.240284729E-1,7.256160736E0,6.245163116E0
2.233808750E-1,8.409512329E-1,7.184908905E0,6.453230438E0
2.333938750E-1,5.902226257E-1,7.014712830E0,6.612798615E0
2.434068750E-1,4.861889648E-1,6.898404694E0,6.689289551E0
2.534198750E-1,4.629872131E-1,6.812483368E0,6.725514221E0
2.634338750E-1,4.939727783E-1,6.767876129E0,6.618786163E0
2.734468750E-1,4.740641785E-1,6.719376984E0,6.379284210E0
2.834598750E-1,5.057981873E-1,6.679559784E0,6.013295288E0
2.934728750E-1,6.891668701E-1,6.696773987E0,5.697601776E0
3.034868750E-1,1.012494507E0,6.669530640E0,5.653443604E0
3.134998750E-1,1.003812561E0,6.479425964E0,5.685177612E0
3.235128750E-1,9.461824036E-1,6.254743195E0,5.525459747E0
3.335268750E-1,9.424401855E-1,6.151757355E0,5.328020325E0
3.435398750E-1,7.635621643E-1,5.908363495E0,5.051994324E0
3.535528750E-1,5.224136353E-1,5.822741547E0,4.785099335E0
3.635658750E-1,4.900808716E-1,5.866151276E0,4.391268311E0
3.735798750E-1,6.965016174E-1,6.037844238E0,4.010460205E0
