"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773477735019808E9,"2026-03-14 09:42:15.020 UTC+01:00"
"PAUSE",1.313839308333354E1,1.773477748158194E9,"2026-03-14 09:42:28.158 UTC+01:00"
