"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773478316289362E9,"2026-03-14 09:51:56.289 UTC+01:00"
"PAUSE",2.394839895833320E1,1.773478340237751E9,"2026-03-14 09:52:20.238 UTC+01:00"
