"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773477011363654E9,"2026-03-14 09:30:11.364 UTC+01:00"
"PAUSE",1.880795845833382E1,1.773477030171606E9,"2026-03-14 09:30:30.172 UTC+01:00"
