"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.809000000E-3,-6.026928127E-2,3.576203436E-2,1.110179275E-1
1.282300000E-2,-1.182612106E-1,1.312637925E-1,1.209499240E-1
2.283550000E-2,-1.384433657E-1,1.610781848E-1,9.607605636E-2
3.284950000E-2,-1.243158355E-1,1.324207038E-1,5.557417497E-2
4.286250000E-2,-9.000629932E-2,1.017593518E-1,1.928277686E-2
5.287650000E-2,-6.433609128E-2,5.858337879E-2,6.562987342E-3
6.288950000E-2,-3.528370336E-2,3.892058134E-2,1.409117877E-2
7.290350000E-2,-5.671747029E-3,2.058871090E-2,2.720964327E-2
8.291650000E-2,1.994456537E-2,8.279926144E-3,4.251734912E-2
9.293050000E-2,2.099278569E-2,1.060166955E-2,4.955075681E-2
1.029445000E-1,-1.077192929E-2,2.880923823E-2,4.835435376E-2
1.129575000E-1,-5.959779397E-2,5.508664995E-2,4.948939383E-2
1.229715000E-1,-1.024384350E-1,1.060194895E-1,6.067097187E-2
1.329845000E-1,-1.333412230E-1,1.513856500E-1,7.929046452E-2
1.429985000E-1,-1.459966004E-1,1.681370437E-1,9.384060651E-2
1.530115000E-1,-1.209588870E-1,1.739674956E-1,1.016481966E-1
1.630255000E-1,-7.813928276E-2,1.744043827E-1,9.936557710E-2
1.730385000E-1,-4.062839597E-2,1.653187275E-1,1.012361795E-1
1.830525000E-1,-9.827306494E-3,1.503065079E-1,1.183675379E-1
1.930665000E-1,5.667497404E-3,1.416925192E-1,1.438025832E-1
2.030795000E-1,1.678835787E-2,1.504394263E-1,1.666693091E-1
2.130935000E-1,2.352322638E-2,1.494748294E-1,1.891442537E-1
2.231065000E-1,1.206167880E-2,1.426333785E-1,1.955301464E-1
2.331205000E-1,-2.674297616E-2,1.451884210E-1,1.966726482E-1
2.431335000E-1,-7.477281988E-2,2.060694695E-1,2.005267888E-1
2.531475000E-1,-1.126871780E-1,2.547959983E-1,2.107170969E-1
2.631615000E-1,-1.324860454E-1,2.805145979E-1,2.343764603E-1
2.731745000E-1,-1.402470320E-1,2.835631073E-1,2.697147429E-1
2.831885000E-1,-1.456833333E-1,2.735837400E-1,3.024657965E-1
2.932015000E-1,-1.443746537E-1,2.730641365E-1,3.278009892E-1
3.032155000E-1,-1.331903934E-1,2.800549865E-1,3.575474918E-1
3.132285000E-1,-1.258142292E-1,2.555719912E-1,3.932293057E-1
3.232425000E-1,-1.335953474E-1,2.280823737E-1,4.425604641E-1
3.332555000E-1,-1.627780050E-1,2.397725880E-1,5.014115572E-1
3.432695000E-1,-2.211453468E-1,3.228037357E-1,5.405300260E-1
3.532835000E-1,-2.680151165E-1,3.902389705E-1,5.946233869E-1
3.632965000E-1,-2.679986954E-1,3.960143924E-1,6.553316116E-1
3.733105000E-1,-2.239271104E-1,3.273991048E-1,7.347350717E-1
3.833235000E-1,-1.587622613E-1,2.058964968E-1,7.912148237E-1
3.933375000E-1,-7.103480399E-2,1.031126007E-1,8.315920234E-1
4.033505000E-1,1.476761326E-2,-5.557856336E-2,8.364045620E-1
4.133645000E-1,1.063332185E-1,-2.815174460E-1,8.213757873E-1
4.233785000E-1,2.052730769E-1,-5.762985945E-1,8.117423654E-1
4.333915000E-1,2.618894875E-1,-8.158947229E-1,8.291634321E-1
4.434055000E-1,1.618244797E-1,-9.685253501E-1,9.506899118E-1
4.534185000E-1,-2.375729829E-1,-1.025293589E0,1.077716351E0
4.634325000E-1,-6.390341520E-1,-1.064211726E0,1.269790053E0
4.734455000E-1,-8.131271005E-1,-8.839409947E-1,1.505161047E0
4.834595000E-1,-8.318232298E-1,-5.960749388E-1,1.670107126E0
4.934725000E-1,-7.543390989E-1,-5.307180285E-1,1.831167459E0
5.034865000E-1,-5.589912534E-1,-6.683394313E-1,2.020506382E0
