"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773478725941050E9,"2026-03-14 09:58:45.941 UTC+01:00"
"PAUSE",1.971190945833405E1,1.773478745652951E9,"2026-03-14 09:59:05.653 UTC+01:00"
