"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773478696107787E9,"2026-03-14 09:58:16.108 UTC+01:00"
"PAUSE",2.028434741666752E1,1.773478716392123E9,"2026-03-14 09:58:36.392 UTC+01:00"
