"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773478252565047E9,"2026-03-14 09:50:52.565 UTC+01:00"
"PAUSE",1.792170666666698E1,1.773478270486728E9,"2026-03-14 09:51:10.487 UTC+01:00"
