"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.984125000E-3,-1.955947131E-1,7.289099097E-1,3.903914690E-1
1.299812500E-2,-4.095689952E-1,7.562997937E-1,3.725860715E-1
2.301112500E-2,-4.822722077E-1,8.597726226E-1,3.149001598E-1
3.302412500E-2,-4.642097354E-1,8.991887569E-1,2.090535015E-1
4.303812500E-2,-3.978056908E-1,9.528504014E-1,4.699962214E-2
5.305112500E-2,-3.799936771E-1,9.291260839E-1,-9.102158993E-2
6.306412500E-2,-4.497229457E-1,9.334102869E-1,-2.000700533E-1
7.307712500E-2,-5.166900158E-1,1.125187039E0,-2.542831898E-1
8.309112500E-2,-5.497648716E-1,1.318175912E0,-2.434486598E-1
9.310412500E-2,-5.566918850E-1,1.458752036E0,-2.060389370E-1
1.031171250E-1,-5.069658756E-1,1.453731179E0,-1.246404797E-1
1.131311250E-1,-4.241640866E-1,1.337745547E0,-1.055848319E-2
1.231441250E-1,-4.939290583E-1,1.134852290E0,4.617856443E-2
1.331571250E-1,-8.116992116E-1,1.067970157E0,8.585549891E-3
1.431711250E-1,-1.227051020E0,1.120889306E0,6.901214272E-2
1.531841250E-1,-1.539052486E0,1.288839459E0,2.001114935E-1
1.631971250E-1,-1.715933442E0,1.376568556E0,3.342756629E-1
1.732101250E-1,-1.821141601E0,1.344985723E0,4.635863602E-1
1.832241250E-1,-1.854260445E0,1.248301268E0,5.834150314E-1
1.932371250E-1,-1.738105893E0,1.079246640E0,6.830323935E-1
2.032501250E-1,-1.479430437E0,9.772406220E-1,7.255729437E-1
2.132641250E-1,-1.188862443E0,9.842612147E-1,6.363957524E-1
2.232771250E-1,-9.485157728E-1,9.792003632E-1,3.713187873E-1
2.332901250E-1,-7.171463966E-1,9.517883658E-1,4.166752566E-3
2.433031250E-1,-5.489562750E-1,9.201468229E-1,-3.319465518E-1
2.533171250E-1,-3.581604660E-1,9.532364011E-1,-5.166819096E-1
2.633301250E-1,-9.874645621E-2,9.963052869E-1,-6.342104077E-1
2.733431250E-1,1.760030538E-1,8.423900008E-1,-7.006270289E-1
2.833571250E-1,4.672279954E-1,7.855155468E-1,-3.868874609E-1
2.933701250E-1,5.637170076E-1,4.370402694E-1,5.718078837E-2
3.033831250E-1,3.498641253E-1,8.631276488E-1,5.212948918E-1
3.133971250E-1,2.292028517E-1,9.461588264E-1,1.098121285E0
3.234101250E-1,9.532600641E-2,6.402638555E-1,1.818039417E0
3.334231250E-1,-9.809503704E-2,-1.436966956E-1,2.488760948E0
3.434361250E-1,-5.678209662E-1,-1.901993394E0,2.295956373E0
3.534501250E-1,-1.199562907E0,-3.547567844E0,1.474753976E0
3.634631250E-1,-1.200428247E0,-3.350919724E0,4.865736365E-1
3.734761250E-1,-6.688145399E-1,-1.479621768E0,-5.554667711E-1
3.834901250E-1,-1.786109954E-1,-6.417777389E-2,-7.709753513E-1
3.935031250E-1,-7.706400752E-2,-1.882084906E-1,-4.992252588E-2
4.035161250E-1,-4.931972921E-2,-4.422793984E-1,2.406725436E-1
4.135291250E-1,6.650634110E-2,-1.167265475E-1,7.697357237E-2
4.235431250E-1,-8.168658614E-2,-1.468740702E-1,-1.041882262E-1
4.335561250E-1,-1.906403899E-1,-5.364953279E-1,1.469608098E-1
4.435691250E-1,-1.612452269E-1,-1.230991006E0,8.486901522E-1
4.535831250E-1,1.471557170E-1,-2.125239611E0,1.496312380E0
4.635961250E-1,6.897327304E-1,-2.973418474E0,1.349939704E0
4.736091250E-1,1.012039661E0,-3.875511646E0,8.283700347E-1
4.836221250E-1,8.994857073E-1,-4.643386841E0,7.339604497E-1
4.936361250E-1,4.394478500E-1,-4.019692898E0,8.781316876E-1
5.036491250E-1,-8.764482141E-1,-1.776091456E0,1.259553909E0
5.136621250E-1,-1.908166051E0,-5.120118260E-1,1.958414912E0
5.236761250E-1,-2.368145704E0,-1.382033527E-1,2.657703876E0
5.336891250E-1,-2.420506001E0,-7.125279903E-1,3.153308392E0
5.437021250E-1,-2.130100489E0,-2.146094084E0,3.551618576E0
5.537151250E-1,-1.549153447E0,-3.973235607E0,3.939623117E0
5.637291250E-1,-7.745399475E-1,-5.609729290E0,4.228315830E0
5.737421250E-1,-6.964873523E-2,-6.491885185E0,5.112336636E0
5.837551250E-1,5.868542790E-1,-6.920814037E0,5.877840042E0
5.937691250E-1,5.738500357E-1,-7.499358177E0,6.948657990E0
6.037821250E-1,2.747743428E-1,-7.661865234E0,7.442413330E0
6.137951250E-1,-1.139753759E-1,-7.707069397E0,7.351728439E0
6.238081250E-1,-4.182260633E-1,-7.557404995E0,7.052120686E0
6.338221250E-1,-6.139659882E-1,-7.842213631E0,7.605086327E0
6.438351250E-1,-6.039333344E-1,-7.476931095E0,8.489564896E0
6.538481250E-1,-6.611344814E-1,-8.058535576E0,9.240302086E0
6.638621250E-1,-1.208935499E0,-8.897825241E0,9.597476959E0
6.738751250E-1,-1.728083968E0,-9.127873421E0,9.286817551E0
6.838881250E-1,-1.768794537E0,-8.198220253E0,8.101736069E0
6.939011250E-1,-1.865922570E0,-6.685687065E0,6.931842804E0
7.039151250E-1,-2.347129345E0,-5.370267868E0,6.214575291E0
7.139281250E-1,-2.754181623E0,-4.567221165E0,5.767658710E0
7.239411250E-1,-2.818038940E0,-4.245791435E0,5.322945118E0
7.339551250E-1,-2.712388992E0,-4.443971157E0,4.951104641E0
7.439681250E-1,-2.683650255E0,-5.013041973E0,4.620193481E0
7.539811250E-1,-2.831132650E0,-5.841591835E0,4.239714622E0
7.639941250E-1,-3.201507092E0,-7.035626411E0,3.914413929E0
7.740081250E-1,-3.878186226E0,-7.594655991E0,3.659362555E0
7.840211250E-1,-4.676457405E0,-6.644478321E0,3.300053358E0
7.940341250E-1,-5.715334415E0,-4.799360275E0,2.818702936E0
8.040481250E-1,-6.759146214E0,-2.907571316E0,2.207499266E0
8.140611250E-1,-7.578441143E0,-1.705432892E0,1.614859700E0
8.240741250E-1,-8.173960686E0,-1.006901264E0,1.033979058E0
8.340871250E-1,-8.638967514E0,-7.221027613E-1,4.757321179E-1
8.441011250E-1,-9.074613571E0,-4.249977767E-1,5.382084101E-2
8.541141250E-1,-9.467091560E0,4.954515696E-1,-3.066293895E-1
8.641271250E-1,-9.943233490E0,1.358104944E0,-6.785185933E-1
8.741401250E-1,-1.033960056E1,1.864527464E0,-1.183963180E0
8.841541250E-1,-1.054436398E1,2.071411371E0,-1.887714863E0
8.941671250E-1,-1.054246902E1,2.194008827E0,-2.624692917E0
9.041801250E-1,-1.025136852E1,2.177618265E0,-3.252324820E0
9.141941250E-1,-9.493393898E0,1.694627523E0,-3.502520084E0
9.242071250E-1,-8.690604210E0,1.432421207E0,-3.370479345E0
9.342191667E-1,-7.823666573E0,1.130838990E0,-2.927887678E0
9.442321667E-1,-7.142588615E0,1.293625832E0,-2.476634026E0
9.542461667E-1,-6.682310581E0,1.528280139E0,-1.997956872E0
9.642591667E-1,-6.361143112E0,1.864773989E0,-1.493071914E0
9.742721667E-1,-5.961617470E0,2.174784422E0,-8.971676826E-1
9.842861667E-1,-5.471956730E0,2.279664755E0,-2.242566794E-1
9.942991667E-1,-4.741739750E0,1.937360883E0,5.228981972E-1
1.004312167E0,-3.642957687E0,1.247099042E0,1.316253304E0
1.014325167E0,-2.614606142E0,3.497068882E-1,1.880867004E0
1.024339167E0,-1.123967767E0,-5.068227053E-1,2.710485220E0
1.034352167E0,5.949167013E-1,-1.112705827E0,3.507008076E0
1.044365167E0,2.160494328E0,-1.351749659E0,4.286385059E0
1.054379167E0,3.666738987E0,-1.023782849E0,5.034995556E0
1.064392167E0,4.597462654E0,-2.551871240E-1,5.467710972E0
1.074405167E0,4.871036053E0,9.176307321E-1,5.629816532E0
1.084418167E0,4.483524799E0,1.935644865E0,5.600200176E0
1.094432167E0,3.668051481E0,2.163580894E0,5.320574284E0
1.104445167E0,3.072891712E0,1.420890808E0,5.095887661E0
1.114458167E0,3.719313622E0,-3.447602093E-1,5.159575462E0
1.124471167E0,5.370669842E0,-2.243535519E0,5.284512520E0
1.134485167E0,7.062423229E0,-3.797262669E0,5.331129551E0
1.144498167E0,8.358290672E0,-4.718727112E0,5.421072960E0
1.154511167E0,8.913059235E0,-4.702911854E0,5.541482925E0
1.164525167E0,8.738883018E0,-4.120218754E0,5.565224648E0
1.174538167E0,7.691325188E0,-3.333319426E0,5.414572239E0
1.184551167E0,6.107432365E0,-2.612571478E0,5.077673912E0
1.194564167E0,4.813367367E0,-2.227535963E0,4.780349731E0
1.204578167E0,4.190582275E0,-2.166920662E0,4.406535149E0
1.214591167E0,3.843499899E0,-2.535821199E0,3.902954578E0
1.224604167E0,3.430896759E0,-2.892440796E0,3.521871567E0
1.234618167E0,3.142760515E0,-3.078781366E0,3.244812250E0
1.244631167E0,2.972474813E0,-3.345589638E0,3.131713152E0
1.254644167E0,2.945426941E0,-3.627292871E0,3.047551155E0
1.264657167E0,2.944300652E0,-3.631419897E0,3.109761715E0
1.274671167E0,2.696725845E0,-3.200086594E0,3.333892822E0
1.284684167E0,1.963330626E0,-2.110220194E0,3.320961237E0
1.294697167E0,8.829136491E-1,-1.166513324E0,3.153945923E0
1.304710167E0,-5.633609891E-1,-1.654508114E-1,2.696731091E0
1.314724167E0,-2.252691507E0,4.962416589E-1,2.287207365E0
1.324737167E0,-3.554338455E0,9.698590040E-1,1.992300153E0
1.334750167E0,-4.355768681E0,1.154633999E0,1.708675027E0
1.344764167E0,-4.847081184E0,8.514690399E-1,1.361501336E0
