"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773478821370918E9,"2026-03-14 10:00:21.371 UTC+01:00"
"PAUSE",1.689766708333445E1,1.773478838268577E9,"2026-03-14 10:00:38.269 UTC+01:00"
