"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
-2.287499956E-5,2.839674428E-2,-2.295735478E-2,1.223124564E-2
9.990125001E-3,-9.558681399E-2,1.079066470E-1,5.123929679E-2
2.000312500E-2,-1.618617177E-1,1.936260760E-1,6.924253702E-2
3.001612500E-2,-1.719772816E-1,1.964708418E-1,5.601551756E-2
4.003012500E-2,-1.414747685E-1,1.596632898E-1,2.093822137E-2
5.004312500E-2,-1.116388664E-1,1.209491342E-1,-1.596622914E-2
6.005612500E-2,-1.072662175E-1,9.836153686E-2,-3.093585558E-2
7.006912500E-2,-1.045142338E-1,8.700540662E-2,-2.343950421E-2
8.008212500E-2,-8.520525694E-2,8.149399608E-2,-4.497505724E-3
9.009612500E-2,-6.891035289E-2,8.041943610E-2,2.192600630E-2
1.001091250E-1,-6.322556734E-2,1.111070365E-1,5.020158738E-2
1.101221250E-1,-8.078425378E-2,1.567260921E-1,7.843347639E-2
1.201351250E-1,-1.220741645E-1,1.804244965E-1,1.093940511E-1
1.301481250E-1,-1.645192504E-1,1.864627600E-1,1.461420655E-1
1.401621250E-1,-2.032320201E-1,1.618317217E-1,1.851520538E-1
1.501751250E-1,-2.251324803E-1,1.383286715E-1,2.234425098E-1
1.601881250E-1,-2.317525595E-1,1.105630919E-1,2.534017265E-1
1.702011250E-1,-2.212848067E-1,9.091246128E-2,2.802795768E-1
1.802141250E-1,-2.265096754E-1,8.043452352E-2,3.082222641E-1
1.902281250E-1,-2.464823425E-1,7.583432645E-2,3.394083977E-1
2.002411250E-1,-2.654842734E-1,1.043807492E-1,3.730007112E-1
2.102541250E-1,-2.717779577E-1,1.258324832E-1,4.059481025E-1
2.202671250E-1,-2.664654553E-1,1.238564178E-1,4.293719232E-1
2.302801250E-1,-2.409075946E-1,1.082004309E-1,4.440405369E-1
2.402941250E-1,-2.028861791E-1,9.351949394E-2,4.504433274E-1
2.503071250E-1,-1.999839097E-1,9.565865993E-2,4.502248764E-1
2.603201250E-1,-2.325679511E-1,9.330283105E-2,4.551099241E-1
2.703331250E-1,-2.500067651E-1,1.111151576E-1,4.465522170E-1
2.803461250E-1,-2.349785417E-1,1.165176407E-1,4.384364784E-1
2.903601250E-1,-1.967565715E-1,8.725702763E-2,4.364383817E-1
3.003731250E-1,-1.572488546E-1,3.526173905E-2,4.269101322E-1
3.103861250E-1,-1.339724660E-1,-2.062319964E-2,4.101707935E-1
3.203991250E-1,-1.193578541E-1,-7.569257915E-2,3.901368976E-1
3.304121250E-1,-1.337709725E-1,-9.177384526E-2,3.864840269E-1
3.404261250E-1,-2.316538692E-1,-4.259831086E-2,3.827449381E-1
3.504391250E-1,-3.764046431E-1,-4.740361497E-2,3.815780282E-1
3.604521250E-1,-5.676478148E-1,-2.190190405E-1,3.171183467E-1
3.704651250E-1,-6.398240328E-1,-2.397795618E-1,3.913694620E-1
3.804781250E-1,-6.675637364E-1,-4.098072052E-1,5.381615758E-1
3.904921250E-1,-6.987399459E-1,-5.965960622E-1,7.182189226E-1
4.005051250E-1,-7.737476230E-1,-9.520465732E-1,9.343954325E-1
4.105181250E-1,-7.907249331E-1,-9.940448999E-1,9.211399555E-1
4.205311250E-1,-7.355956435E-1,-1.019738317E0,8.373204470E-1
4.305441250E-1,-6.441993713E-1,-1.086186409E0,8.780561090E-1
4.405581250E-1,-6.332250237E-1,-1.317854524E0,9.137589335E-1
4.505711250E-1,-6.631692648E-1,-1.735860944E0,9.425452352E-1
4.605841250E-1,-6.534937620E-1,-2.189507246E0,1.046416163E0
4.705971250E-1,-5.770182610E-1,-2.413897514E0,1.098583341E0
4.806101250E-1,-3.921799660E-1,-2.387841463E0,1.034598231E0
4.906241250E-1,-1.334906667E-1,-2.373367786E0,1.009891629E0
5.006371250E-1,2.233705223E-1,-2.477962017E0,1.068477154E0
5.106501250E-1,5.978710055E-1,-2.869802237E0,1.125683904E0
5.206631250E-1,8.651559353E-1,-3.459524155E0,1.341295242E0
5.306761250E-1,9.793756604E-1,-3.832636595E0,1.561621070E0
5.406901250E-1,9.370396733E-1,-3.892367363E0,1.718144059E0
5.507031250E-1,1.074126720E0,-4.238434792E0,1.981554270E0
5.607161250E-1,1.254437566E0,-4.262502193E0,2.177487373E0
5.707291250E-1,1.378559470E0,-3.838053465E0,2.205279350E0
5.807421250E-1,1.498199582E0,-3.430577278E0,2.251580477E0
5.907561250E-1,1.673384428E0,-3.276268959E0,2.328812361E0
6.007691250E-1,1.728522778E0,-3.149198532E0,2.296948195E0
6.107821250E-1,1.513595581E0,-3.115424395E0,2.158771992E0
6.207951250E-1,1.239851594E0,-3.080781221E0,1.785883546E0
6.308081250E-1,1.086630821E0,-3.167994738E0,1.247220874E0
6.408221250E-1,1.085754156E0,-3.313028336E0,8.512269258E-1
6.508351250E-1,1.275633216E0,-3.369773865E0,6.365822554E-1
6.608481250E-1,1.605362892E0,-3.523721933E0,6.864648461E-1
6.708611250E-1,1.946227312E0,-3.650010109E0,9.954990745E-1
6.808751250E-1,2.119570017E0,-3.452108145E0,1.419577360E0
6.908881250E-1,2.095263481E0,-3.179890394E0,1.694447994E0
7.009011250E-1,1.979337454E0,-3.028016090E0,1.847447157E0
7.109141250E-1,1.819498777E0,-2.815408468E0,1.903245568E0
7.209271250E-1,1.622666478E0,-2.658899784E0,1.833510995E0
7.309411250E-1,1.366551638E0,-2.378408670E0,1.739434242E0
7.409541250E-1,1.078772902E0,-1.959807515E0,1.636287093E0
7.509671250E-1,1.013907552E0,-1.850833297E0,1.373796344E0
7.609801250E-1,1.028923988E0,-1.889463544E0,1.183389664E0
7.709931250E-1,1.071101189E0,-2.045391560E0,1.092493057E0
7.810071250E-1,1.085846305E0,-2.274116039E0,1.071707964E0
7.910201250E-1,1.143076181E0,-2.519935846E0,1.087369442E0
8.010331250E-1,1.224276304E0,-2.617704391E0,1.176394224E0
8.110461250E-1,1.296317935E0,-2.502145052E0,1.264750481E0
8.210591250E-1,1.334482908E0,-2.218047142E0,1.268565536E0
8.310731250E-1,1.322676420E0,-1.851844549E0,1.206791282E0
8.410860417E-1,1.297758222E0,-1.493901372E0,1.105046034E0
8.510990417E-1,1.326131701E0,-1.183516026E0,9.847654700E-1
8.611120417E-1,1.403817534E0,-1.052374601E0,9.103152156E-1
8.711250417E-1,1.518346667E0,-1.156580806E0,9.063633084E-1
8.811390417E-1,1.509920478E0,-1.201488614E0,8.538883328E-1
8.911520417E-1,1.264786601E0,-1.300368428E0,7.544261813E-1
9.011650417E-1,9.337753654E-1,-1.530364394E0,5.982176661E-1
9.111780417E-1,8.215888143E-1,-1.937859893E0,4.187764525E-1
9.211910417E-1,1.093278885E0,-2.522243977E0,2.295543253E-1
9.312050417E-1,1.566314220E0,-3.112991095E0,-4.444016144E-3
9.412180417E-1,1.965745807E0,-3.453133583E0,-2.349845469E-1
9.512310417E-1,2.150428295E0,-3.412720680E0,-3.772215247E-1
9.612440417E-1,2.146819592E0,-2.996958971E0,-4.322975576E-1
9.712570417E-1,1.924240232E0,-2.459166050E0,-5.587728024E-1
9.812710417E-1,1.570964575E0,-2.018660545E0,-6.349927783E-1
9.912840417E-1,1.360127687E0,-1.692030787E0,-6.262540221E-1
1.001297042E0,1.311713815E0,-1.510597348E0,-5.845713019E-1
1.011310042E0,1.306335688E0,-1.471719742E0,-5.476362705E-1
1.021324042E0,1.382895947E0,-1.494197369E0,-5.177654624E-1
1.031337042E0,1.504848480E0,-1.528943300E0,-5.517536998E-1
1.041350042E0,1.597210884E0,-1.787643790E0,-7.028180361E-1
1.051363042E0,1.608616352E0,-2.265878439E0,-9.778442979E-1
1.061376042E0,1.557940960E0,-2.742619514E0,-1.218452096E0
1.071390042E0,1.460412860E0,-3.056304932E0,-1.399979472E0
1.081403042E0,1.324784160E0,-3.208298922E0,-1.494471908E0
1.091416042E0,1.212952137E0,-3.123990774E0,-1.512044191E0
1.101429042E0,1.138898969E0,-2.765047789E0,-1.437818170E0
1.111442042E0,1.008374453E0,-2.306363106E0,-1.310712218E0
1.121456042E0,7.952472568E-1,-1.793919563E0,-1.198132753E0
1.131469042E0,5.217267871E-1,-1.382400513E0,-1.112255931E0
1.141482042E0,2.787309289E-1,-1.100544810E0,-1.027822018E0
1.151495042E0,7.685939968E-2,-9.534092546E-1,-9.609000683E-1
1.161508042E0,-1.108247489E-1,-9.682151079E-1,-9.349970818E-1
1.171522042E0,-2.489328086E-1,-1.109952807E0,-9.765996337E-1
1.181535042E0,-3.099341393E-1,-1.384782434E0,-1.083218217E0
1.191548042E0,-3.713621199E-1,-1.678563714E0,-1.232578516E0
1.201561042E0,-4.277667999E-1,-1.929572821E0,-1.389803052E0
1.211574042E0,-4.522716105E-1,-2.096604347E0,-1.514544964E0
1.221588042E0,-4.362868071E-1,-2.191781759E0,-1.580693960E0
1.231601042E0,-3.937177062E-1,-2.223635912E0,-1.504064560E0
1.241614042E0,-4.249637723E-1,-2.241984129E0,-1.292824507E0
1.251627042E0,-5.482742786E-1,-2.204399824E0,-1.017494440E0
1.261640042E0,-7.353623509E-1,-1.985962868E0,-7.602173686E-1
1.271654042E0,-9.897507429E-1,-1.570010900E0,-5.285326838E-1
1.281667042E0,-1.233860373E0,-1.099133134E0,-3.256988823E-1
1.291680042E0,-1.348214269E0,-7.336100340E-1,-2.069584280E-1
1.301693042E0,-1.280020595E0,-4.799735546E-1,-1.946282685E-1
1.311707042E0,-1.097517610E0,-3.761135042E-1,-2.556204796E-1
1.321720042E0,-8.828658462E-1,-3.708431125E-1,-2.875661552E-1
1.331733042E0,-7.524785995E-1,-4.542044699E-1,-2.568876743E-1
1.341746042E0,-7.211020589E-1,-5.702543855E-1,-2.111273706E-1
1.351759042E0,-7.217903137E-1,-6.456320882E-1,-1.892366260E-1
1.361773042E0,-7.259283066E-1,-6.968936920E-1,-1.697856933E-1
1.371786042E0,-7.597627640E-1,-7.790384293E-1,-1.573232263E-1
1.381799042E0,-8.328114152E-1,-9.131250978E-1,-1.685156822E-1
1.391812042E0,-9.338793755E-1,-1.052674890E0,-1.748030931E-1
1.401825042E0,-1.029417872E0,-1.123069167E0,-1.603866071E-1
1.411839042E0,-1.109098673E0,-1.105746746E0,-1.341938972E-1
1.421852042E0,-1.170175910E0,-9.975734353E-1,-1.067596227E-1
1.431865042E0,-1.209604979E0,-8.345931768E-1,-6.003546715E-2
1.441878042E0,-1.201592565E0,-6.431992054E-1,-2.172966953E-3
1.451891042E0,-1.170997620E0,-4.803974330E-1,7.024984807E-2
1.461905042E0,-1.100965023E0,-3.853529394E-1,1.557668895E-1
1.471918042E0,-1.009833336E0,-3.890010417E-1,2.459351420E-1
1.481931042E0,-8.923247457E-1,-4.443910718E-1,2.952249348E-1
1.491944042E0,-7.492238283E-1,-4.930843711E-1,2.965341210E-1
1.501958042E0,-6.287395358E-1,-5.330256224E-1,2.750946283E-1
1.511971042E0,-5.760561824E-1,-5.640147328E-1,2.478696555E-1
1.521984042E0,-5.898779631E-1,-6.225414276E-1,2.494028509E-1
1.531997042E0,-6.217773557E-1,-6.825265884E-1,2.838651538E-1
1.542010042E0,-7.043228745E-1,-7.703981400E-1,3.462909758E-1
1.552024042E0,-8.141013384E-1,-8.136865497E-1,3.788556159E-1
1.562037042E0,-9.242113233E-1,-7.471900582E-1,3.741631210E-1
1.572050042E0,-1.030827761E0,-6.192027330E-1,3.408307731E-1
1.582063042E0,-1.119207978E0,-5.091363788E-1,2.873110771E-1
1.592076042E0,-1.125229478E0,-4.499653280E-1,2.340061069E-1
1.602090042E0,-1.043208361E0,-4.335037768E-1,2.101130188E-1
1.612103042E0,-9.122397900E-1,-4.758163989E-1,2.153953761E-1
1.622116042E0,-7.342826128E-1,-4.972047508E-1,2.489101887E-1
1.632129042E0,-6.069050431E-1,-4.833655655E-1,2.463400960E-1
1.642142042E0,-5.670883656E-1,-3.667697012E-1,2.251722366E-1
1.652156042E0,-5.895254016E-1,-1.655851007E-1,2.045190334E-1
1.662169042E0,-6.296773553E-1,9.677793831E-3,2.318997830E-1
1.672182042E0,-6.708487868E-1,1.385062337E-1,3.090124130E-1
1.682195042E0,-7.072310448E-1,1.866332889E-1,4.034608603E-1
1.692209042E0,-7.729603648E-1,1.215346754E-1,4.647490978E-1
1.702222042E0,-7.762719989E-1,6.124816835E-2,5.054507256E-1
1.712235042E0,-7.029582858E-1,1.286714571E-3,5.277624726E-1
1.722248042E0,-6.400299668E-1,-3.731633723E-2,5.487340689E-1
1.732261042E0,-6.249487400E-1,-3.293916583E-2,5.717235208E-1
1.742275042E0,-6.250046492E-1,-4.781877995E-2,6.216682196E-1
1.752288042E0,-6.043627262E-1,-1.713631302E-2,6.704760194E-1
1.762301042E0,-5.207455754E-1,5.692939460E-2,7.073112726E-1
1.772314042E0,-4.253424108E-1,1.336945593E-1,7.490139008E-1
1.782327042E0,-3.436696529E-1,2.179636359E-1,8.217136860E-1
1.792341042E0,-2.809054554E-1,3.061429560E-1,9.006191492E-1
1.802354042E0,-2.929501534E-1,4.529925883E-1,9.565817118E-1
1.812367042E0,-3.364022374E-1,6.134771705E-1,9.923204184E-1
1.822380042E0,-3.108089864E-1,7.276436687E-1,9.901371598E-1
1.832394042E0,-1.854212731E-1,8.018118143E-1,9.250444174E-1
1.842406792E0,1.609333092E-3,7.997449636E-1,8.291035295E-1
1.852419792E0,2.036772966E-1,7.091127634E-1,7.938652635E-1
1.862432792E0,4.128946960E-1,5.502431989E-1,7.925901413E-1
1.872445792E0,7.281048894E-1,3.721635342E-1,8.328842521E-1
1.882459792E0,1.125322461E0,1.682479382E-1,9.239840508E-1
1.892472792E0,1.413314462E0,1.528231427E-2,1.015757322E0
1.902485792E0,1.627125263E0,-1.089671999E-1,1.049062610E0
1.912498792E0,1.761431575E0,-7.068308443E-2,9.442393184E-1
1.922511792E0,1.840123177E0,1.486350968E-2,8.366526961E-1
1.932525792E0,1.846032739E0,9.070859104E-2,8.429080844E-1
1.942538792E0,1.777896881E0,1.941952854E-1,9.591431022E-1
1.952551792E0,1.579106688E0,2.431819737E-1,9.671810269E-1
1.962564792E0,1.201198578E0,1.947167069E-1,8.427429199E-1
1.972577792E0,7.987790108E-1,8.931639045E-2,6.274155974E-1
1.982591792E0,3.815599382E-1,-7.689921558E-2,3.579225838E-1
