"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773476981255657E9,"2026-03-14 09:29:41.256 UTC+01:00"
"PAUSE",1.628554841666664E1,1.773476997541191E9,"2026-03-14 09:29:57.541 UTC+01:00"
