"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773478159157539E9,"2026-03-14 09:49:19.158 UTC+01:00"
"PAUSE",2.352935604166669E1,1.773478182686887E9,"2026-03-14 09:49:42.687 UTC+01:00"
