"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.992083333E-3,1.143172760E0,7.398664398E0,6.650669861E0
1.500508333E-2,1.037342834E0,7.355703735E0,6.177054749E0
2.501908333E-2,1.002165985E0,7.407046967E0,5.933660889E0
3.503208333E-2,1.036893768E0,7.488926697E0,5.792953491E0
4.504508333E-2,1.134490814E0,7.610024872E0,5.765710144E0
5.505808333E-2,1.207089844E0,7.690856781E0,5.793252869E0
6.507108333E-2,1.205592957E0,7.701185303E0,5.814808044E0
7.508508333E-2,1.179996185E0,7.703430634E0,5.770350494E0
8.509808333E-2,1.143023071E0,7.723937988E0,5.730533295E0
9.511108333E-2,1.100960541E0,7.696844330E0,5.759572906E0
1.051240833E-1,1.052611084E0,7.700736237E0,5.808820496E0
1.151370833E-1,1.099463654E0,7.679779816E0,5.992338867E0
1.251510833E-1,1.160087585E0,7.596702576E0,6.184539185E0
1.351640833E-1,1.144519958E0,7.535330200E0,6.292015686E0
1.451770833E-1,1.035247192E0,7.522157593E0,6.311026154E0
1.551900833E-1,9.933343506E-1,7.576195221E0,6.308780823E0
1.652030833E-1,1.101110229E0,7.628137207E0,6.364015961E0
1.752170833E-1,1.193767548E0,7.658673706E0,6.392007751E0
1.852300833E-1,1.207838287E0,7.683821411E0,6.372548218E0
1.952430833E-1,1.151106262E0,7.694299622E0,6.290818176E0
2.052560833E-1,1.070873108E0,7.679330750E0,6.180347900E0
2.152690833E-1,9.843530273E-1,7.670199738E0,6.107299805E0
2.252830833E-1,9.487271118E-1,7.656278687E0,6.034102020E0
2.352960833E-1,9.610015869E-1,7.686066742E0,5.971681824E0
2.453090833E-1,1.050066376E0,7.765551453E0,6.125112762E0
2.553220833E-1,1.188827820E0,7.869136047E0,6.389912109E0
2.653350833E-1,1.395997009E0,7.955356750E0,6.741830292E0
2.753490833E-1,1.527423706E0,7.943381653E0,7.178921356E0
2.853620833E-1,1.476828918E0,7.832462311E0,7.559430084E0
2.953750833E-1,1.056502991E0,7.589966583E0,7.399412842E0
3.053880833E-1,5.040019226E-1,6.896758118E0,6.456972656E0
3.154010833E-1,4.625381470E-2,6.370901642E0,5.021457825E0
3.254150833E-1,-3.742218018E-1,7.722141724E0,5.818101196E0
3.354280833E-1,-4.526586914E-1,7.879015503E0,5.790708160E0
3.454410833E-1,5.686674500E-1,7.241790619E0,4.470303955E0
3.554540833E-1,9.505233765E-1,7.800877991E0,5.194647675E0
3.654678333E-1,7.438032532E-1,8.496780853E0,6.530769196E0
3.754808333E-1,8.827143860E-1,8.125403137E0,5.987099762E0
3.854938333E-1,8.878038025E-1,8.156538391E0,6.775510254E0
3.955068333E-1,8.851094055E-1,8.218359833E0,7.563920746E0
