"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773476948351367E9,"2026-03-14 09:29:08.351 UTC+01:00"
"PAUSE",1.923849324999992E1,1.773476967589863E9,"2026-03-14 09:29:27.590 UTC+01:00"
