"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773478227715201E9,"2026-03-14 09:50:27.715 UTC+01:00"
"PAUSE",1.329969512499974E1,1.773478241014891E9,"2026-03-14 09:50:41.015 UTC+01:00"
