"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773478668690788E9,"2026-03-14 09:57:48.691 UTC+01:00"
"PAUSE",1.626731066666616E1,1.773478684958079E9,"2026-03-14 09:58:04.958 UTC+01:00"
