"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.431791667E-3,1.317560120E0,7.805518341E0,5.665718079E0
1.544579167E-2,1.339414673E0,7.813900909E0,5.761818237E0
2.545879167E-2,1.347647552E0,7.803572388E0,5.736221466E0
3.547179167E-2,1.429676971E0,7.932005310E0,5.636828156E0
4.548579167E-2,1.556762695E0,8.038733368E0,5.725443878E0
5.549879167E-2,1.476529541E0,7.993377686E0,5.815556488E0
6.551179167E-2,1.240620117E0,7.880961456E0,5.877976685E0
7.552579167E-2,1.089135132E0,7.787406006E0,5.981561279E0
8.553879167E-2,9.306147766E-1,7.783065033E0,6.052513733E0
9.555179167E-2,7.131170654E-1,7.753426666E0,5.992338867E0
1.055657917E-1,6.649172974E-1,7.769892426E0,5.816005554E0
1.155787917E-1,8.273295593E-1,7.900271301E0,5.659431152E0
1.255917917E-1,1.089434509E0,8.035290527E0,5.704337769E0
1.356057917E-1,1.135388947E0,8.047415314E0,5.767955475E0
1.456187917E-1,1.057251434E0,7.965984650E0,5.819448395E0
1.556317917E-1,8.660989380E-1,7.814050598E0,5.899531860E0
1.656457917E-1,7.508386230E-1,7.661667480E0,6.044879608E0
1.756587917E-1,8.202941895E-1,7.648195496E0,6.136638794E0
1.856717917E-1,8.812174988E-1,7.680079193E0,6.176905060E0
1.956847917E-1,9.677375793E-1,7.726033630E0,6.125561829E0
2.056987917E-1,1.051862640E0,7.764653320E0,6.068231049E0
2.157117917E-1,1.053958282E0,7.731422424E0,6.011199646E0
2.257247917E-1,9.984237671E-1,7.700436859E0,5.859864349E0
2.357387917E-1,9.801617432E-1,7.671696625E0,5.797893219E0
2.457517917E-1,9.445358276E-1,7.593110046E0,5.923182678E0
2.557647917E-1,9.457333374E-1,7.588918762E0,6.168073425E0
2.657787917E-1,9.559121704E-1,7.579188995E0,6.166426849E0
2.757917917E-1,8.129594421E-1,7.533683624E0,6.075416107E0
2.858047917E-1,6.414161682E-1,7.488477631E0,5.975573730E0
2.958187917E-1,5.138813782E-1,7.489076385E0,5.792055359E0
3.058317917E-1,4.781057739E-1,7.537425842E0,5.640869751E0
3.158447917E-1,5.625302124E-1,7.620652771E0,5.652246094E0
3.258587917E-1,6.864724731E-1,7.733368378E0,5.580694885E0
3.358723333E-1,7.017407227E-1,7.803871765E0,5.504054260E0
3.458853333E-1,6.617738342E-1,7.746690674E0,5.586233368E0
3.558993333E-1,6.411167908E-1,7.680977325E0,5.673052826E0
3.659123333E-1,6.530918884E-1,7.650440826E0,5.879922638E0
3.759253333E-1,6.691085815E-1,7.619604950E0,6.201154633E0
3.859393333E-1,6.821315002E-1,7.519163818E0,6.444398804E0
3.959523333E-1,5.674699402E-1,7.425608368E0,6.509812775E0
4.059653333E-1,4.575984192E-1,7.405101013E0,6.475084991E0
4.159793333E-1,4.225712585E-1,7.473508759E0,6.480473785E0
4.259923333E-1,4.267625427E-1,7.554041290E0,6.446195068E0
4.360053333E-1,5.096900940E-1,7.634274445E0,6.287075958E0
4.460193333E-1,5.962101746E-1,7.712561646E0,6.260131989E0
4.560323333E-1,5.887257385E-1,7.752827911E0,6.226901093E0
4.660453333E-1,5.584886169E-1,7.790848846E0,6.193520508E0
4.760593333E-1,3.414399719E-1,7.590715027E0,6.286028137E0
4.860723333E-1,1.942959595E-1,7.449109497E0,6.507268066E0
4.960853333E-1,2.179467773E-1,7.529043274E0,6.629563751E0
5.060993333E-1,4.198768616E-1,7.572453003E0,6.694229279E0
5.161123333E-1,7.038363647E-1,7.676187286E0,6.635551300E0
5.261253333E-1,8.181985474E-1,7.802075500E0,6.471941528E0
5.361393333E-1,7.463479614E-1,7.860454102E0,6.437962189E0
5.461523333E-1,5.230123901E-1,7.780969391E0,6.444249115E0
5.561653333E-1,3.930825806E-1,7.889643402E0,6.406826935E0
5.661793333E-1,5.783972168E-1,8.168214111E0,6.478677521E0
5.761923333E-1,8.382568359E-1,8.439001007E0,6.524332581E0
5.862053333E-1,9.337582397E-1,8.657247162E0,6.541696472E0
5.962193333E-1,7.970924377E-1,8.863368530E0,6.449039154E0
6.062323333E-1,7.882608032E-1,9.239536285E0,6.352040863E0
6.162453333E-1,1.200653229E0,9.735305328E0,6.540498962E0
