"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.773477207963305E9,"2026-03-14 09:33:27.963 UTC+01:00"
"PAUSE",2.331537754166675E1,1.773477231278658E9,"2026-03-14 09:33:51.279 UTC+01:00"
